function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
__import__, 1, 1, 1, , 
ascii, 2, 1, 2, , 
super, 4, 0, 2, , 
divmod, 4, 2, 4, , 
object, 5, 0, 5, , 
delattr, 9, 2, 9, , 
vars, 11, 1, 9, , 
callable, 11, 1, 11, , 
property, 12, 2, 12, doc, 7
issubclass, 14, 2, 14, , 
frozenset, 24, 1, 22, , 
bytes, 27, 1, 17, encoding, 6
hex, 27, 1, 27, , 
complex, 28, 2, 18, , 
bin, 29, 1, 29, , 
hash, 29, 1, 29, , 
bytearray, 36, 1, 26, , 
locals, 47, 0, 47, , 
compile, 47, 2, 20, type_check, 9
globals, 53, 0, 53, , 
pow, 68, 2, 56, , 
exec, 71, 1, 61, , 
chr, 75, 1, 75, , 
ord, 81, 1, 81, , 
repr, 82, 1, 82, , 
id, 84, 1, 84, , 
input, 100, 1, 92, , 
reversed, 110, 1, 110, , 
setattr, 114, 3, 114, , 
dir, 128, 1, 115, , 
getattr, 180, 2, 162, , 
hasattr, 208, 2, 208, , 
filter, 228, 1, 149, axis, 5
slice, 243, 2, 209, starttime, 1
iter, 268, 1, 264, keyed, 1
any, 376, 1, 196, axis, 25
eval, 384, 1, 192, feed_dict, 3
all, 479, 0, 285, axis, 10
tuple, 486, 1, 479, , 
help, 648, 1, 648, , 
round, 658, 2, 353, ndigits, 16
abs, 876, 1, 797, , 
map, 1001, 1, 594, null, 1
next, 1062, 1, 1003, , 
isinstance, 1145, 2, 1145, , 
type, 1508, 1, 1507, , 
min, 1611, 2, 689, key, 32
sorted, 1833, 1, 930, key, 796
float, 1844, 1, 1777, , 
set, 2212, 1, 1506, ylabel, 95
max, 2270, 1, 833, key, 112
str, 2501, 1, 2488, encoding, 4
format, 2823, 1, 1702, root, 66
dict, 2850, 1, 1096, selector, 43
zip, 3526, 2, 2611, , 
sum, 4264, 1, 2371, axis, 343
int, 4616, 1, 4546, base, 45
open, 5147, 2, 3958, encoding, 219
list, 6574, 1, 5563, userId, 2
enumerate, 7110, 1, 7009, start, 14
len, 15959, 1, 15959, , 
range, 21477, 1, 15902, , 
print, 89916, 1, 62151, end, 566
