function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
astropy.coordinates.CartesianDifferential, 1, 1, 1, , 
astropy.coordinates.Galactocentric, 1, 3, 1, galcen_v_sun, 1
astropy.units.def_unit, 1, 1, 1, , 
astropy.modeling.fitting.LinearLSQFitter, 1, 0, 1, , 
astropy.modeling.models.Chebyshev2D, 1, 2, 1, , 
astropy.constants.c.to, 1, 1, 1, , 
astropy.units.Mpc.to, 1, 1, 1, , 
astropy.visualization.wcsaxes.WCSAxes, 1, 3, 1, wcs, 1
astropy.visualization.ManualInterval, 1, 2, 1, , 
astropy.io.ascii.write, 1, 2, 1, output, 1
astropy.table.QTable, 1, 2, 1, names, 1
astropy.units.doppler_optical, 1, 1, 1, , 
astropy.coordinates.SkyCoord.from_name, 1, 2, 1, frame, 1
astropy.stats.median_absolute_deviation, 1, 1, 1, , 
astropy.units.au.to, 1, 1, 1, , 
astropy.table.vstack, 2, 2, 1, metadata_conflicts, 1
astropy.visualization.mpl_normalize.ImageNormalize, 2, 3, 2, stretch, 2
astropy.coordinates.Galactic, 2, 3, 1, l, 2
astropy.coordinates.Angle, 3, 1, 2, unit, 1
astropy.time.Time, 4, 2, 3, format, 4
astropy.io.fits.getval, 4, 2, 4, , 
astropy.modeling.models.Chebyshev1D, 4, 1, 4, , 
astropy.table.Table.from_pandas, 4, 1, 4, , 
astropy.io.votable.parse_single_table, 4, 2, 4, pedantic, 4
astropy.table.Column, 4, 4, 4, format, 4
astropy.cosmology.w0waCDM, 5, 9, 5, wa, 5
astropy.modeling.blackbody.blackbody_lambda, 6, 2, 6, temperature, 6
astropy.wcs.WCS, 7, 1, 7, , 
astropy.units.quantity_input, 8, 2, 4, theta, 2
astropy.units.Unit, 10, 1, 10, , 
astropy.io.fits.getdata, 10, 2, 6, header, 5
astropy.io.fits.HDUList, 11, 1, 10, , 
astropy.io.fits.PrimaryHDU, 12, 1, 12, , 
astropy.table.Table.read, 13, 1, 7, format, 4
astropy.table.Table, 15, 2, 8, names, 10
astropy.units.Quantity, 17, 1, 10, unit, 3
astropy.coordinates.SkyCoord, 21, 3, 15, ra, 15
astropy.io.ascii.read, 28, 1, 25, delimiter, 3
astropy.io.fits.open, 35, 1, 28, ignore_blank, 7
