function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
astropy.coordinates.distances.spherical_to_cartesian, 1, 3, 1, , 
astropy.constants.R_earth.to, 1, 1, 1, , 
astropy.constants.m_p.to, 1, 1, 1, , 
astropy.coordinates.make_transform_graph_docs, 1, 1, 1, , 
astropy.coordinates.builtin_frames._make_transform_graph_docs, 1, 0, 1, , 
astropy.wcs.utils.FRAME_WCS_MAPPINGS.append, 1, 1, 1, , 
astropy.wcs.utils.celestial_frame_to_wcs, 1, 1, 1, , 
astropy.logger.Conf, 1, 0, 1, , 
astropy.utils.xml.check.check_anyuri, 1, 1, 1, , 
astropy.coordinates.Attribute, 1, 1, 1, default, 1
astropy.coordinates.QuantityAttribute, 1, 2, 1, default, 1
astropy.coordinates.frame_transform_graph.get_names, 1, 0, 1, , 
astropy._erfa.obl80, 1, 2, 1, , 
astropy._erfa.obl06, 1, 2, 1, , 
astropy.coordinates.get_body_barycentric_posvel, 1, 2, 1, , 
astropy.io.registry._readers.clear, 1, 0, 1, , 
astropy.io.registry._readers.update, 1, 1, 1, , 
astropy.nddata.utils.block_replicate, 1, 3, 1, , 
astropy.io.fits.hdu.hdulist.HDUList, 1, 1, 1, , 
astropy.models.fitting.NonLinearLSQFitter, 1, 1, 1, , 
astropy.coordinates.frame_transform_graph.find_shortest_path, 1, 2, 1, , 
astropy.coordinates.PhysicsSphericalDifferential, 1, 3, 1, d_phi, 1
astropy.io.fits.hdu.hdulist.fitsopen, 1, 3, 1, null, 1
astropy.units.AA.to, 1, 3, 1, , 
astropy.io.votable.writeto, 1, 2, 1, , 
astropy.io.fits.Header.fromstring, 1, 1, 1, , 
astropy.visualization.hist, 1, 8, 1, range, 1
astropy.units.nm.to, 1, 1, 1, , 
astropy.coordinates.TransformGraph, 1, 0, 1, , 
astropy.coordinates.builtin_frames.make_transform_graph_docs, 1, 1, 1, , 
astropy.io.registry.get_formats, 1, 1, 1, , 
astropy.io.registry.identify_format, 1, 6, 1, , 
astropy.io.ascii.get_reader, 1, 2, 1, readme, 1
astropy.modeling.models.Const2D, 1, 1, 1, amplitude, 1
astropy.units.um.to, 1, 2, 1, equivalencies, 1
astropy.io.fits.header.Header.fromstring, 1, 1, 1, , 
astropy.modeling.models.Chebyshev2D, 1, 2, 1, , 
astropy.stats.funcs.binom_conf_interval, 1, 3, 1, conf, 1
astropy._erfa.xys00a, 1, 1, 1, , 
astropy._erfa.c2ixys, 1, 3, 1, , 
astropy._erfa.sp00, 1, 1, 1, , 
astropy._erfa.pom00, 1, 3, 1, , 
astropy._erfa.era00, 1, 1, 1, , 
astropy.io.fits.FITSDiff, 1, 2, 1, , 
astropy.convolution.kernels.Gaussian2DKernel, 1, 1, 1, , 
astropy.visualization.quantity_support, 1, 0, 1, , 
astropy.io.fits.FITS_rec.from_columns, 1, 1, 1, , 
astropy._erfa.dtf2d, 1, 2, 1, , 
astropy._erfa.d2dtf, 1, 4, 1, , 
astropy.modeling.models.Mapping, 1, 1, 1, , 
