function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
dask.threaded.get, 1, 3, 1, num_workers, 1
dask.array.image.imread, 1, 1, 1, , 
dask.array.isel, 1, 1, 1, x, 1
dask.array.mean, 1, 1, 1, dim, 1
dask.array.sum, 1, 1, 1, dim, 1
dask.bag.range, 1, 2, 1, npartitions, 1
dask.visualize, 1, 1, 1, , 
dask.array.from_zarr, 1, 2, 1, component, 1
dask.set_options, 1, 2, 1, get, 1
dask.dataframe.read_hdf, 1, 2, 1, , 
dask.config.set, 1, 1, 1, scheduler, 1
dask.distributed.Client, 1, 0, 1, , 
dask.array.min, 2, 2, 2, axis, 2
dask.array.max, 2, 2, 2, axis, 2
dask.dataframe.from_pandas, 2, 2, 2, chunksize, 2
dask.array.sel, 2, 1, 2, x, 1
dask.array.random.normal, 2, 4, 2, size, 2
dask.array.from_delayed, 2, 3, 2, shape, 2
dask.dot.dot_graph, 2, 1, 1, rankdir, 1
dask.dataframe.read_table, 2, 10, 1, encoding, 2
dask.array.rechunk, 2, 2, 2, chunks, 1
dask.array.store, 3, 4, 2, lock, 3
dask.array.ones, 3, 2, 3, chunks, 3
dask.array.stack, 3, 2, 2, axis, 2
dask.compute, 3, 2, 2, , 
dask.dataframe.demo.make_timeseries, 3, 6, 2, freq, 3
dask.diagnostics.ProgressBar, 3, 0, 3, , 
dask.diagnostics.Profiler, 3, 0, 3, , 
dask.diagnostics.ResourceProfiler, 3, 1, 3, , 
dask.diagnostics.visualize, 3, 1, 3, , 
dask.array.random.random, 4, 2, 4, chunks, 4
dask.array.compute, 4, 2, 4, , 
dask.dataframe.from_delayed, 4, 1, 4, , 
dask.dataframe.from_array, 4, 2, 4, columns, 4
dask.array.histogram, 4, 3, 4, range, 4
dask.dataframe.read_parquet, 5, 2, 5, engine, 4
dask.dataframe.from_castra, 5, 1, 5, , 
dask.bag.from_sequence, 6, 1, 5, npartitions, 1
dask.array.concatenate, 6, 2, 4, axis, 4
dask.bag.read_text, 7, 1, 6, blocksize, 1
dask.delayed, 8, 1, 6, pure, 2
dask.array.from_array, 16, 2, 14, chunks, 15
dask.dataframe.io.parquet.read_parquet, 16, 1, 16, , 
dask.dataframe.read_csv, 28, 1, 15, parse_dates, 6
