function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
dask.array.logical_or, 1, 2, 1, , 
dask.array.Array.__getitem__, 1, 2, 1, , 
dask.array.Array.__str__, 1, 1, 1, , 
dask.array.hypot, 1, 2, 1, , 
dask.array.mod, 1, 2, 1, , 
dask.array.multiply, 1, 2, 1, , 
dask.is_dask_colelction, 1, 1, 1, , 
dask.array.isel, 1, 1, 1, x, 1
dask.array.to_tiledb, 1, 2, 1, , 
dask.array.ma.average, 1, 3, 1, axis, 1
dask.array.coarsen, 1, 3, 1, , 
dask.array.random.randint, 1, 4, 1, size, 1
dask.array.stats.skew, 1, 2, 1, bias, 1
dask.array.stats.kurtosis, 1, 2, 1, bias, 1
dask.array.stats.moment, 1, 2, 1, , 
dask.array.stats.f_oneway, 1, 1, 1, , 
dask.array.stats.power_divergence, 1, 2, 1, lambda_, 1
dask.array.stats.skewtest, 1, 1, 1, , 
dask.bag.core.random_state_data_python, 1, 2, 1, , 
dask.utils.parse_bytes, 1, 1, 1, , 
dask.utils.funcname, 1, 1, 1, , 
dask.array.apply_infer_dtype, 1, 4, 1, , 
dask.array.core.blockdims_from_blockshape, 1, 2, 1, , 
dask.highlevelgraph.HighLevelGraph.from_collections, 1, 3, 1, , 
dask.array.slicing.normalize_slice, 1, 2, 1, , 
dask.array.cumsum, 1, 1, 1, , 
dask.array.ghost.ghost, 1, 3, 1, boundary, 1
dask.array.ghost.trim_internal, 1, 2, 1, , 
dask.array.nanmax, 1, 1, 1, , 
dask.dataframe.to_datetime, 1, 1, 1, , 
dask.dataframe.DataFrame._get, 1, 3, 1, get, 1
dask.sharedict.merge, 1, 3, 1, , 
dask.array.set_options, 1, 1, 1, get, 1
dask.core.subs, 1, 3, 1, , 
dask.core.isdag, 1, 2, 1, , 
dask.utils.SerializableLock, 1, 0, 1, , 
dask.distributed.LocalCluster, 1, 6, 1, scheduler_port, 1
dask.array.power, 2, 2, 2, , 
dask.config.rename, 2, 1, 2, , 
dask.array.arctan2, 2, 2, 2, , 
dask.array.random.random_state_data, 2, 2, 2, random_state, 2
dask.array.random.poisson, 2, 3, 2, size, 2
dask.array.Array.__dask_optimize__, 2, 2, 2, , 
dask.array.moment, 2, 3, 2, axis, 2
dask.array.core._check_regular_chunks, 2, 1, 2, , 
dask.array.pad, 2, 4, 2, null, 1
dask.array.fft.fftfreq, 2, 3, 2, chunks, 2
dask.array.fft.rfftfreq, 2, 3, 2, chunks, 2
dask.array.linalg.qr, 2, 1, 2, , 
dask.array.ma.masked_values, 2, 2, 2, , 
dask.array.ma.filled, 2, 1, 2, , 
dask.bytes.pyarrow.PyArrowHadoopFileSystem, 2, 1, 2, null, 2
dask.pop, 2, 1, 2, , 
dask.distributed.worker.get_client, 2, 0, 2, , 
dask.array.broadcast_to, 2, 2, 1, chunks, 1
dask.array.core.getem, 2, 3, 1, out_name, 1
dask.array.slicing.normalize_index, 2, 2, 2, , 
dask.array.core.elemwise, 2, 4, 2, dtype, 2
dask.array.topk, 2, 2, 2, , 
dask.dataframe.read_table, 2, 10, 1, encoding, 2
dask.dataframe.to_hdf, 2, 3, 2, , 
dask.core.get_dependencies, 2, 2, 2, task, 2
dask.array.sinh, 2, 1, 2, , 
dask.distributed.get_client, 2, 0, 2, , 
dask.config.update_defaults, 3, 1, 3, , 
dask.config.config.clear, 3, 0, 3, , 
dask.config.config.update, 3, 1, 3, , 
dask.array.min, 3, 2, 2, axis, 2
dask.array.max, 3, 2, 2, axis, 2
dask.array.Array.__new__, 3, 6, 2, , 
dask.array.clip, 3, 3, 3, , 
dask.array.sel, 3, 1, 3, x, 1
dask.config.expand_environment_variables, 3, 1, 3, , 
dask.array.to_hdf5, 3, 2, 3, , 
dask.array.notnull, 3, 1, 3, , 
dask.array.frexp, 3, 1, 3, , 
dask.array.modf, 3, 1, 3, , 
dask.array.to_npy_stack, 3, 3, 3, axis, 3
dask.array.from_npy_stack, 3, 1, 3, , 
dask.array.arccos, 3, 1, 3, , 
dask.array.fromfunction, 3, 5, 2, dtype, 3
dask.array.ma.masked_where, 3, 2, 3, , 
dask.array.overlap.overlap, 3, 3, 3, boundary, 3
dask.array.overlap.trim_overlap, 3, 3, 3, boundary, 3
dask.array.matmul, 3, 2, 3, , 
dask.array.gradient, 3, 4, 3, axis, 3
dask.array.squeeze, 3, 2, 3, axis, 3
dask.array.allclose, 3, 3, 3, equal_nan, 3
dask.array.log.__doc__.replace, 3, 2, 3, , 
dask.array.modf.__doc__.replace, 3, 2, 3, , 
dask.array.frexp.__doc__.replace, 3, 2, 3, , 
dask.array.add.outer, 3, 3, 3, out, 3
dask.array.sin.outer, 3, 2, 3, , 
dask.bag.Item.from_delayed, 3, 1, 3, , 
dask.bag.zip, 3, 2, 3, , 
dask.array.core.concatenate3, 3, 1, 3, , 
dask.datasets.timeseries, 3, 0, 3, , 
dask.config.refresh, 3, 1, 3, config, 3
dask.config.merge, 3, 2, 3, , 
dask.dot.dot_graph, 3, 2, 2, rankdir, 2
dask.array.Array._finalize, 3, 2, 3, , 
dask.diagnostics.ProgressBar, 3, 0, 3, , 
dask.diagnostics.Profiler, 3, 0, 3, , 
dask.diagnostics.ResourceProfiler, 3, 1, 3, , 
dask.diagnostics.visualize, 3, 1, 3, , 
dask.core.istask, 3, 1, 3, , 
dask.dataframe.multi.concat, 3, 2, 3, axis, 3
dask.array.flipud, 4, 1, 4, , 
dask.array.core.map_blocks, 4, 4, 3, dtype, 4
dask.array.array, 4, 1, 4, , 
dask.utils.Dispatch, 4, 1, 4, , 
dask.core.reverse_dict, 4, 1, 4, , 
dask.array.sin, 4, 1, 4, , 
dask.array.log1p, 4, 1, 4, , 
dask.array.argmax, 4, 2, 4, axis, 4
dask.array.optimization.optimize_blockwise, 4, 1, 4, , 
dask.optimize, 4, 1, 4, , 
dask.array.tile, 4, 2, 4, , 
dask.core.get_deps, 4, 1, 4, , 
dask.array.roll, 4, 3, 4, , 
dask.array.extract, 4, 2, 4, , 
dask.array.flatnonzero, 4, 1, 4, , 
dask.array.nonzero, 4, 1, 4, , 
dask.array.frompyfunc, 4, 3, 4, , 
dask.dataframe.utils.make_meta, 4, 1, 4, , 
dask.dataframe.demo.daily_stock, 4, 4, 4, start, 4
dask.dataframe.to_json, 4, 3, 4, compression, 4
dask.datasets.make_people, 4, 0, 2, npartitions, 1
dask.array.learn.fit, 4, 5, 4, classes, 4
dask.array.learn.predict, 4, 2, 4, , 
dask.array.rechunk, 5, 2, 5, chunks, 2
dask.array.absolute, 5, 1, 5, , 
dask.array.minimum, 5, 2, 5, foo, 3
dask.array.deg2rad, 5, 1, 5, , 
dask.array.isnull, 5, 1, 5, , 
dask.array.rad2deg, 5, 1, 5, , 
dask.optimization.inline, 5, 2, 5, keys, 5
dask.base.tokenize, 5, 4, 2, , 
dask.array.linalg.svd_compressed, 5, 4, 5, seed, 5
dask.array.tanh, 5, 1, 5, , 
dask.array.core.slices_from_chunks, 5, 1, 5, , 
dask.array.from_tiledb, 5, 1, 3, attribute, 2
dask.array.diagonal, 5, 2, 3, axis1, 3
dask.distributed.Client, 5, 1, 3, address, 1
dask.optimize.cull, 5, 2, 5, , 
dask.dataframe.compute, 6, 1, 3, , 
dask.array.meshgrid, 6, 2, 4, indexing, 2
dask.optimization.cull, 6, 2, 6, , 
dask.config.ensure_file, 6, 1, 6, source, 6
dask.multiprocessing.get, 6, 3, 3, num_workers, 3
dask.array.apply_gufunc, 6, 6, 4, output_dtypes, 6
dask.array.divide, 6, 2, 6, , 
dask.array.diag, 6, 1, 6, , 
dask.array.tensordot, 6, 3, 6, axes, 6
dask.array.random.multinomial, 6, 4, 6, size, 6
dask.array.isin, 6, 3, 6, invert, 3
dask.array.unravel_index, 6, 2, 3, , 
dask.bag.map, 6, 3, 3, , 
dask.bag.from_url, 6, 1, 6, , 
dask.bag.compute, 6, 4, 3, scheduler, 4
dask.array.apply_along_axis, 6, 3, 3, , 
dask.optimize.inline, 6, 2, 6, keys, 6
dask.config.update, 7, 2, 4, priority, 3
dask.array.sign, 7, 1, 7, , 
dask.array.full, 7, 4, 4, chunks, 7
dask.array.linalg.inv, 7, 1, 7, , 
dask.array.ma.masked_array, 8, 2, 6, mask, 3
dask.array.random.random_integers, 8, 4, 8, size, 8
dask.array.var, 8, 3, 8, ddof, 8
dask.array.atop, 8, 5, 3, dtype, 8
dask.array.ma.set_fill_value, 8, 2, 8, , 
dask.dataframe.from_castra, 8, 1, 8, , 
dask.array.reshape, 9, 2, 9, , 
dask.visualize, 9, 4, 5, filename, 8
dask.array.linalg.norm, 9, 4, 8, axis, 9
dask.array.maximum, 9, 2, 9, , 
dask.array.expm1, 9, 1, 9, , 
dask.array.transpose, 9, 2, 9, , 
dask.array.take, 9, 3, 5, axis, 5
dask.bag.concat, 9, 1, 9, , 
dask.dataframe.Series, 9, 4, 9, , 
dask.array.mean, 10, 1, 6, dim, 1
dask.context._globals.get, 10, 1, 10, , 
dask.array.broadcast_arrays, 10, 2, 6, , 
