function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
IPython.InteractiveShell, 1, 0, 1, , 
IPython.nbformat.reads, 1, 2, 1, as_version, 1
IPython.utils.traitlets.Float, 1, 2, 1, sync, 1
IPython.testing.globalipapp.get_ipython, 1, 0, 1, , 
IPython.utils.warn.warn, 1, 1, 1, , 
IPython.utils.warn.error, 1, 1, 1, , 
IPython.display.display_png, 1, 1, 1, , 
IPython.core.magic.register_line_magic, 1, 1, 1, , 
IPython.html.widgets.DropdownWidget, 1, 0, 1, , 
IPython.Config, 1, 0, 1, , 
IPython.nbformat.v4.new_notebook, 1, 1, 1, cells, 1
IPython.terminal.embed.InteractiveShellEmbed.instance, 1, 2, 1, user_ns, 1
IPython.frontend.terminal.embed.InteractiveShellEmbed.instance, 1, 2, 1, user_ns, 1
IPython.nbconvert.exporters.export, 1, 2, 1, , 
IPython.start_kernel, 1, 0, 1, , 
IPython.core.pylabtools.import_pylab, 1, 2, 1, import_all, 1
IPython.display.display.display, 1, 1, 1, , 
IPython.core.display.set_matplotlib_formats, 1, 1, 1, , 
IPython.display.set_matplotlib_formats, 1, 1, 1, , 
IPython.frontend.terminal.ipapp.TerminalIPythonApp.instance, 1, 0, 1, , 
IPython.core.display.clear_output, 1, 0, 1, , 
IPython.display.ProgressBar, 1, 1, 1, total, 1
IPython.utils.io.stdout.write, 1, 1, 1, , 
IPython.utils.io.stdout.flush, 1, 0, 1, , 
IPython.test, 1, 0, 1, , 
IPython.nbformat.current.read, 1, 2, 1, , 
IPython.terminal.debugger.TerminalPdb, 1, 1, 1, , 
IPython.core.debugger.Pdb, 1, 1, 1, , 
IPython.lib.inputhook.enable_gui, 1, 2, 1, , 
IPython.InteractiveShell.instance, 1, 0, 1, , 
IPython.core.display.Image, 1, 1, 1, , 
IPython.display.display_javascript, 1, 2, 1, raw, 1
IPython.core.ultratb.VerboseTB, 1, 0, 1, , 
IPython.core.hooks.CommandChainDispatcher, 1, 0, 1, , 
IPython.core.magics.search, 1, 1, 1, , 
IPython.core.pylabtools.activate_matplotlib, 1, 1, 1, , 
IPython.core.pylabtools.configure_inline_support, 1, 2, 1, , 
IPython.core.pylabtools.mpl_runner, 1, 1, 1, , 
IPython.paths.get_ipython_package_dir, 1, 0, 1, , 
IPython.core.inputsplitter.InputSplitter, 1, 0, 1, , 
IPython.core.inputsplitter.reset, 1, 0, 1, , 
IPython.core.inputsplitter.physical_line_transforms.insert, 1, 2, 1, , 
IPython.core.inputsplitter.find_next_indent, 1, 1, 1, , 
IPython.core.formatters.PlainTextFormatter, 1, 0, 1, , 
IPython.testing.decorators.knownfailureif, 1, 2, 1, , 
IPython.utils.path.compress_user, 1, 1, 1, , 
IPython.testing.decorators.skip, 1, 1, 1, , 
IPython.testing.tools.parse_test_output, 1, 1, 1, , 
IPython.testing.tools.temp_pyfile, 1, 1, 1, , 
IPython.testing.tools.TempFileMixin.tearDown, 1, 1, 1, , 
IPython.core.magic.register_cell_magic, 1, 1, 1, , 
IPython.display.IFrame, 2, 3, 2, width, 2
IPython.nbconvert.filters.highlight._pygment_highlight, 2, 3, 2, , 
IPython.core.interactiveshell.InteractiveShell.instance, 2, 0, 2, , 
IPython.lib.passwd, 2, 0, 2, , 
IPython.html.widgets.ButtonWidget, 2, 1, 2, description, 2
IPython.parallel.Client, 2, 0, 1, profile, 1
IPython.core.display.display_html, 2, 2, 2, raw, 2
IPython.__version__.startswith, 2, 1, 2, , 
IPython.zmq.blockingkernelmanager.BlockingKernelManager.class_trait_names, 2, 0, 2, , 
IPython.nbformat.current.reads, 2, 2, 2, , 
IPython.nbformat.current.new_worksheet, 2, 0, 1, cells, 1
IPython.core.formatters.format_display_data, 2, 1, 2, , 
IPython.core.pylabtools.find_gui_and_backend, 2, 2, 1, , 
IPython.core.inputsplitter.push_accepts_more, 2, 0, 2, , 
IPython.core.inputsplitter.get_indent_spaces, 2, 0, 2, , 
IPython.core.inputsplitter.get_input_encoding, 2, 0, 2, , 
IPython.testing.tools.TempFileMixin, 2, 0, 2, , 
IPython.testing.tools.ipexec, 2, 1, 1, commands, 1
IPython.lib.deepreload.reload, 2, 2, 1, exclude, 1
IPython.testing.decorators.onlyif, 2, 2, 2, , 
IPython.zmq.pylab.backend_inline.send_figure, 2, 1, 2, , 
IPython.utils.traitlets.Unicode, 3, 2, 3, sync, 3
IPython.config.application.Application.initialized, 3, 0, 3, , 
IPython.config.application.Application.instance, 3, 0, 3, , 
IPython.terminal.embed.InteractiveShellEmbed, 3, 0, 1, user_ns, 1
IPython.html.widgets.FloatTextWidget, 3, 2, 2, description, 3
IPython.html.widgets.CheckboxWidget, 3, 1, 3, description, 3
IPython.nbformat.write, 3, 2, 3, , 
IPython.Shell.IPShellEmbed, 3, 0, 2, user_ns, 1
IPython.display.update_display, 3, 2, 3, display_id, 3
IPython.nbformat.current.write, 3, 3, 3, , 
IPython.nbformat.current.new_code_cell, 3, 1, 3, input, 3
IPython.core.inputsplitter.IPythonInputSplitter, 3, 1, 2, line_input_checker, 2
IPython.core.inputsplitter.transform_cell, 3, 1, 3, , 
IPython.core.inputtransformer2.HelpEnd, 3, 2, 3, , 
IPython.core.inputtransformer2.TransformerManager, 3, 0, 3, , 
IPython.testing.decorators.module_not_available, 3, 1, 3, , 
IPython.utils.py3compat.cast_unicode, 3, 2, 3, , 
