function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
ipywidgets.widgets.HTML, 1, 1, 1, , 
ipywidgets.widgets.ColorPicker, 1, 0, 1, , 
ipywidgets.widgets.Output, 1, 0, 1, , 
ipywidgets.widgets.Box, 1, 1, 1, children, 1
ipywidgets.Layout, 1, 2, 1, width, 1
ipywidgets.FloatLogSlider, 2, 6, 2, step, 2
ipywidgets.Valid, 2, 2, 2, value, 2
ipywidgets.HTMLMath, 2, 3, 2, description, 2
ipywidgets.Controller, 2, 1, 2, index, 2
ipywidgets.dlink, 2, 2, 2, , 
ipywidgets.widgets.FloatSlider, 2, 5, 2, step, 2
ipywidgets.widgets.IntSlider, 2, 5, 1, description, 2
ipywidgets.SelectionRangeSlider, 2, 4, 2, continuous_update, 2
ipywidgets.IntRangeSlider, 3, 10, 3, step, 3
ipywidgets.IntProgress, 3, 7, 3, step, 3
ipywidgets.ToggleButton, 3, 6, 2, description, 3
ipywidgets.RadioButtons, 3, 3, 2, disabled, 3
ipywidgets.Play, 3, 6, 2, step, 3
ipywidgets.DatePicker, 3, 2, 3, disabled, 3
ipywidgets.Box, 3, 1, 2, , 
ipywidgets.jsdlink, 3, 2, 3, , 
ipywidgets.interactive, 3, 2, 1, null, 1
ipywidgets.widgets.Button, 3, 1, 3, description, 3
ipywidgets.ColorPicker, 4, 4, 3, disabled, 3
ipywidgets.FloatRangeSlider, 4, 10, 2, step, 4
ipywidgets.FloatProgress, 4, 7, 2, value, 4
ipywidgets.BoundedFloatText, 4, 6, 2, description, 4
ipywidgets.Textarea, 4, 4, 3, description, 4
ipywidgets.Accordion, 4, 1, 4, children, 4
ipywidgets.Image, 6, 4, 3, format, 5
ipywidgets.Select, 6, 3, 4, description, 6
ipywidgets.IntText, 7, 2, 4, description, 7
ipywidgets.Tab, 7, 0, 6, children, 1
ipywidgets.SelectionSlider, 8, 7, 2, options, 8
ipywidgets.ToggleButtons, 8, 1, 3, options, 8
ipywidgets.link, 8, 2, 8, , 
ipywidgets.interactive_output, 9, 2, 9, , 
ipywidgets.SelectMultiple, 10, 2, 6, value, 10
ipywidgets.Output, 11, 1, 6, layout, 6
ipywidgets.Checkbox, 13, 3, 8, description, 13
ipywidgets.jslink, 14, 2, 14, , 
ipywidgets.Label, 16, 1, 16, value, 10
ipywidgets.HTML, 17, 1, 11, value, 10
ipywidgets.Button, 19, 1, 7, description, 19
ipywidgets.Text, 21, 1, 6, description, 11
ipywidgets.HBox, 21, 1, 21, children, 3
ipywidgets.BoundedIntText, 22, 5, 19, min, 22
ipywidgets.VBox, 27, 1, 27, children, 5
ipywidgets.interact_manual, 30, 3, 12, name, 24
ipywidgets.Dropdown, 31, 3, 10, options, 31
ipywidgets.FloatText, 49, 2, 36, value, 45
ipywidgets.interact, 56, 2, 17, name, 15
ipywidgets.FloatSlider, 76, 4, 41, min, 73
ipywidgets.IntSlider, 85, 1, 23, description, 42
