function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
matplotlib.pyplot.minorticks_off, 1, 0, 1, , 
matplotlib.cm.Spectral, 1, 1, 1, , 
matplotlib.ticker.FuncFormatter, 1, 1, 1, , 
matplotlib.collections.PolyCollection, 1, 3, 1, facecolors, 1
matplotlib.pylab.nipy_spectral, 1, 0, 1, , 
matplotlib.pyplot.save_fig, 1, 1, 1, , 
matplotlib.pyplot.eventplot, 1, 4, 1, color, 1
matplotlib.pyplot.matplotlib_fname, 1, 0, 1, , 
matplotlib.pyplot.get_backend, 1, 0, 1, , 
matplotlib.dates.AutoDateLocator, 1, 0, 1, , 
matplotlib.pyplot.cm.plasma, 1, 1, 1, , 
matplotlib.pyplot.cm.plasma_r, 1, 1, 1, , 
matplotlib.pyplot.figaspect, 1, 1, 1, , 
matplotlib.pyplot.cm.Greens, 1, 1, 1, , 
matplotlib.pyplot.cm.Vega20c, 1, 1, 1, , 
matplotlib.pylab.frange, 1, 3, 1, , 
matplotlib.cm.colors.Normalize, 1, 2, 1, vmin, 1
matplotlib.pyplot.Text, 1, 3, 1, , 
matplotlib.pyplot.matplotlib.colors.ListedColormap, 1, 3, 1, , 
matplotlib.pylab.axes, 1, 0, 1, , 
matplotlib.pylab.plt.xticks, 1, 2, 1, , 
matplotlib.rcParams.get, 1, 1, 1, , 
matplotlib.pylab.hlines, 1, 5, 1, color, 1
matplotlib.pyplot.colormaps, 1, 0, 1, , 
matplotlib.finance.quotes_historical_yahoo_ochl, 1, 4, 1, asobject, 1
matplotlib.cm.tab20, 1, 1, 1, , 
matplotlib.pyplot.Arrow, 1, 6, 1, width, 1
matplotlib.finance.candlestick2_ohlc, 1, 5, 1, highs, 1
matplotlib.pyplot.cm.Blues_r, 1, 1, 1, , 
matplotlib.pyplot.cycler, 1, 2, 1, , 
matplotlib.pylab.spy, 1, 3, 1, markersize, 1
matplotlib.colors.to_rgba, 1, 1, 1, , 
matplotlib.pyplot.cm.Set2, 1, 1, 1, , 
matplotlib.pyplot.draw_if_interactive, 1, 0, 1, , 
matplotlib.pyplot.cm.Paired, 1, 1, 1, , 
matplotlib.patches.ConnectionPatch, 1, 11, 1, xyA, 1
matplotlib.transforms.ScaledTranslation, 1, 3, 1, , 
matplotlib.pyplot.table, 1, 6, 1, colLabels, 1
matplotlib.pyplot.thetagrids, 1, 3, 1, frac, 1
matplotlib.patheffects.withSimplePatchShadow, 1, 2, 1, foreground, 1
matplotlib.image.resize, 1, 2, 1, , 
matplotlib.image.reshape, 1, 3, 1, , 
matplotlib.pyplot.barbs, 1, 4, 1, , 
matplotlib.collections.PatchCollection, 1, 2, 1, edgecolor, 1
matplotlib.pylab.barh, 1, 4, 1, align, 1
matplotlib.pylab.cm.coolwarm, 1, 2, 1, , 
