function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
numpy.greater.outer, 1, 2, 1, , 
numpy.maximum.reduce, 1, 1, 1, , 
numpy.trunc, 1, 1, 1, , 
numpy.real_if_close, 1, 1, 1, , 
numpy.bitwise_or.reduce, 1, 1, 1, , 
numpy.ma.sum, 1, 1, 1, , 
numpy.ma.cov, 1, 1, 1, , 
numpy.geterr, 1, 0, 1, , 
numpy.erf, 1, 1, 1, , 
numpy.array2string, 1, 1, 1, , 
numpy.ma.make_mask_none, 1, 1, 1, , 
numpy.ma.mask_or, 1, 2, 1, , 
numpy.fft.ifftn, 1, 1, 1, , 
numpy.iterable, 1, 1, 1, , 
numpy.char.find, 1, 2, 1, , 
numpy.random.vonmises, 1, 3, 1, size, 1
numpy.invert, 1, 1, 1, , 
numpy.nanargmin, 1, 1, 1, , 
numpy.ma.masked_not_equal, 1, 2, 1, , 
numpy.dsplit, 1, 2, 1, , 
numpy.math.cos, 1, 1, 1, , 
numpy.math.sin, 1, 1, 1, , 
numpy.arrray, 1, 1, 1, , 
numpy.isneginf, 1, 1, 1, , 
numpy.ndim, 1, 1, 1, , 
numpy.exp2, 1, 1, 1, , 
numpy.nanargmax, 1, 2, 1, axis, 1
numpy.cbrt, 1, 1, 1, , 
numpy.uint16, 1, 1, 1, , 
numpy.polynomial.Chebyshev.fromroots, 1, 1, 1, , 
numpy.polynomial.Legendre.fromroots, 1, 1, 1, , 
numpy.polynomial.polynomial.polyvander, 1, 2, 1, , 
numpy.polynomial.chebyshev.chebvander, 1, 2, 1, , 
numpy.float64.mro, 1, 0, 1, , 
numpy.lexsort, 1, 1, 1, , 
numpy.test, 1, 0, 1, , 
numpy.core.records.fromarrays, 1, 3, 1, names, 1
numpy.vdot, 1, 2, 1, , 
numpy.polyint, 1, 1, 1, , 
numpy.polyder, 1, 2, 1, , 
numpy.det, 1, 0, 1, , 
numpy.int_, 1, 1, 1, , 
numpy.random.nolmal, 1, 1, 1, size, 1
numpy.frexp, 1, 1, 1, , 
numpy.int0, 1, 1, 1, , 
numpy.apply_over_axes, 1, 3, 1, axes, 1
numpy.arsin, 1, 0, 1, , 
numpy.fft.ifftshift, 1, 2, 1, axes, 1
numpy.minimum.accumulate, 1, 1, 1, , 
numpy.expm1, 1, 1, 1, , 
numpy.bartlett, 1, 1, 1, , 
numpy.int8, 1, 1, 1, , 
numpy.complex, 1, 1, 1, , 
numpy.array_str, 1, 1, 1, , 
numpy.divmod, 1, 2, 1, , 
numpy.string_, 1, 1, 1, , 
numpy.ndarray.min, 1, 1, 1, , 
numpy.ndarray.max, 1, 1, 1, , 
numpy.random.pareto, 1, 1, 1, , 
numpy.random.set_state, 1, 1, 1, , 
numpy.linalg.eigvalsh, 1, 1, 1, , 
numpy.range, 1, 0, 1, , 
numpy.lib.recfunctions.merge_arrays, 1, 1, 1, , 
numpy.bitwise_or.accumulate, 1, 1, 1, , 
numpy.ma.copy, 1, 1, 1, , 
numpy.random.getstate, 1, 0, 1, , 
numpy.ma.isMA, 1, 1, 1, , 
numpy.float_power, 1, 2, 1, , 
numpy.char.count, 1, 2, 1, , 
numpy.maximum.accumulate, 2, 1, 1, axis, 1
numpy.copysign, 2, 2, 2, , 
numpy.random.mtrand.RandomState, 2, 1, 2, , 
numpy.random.triangular, 2, 4, 2, , 
numpy.diagonal, 2, 4, 2, , 
numpy.bitwise_not, 2, 1, 2, , 
numpy.testing.assert_array_almost_equal_nulp, 2, 3, 2, , 
numpy.ma.average, 2, 2, 2, axis, 2
numpy.char.rstrip, 2, 1, 2, , 
numpy.ma.make_mask, 2, 1, 2, , 
numpy.reciprocal, 2, 1, 2, , 
numpy.tril_indices_from, 2, 2, 1, k, 1
numpy.unpackbits, 2, 1, 1, axis, 1
numpy.chararray, 2, 2, 2, itemsize, 2
numpy.ma.masked_less_equal, 2, 2, 2, , 
numpy.ma.masked_outside, 2, 3, 2, , 
numpy.fmod, 2, 2, 2, , 
numpy.warnings.filterwarnings, 2, 1, 2, , 
numpy.int64, 2, 1, 2, , 
numpy.less, 2, 2, 2, , 
numpy.ravel_multi_index, 2, 2, 2, , 
numpy.logical_and.reduce, 2, 1, 1, axis, 1
numpy.recarray, 2, 3, 2, buf, 2
numpy.product, 2, 1, 1, axis, 1
numpy.may_share_memory, 2, 2, 2, , 
numpy.polynomial.legendre.Legendre, 2, 0, 1, , 
numpy.floor_divide, 2, 2, 2, , 
numpy.add.reduceat, 2, 2, 1, axis, 1
numpy.random.power, 2, 2, 2, size, 1
numpy.tri, 2, 2, 2, k, 2
numpy.fft, 2, 1, 2, , 
numpy.random.geometric, 2, 2, 2, , 
numpy.randint, 2, 3, 2, high, 2
numpy.sinh, 2, 1, 2, , 
numpy.random.get_state, 2, 0, 1, , 
numpy.ma.column_stack, 2, 1, 2, , 
numpy.lib.recfunctions.stack_arrays, 2, 2, 2, usemask, 2
numpy.nanvar, 2, 1, 2, , 
numpy.ma.dot, 2, 2, 2, , 
numpy.ma.filled, 2, 2, 2, , 
numpy.polynomial.hermite.hermgauss, 2, 1, 2, , 
numpy.ma.asarray, 3, 2, 2, dtype, 2
numpy.greater_equal, 3, 2, 3, , 
numpy.conjugate, 3, 1, 3, , 
numpy.str, 3, 1, 3, , 
numpy.long, 3, 1, 3, , 
numpy.rec.fromarrays, 3, 2, 3, names, 3
numpy.ctypeslib.load_library, 3, 2, 3, , 
numpy.uint32, 3, 1, 3, , 
numpy.random.laplace, 3, 1, 3, size, 3
numpy.char.lower, 3, 1, 3, , 
numpy.geomspace, 3, 3, 3, num, 3
numpy.polynomial.Polynomial.fromroots, 3, 1, 3, , 
numpy.polynomial.Chebyshev, 3, 1, 2, , 
numpy.asfortranarray, 3, 1, 3, , 
numpy.bool, 3, 1, 3, , 
numpy.diagflat, 3, 1, 3, , 
numpy.ma.masked_greater, 3, 2, 3, , 
numpy.tril_indices, 3, 1, 3, , 
numpy.not_equal, 3, 2, 3, , 
numpy.ma.masked_all, 3, 1, 3, , 
numpy.linalg.slogdet, 3, 1, 3, , 
numpy.lib.stride_tricks.as_strided, 3, 4, 3, strides, 3
numpy.fromfunction, 4, 2, 3, dtype, 1
numpy.greater, 4, 2, 4, , 
numpy.testing.assert_array_equal, 4, 2, 4, , 
numpy.bitwise_and, 4, 2, 4, , 
numpy.ndarray.flatten, 4, 1, 4, , 
numpy.ma.mean, 4, 2, 4, axis, 4
numpy.ma.std, 4, 2, 4, axis, 4
numpy.broadcast_arrays, 4, 3, 4, , 
numpy.int32, 4, 1, 4, , 
numpy.ndindex, 4, 1, 4, , 
numpy.extract, 4, 2, 4, , 
numpy.cosh, 4, 1, 4, , 
numpy.select, 4, 3, 3, default, 3
numpy.true_divide, 4, 2, 4, , 
numpy.ldexp, 4, 2, 4, , 
numpy.compress, 4, 3, 3, axis, 3
numpy.multiply.reduce, 5, 1, 5, , 
numpy.multiply.accumulate, 5, 1, 5, , 
numpy.diag_indices, 5, 1, 5, , 
numpy.require, 5, 2, 5, dtype, 5
numpy.testing.assert_equal, 5, 2, 5, , 
numpy.core.umath_tests.matrix_multiply, 5, 2, 5, , 
numpy.frompyfunc, 5, 3, 5, , 
numpy.histogramdd, 5, 2, 3, bins, 2
numpy.linalg.matrix_rank, 5, 1, 5, , 
numpy.polynomial.Polynomial, 5, 1, 4, , 
