function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pandas.Timestamp.today, 1, 0, 1, , 
pandas.Timestamp.fromtimestamp, 1, 1, 1, , 
pandas.np.random.randn, 1, 1, 1, , 
pandas.set_eng_float_format, 1, 2, 1, , 
pandas.np.linspace, 1, 3, 1, , 
pandas.np.fft.ifft, 1, 1, 1, , 
pandas.np.random.random, 1, 1, 1, , 
pandas.segment, 1, 8, 1, y0, 1
pandas.circle, 1, 7, 1, hover_color, 1
pandas.add_tools, 1, 1, 1, , 
pandas.util.testing.assert_series_equal, 1, 2, 1, , 
pandas.offsets.MonthEnd, 1, 0, 1, , 
pandas.np.polyfit, 1, 3, 1, , 
pandas.io.sql.execute, 1, 2, 1, , 
pandas.plotting.register_matplotlib_converters, 1, 0, 1, , 
pandas.infer_freq, 1, 1, 1, , 
pandas.testing.assert_frame_equal, 1, 2, 1, , 
pandas.TimedeltaIndex, 1, 2, 1, unit, 1
pandas.plotting.parallel_coordinates, 1, 2, 1, , 
pandas.plotting.andrews_curves, 1, 2, 1, , 
pandas.plotting.lag_plot, 1, 2, 1, lag, 1
pandas.to_csv, 1, 1, 1, , 
pandas.rolling_apply, 1, 3, 1, , 
pandas.rolling_sum, 1, 3, 1, min_periods, 1
pandas.groupby, 1, 2, 1, , 
pandas.Timestamp.now, 1, 0, 1, , 
pandas.tseries.holiday.USFederalHolidayCalendar, 1, 0, 1, , 
pandas.datetime.now, 1, 0, 1, , 
pandas.datetools.Day, 1, 0, 1, , 
pandas.datetools.MonthEnd, 1, 0, 1, , 
pandas.datetools.Hour, 1, 1, 1, , 
pandas.util.testing.makeMissingDataframe, 1, 0, 1, , 
pandas.util.testing.makeTimeSeries, 1, 0, 1, , 
pandas.load, 1, 1, 1, , 
pandas.io.sql.read_frame, 1, 2, 1, , 
pandas.TimeSeries, 1, 2, 1, index, 1
pandas.reset_option, 1, 1, 1, , 
pandas.tools.plotting.table, 1, 4, 1, colWidths, 1
pandas.io.stata.read_stata, 1, 1, 1, , 
pandas.np.max, 1, 1, 1, , 
pandas.np.asarray, 1, 1, 1, , 
pandas.read_gbq, 1, 3, 1, dialect, 1
pandas.to_pickle, 1, 2, 1, , 
pandas.Series.from_csv, 1, 1, 1, , 
pandas.DataFrame.copy, 1, 1, 1, , 
pandas.datetools.timedelta, 2, 3, 2, seconds, 2
pandas.tseries.offsets.BDay, 2, 0, 2, , 
pandas.merge_asof, 2, 5, 2, direction, 2
pandas.max, 2, 1, 2, axis, 2
pandas.tools.plotting.hist_frame, 2, 2, 2, figsize, 2
pandas.Panel.from_dict, 2, 1, 1, orient, 1
pandas.offsets.BDay, 2, 1, 1, , 
pandas.tools.plotting.autocorrelation_plot, 2, 1, 2, , 
pandas.rpy.common.load_data, 2, 1, 2, , 
