function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pandas._config.config.get_option, 1, 1, 1, , 
pandas._libs.reduction.SeriesGrouper, 1, 5, 1, , 
pandas._libs.reduction.SeriesBinGrouper, 1, 4, 1, , 
pandas._libs.reduction.apply_frame_axis0, 1, 5, 1, , 
pandas.arrays.PandasArray, 1, 1, 1, , 
pandas.plotting._compat._mpl_ge_2_2_3, 1, 0, 1, , 
pandas.api.types.is_float_dtype, 1, 1, 1, , 
pandas.io.pytables._TYPE_MAP.update, 1, 1, 1, , 
pandas.io.pytables._AXES_MAP.update, 1, 1, 1, , 
pandas.np.random.RandomState, 1, 1, 1, seed, 1
pandas.apply, 1, 1, 1, , 
pandas.io.excel._pop_header_name, 1, 2, 1, , 
pandas.io.excel._trim_excel_header, 1, 1, 1, , 
pandas.io.parsers.TextParser, 1, 12, 1, skip_footer, 1
pandas.core.internals.BlockManager, 1, 2, 1, , 
pandas.io.ga.read_ga, 1, 13, 1, secrets, 1
pandas.DataFrame.quantile, 1, 2, 1, null, 1
pandas.Series._get_axis_number, 1, 1, 1, , 
pandas.SEries, 1, 0, 1, , 
pandas.np.random.randn, 1, 1, 1, , 
pandas.core.series.Series, 1, 2, 1, index, 1
pandas.compat.signature, 1, 1, 1, , 
pandas.np.random.normal, 1, 1, 1, size, 1
pandas.set_eng_float_format, 1, 2, 1, , 
pandas.np.fft.ifft, 1, 1, 1, , 
pandas.np.random.random, 1, 1, 1, , 
pandas.DataFrame.concat, 1, 1, 1, , 
pandas.to_hdf, 1, 3, 1, null, 1
pandas.SparseDtype, 1, 2, 1, , 
pandas.segment, 1, 8, 1, y0, 1
pandas.circle, 1, 7, 1, hover_color, 1
pandas.add_tools, 1, 1, 1, , 
pandas.boxplot, 1, 3, 1, by, 1
pandas.core.common.is_int64_dtype, 1, 1, 1, , 
pandas.lib.memory_usage_of_objects, 1, 1, 1, , 
pandas.core.common._justify, 1, 3, 1, mode, 1
pandas.lib.isposinf_scalar, 1, 1, 1, , 
pandas.lib.isneginf_scalar, 1, 1, 1, , 
pandas.core.missing._get_fill_func, 1, 1, 1, , 
pandas.algos.group_shift_indexer, 1, 4, 1, , 
pandas.core.missing._clean_interp_method, 1, 2, 1, null, 1
pandas.io.gbq._generate_bq_schema, 1, 1, 1, , 
pandas.util.testing._skip_if_python26, 1, 0, 1, , 
pandas._sparse.IntIndex, 1, 2, 1, , 
pandas.SparseTimeSeries, 1, 2, 1, index, 1
pandas.core.format._get_adjustment, 1, 0, 1, , 
pandas.tools.plotting._mpl_le_1_2_1, 1, 0, 1, , 
pandas.tools.plotting._mpl_ge_1_3_1, 1, 0, 1, , 
pandas.tools.plotting._mpl_ge_1_4_0, 1, 0, 1, , 
pandas.tools.plotting._mpl_ge_1_5_0, 1, 0, 1, , 
pandas.algos.group_cumprod_float64, 1, 4, 1, , 
pandas.util.testing.assertNotIsInstance, 1, 2, 1, , 
pandas.msgpack.packb, 1, 2, 1, default, 1
pandas.core.common.DatetimeTZDtype, 1, 2, 1, , 
pandas.tseries.converter.PeriodConverter, 1, 0, 1, , 
pandas.compat.range, 1, 1, 1, , 
pandas.np.polyfit, 1, 3, 1, , 
pandas.DataFrame.__round__, 1, 3, 1, null, 1
pandas.DataFrame.round, 1, 3, 1, null, 1
pandas.util.terminal.get_terminal_size, 1, 0, 1, , 
pandas.WidePanel.__init__, 1, 4, 1, minor_axis, 1
pandas.WidePanel.from_dict, 1, 1, 1, , 
pandas.plotting.deregister_matplotlib_converters, 1, 0, 1, , 
pandas.plotting.register_matplotlib_converters, 1, 0, 1, , 
pandas.api.types.pandas_dtype, 1, 1, 1, , 
pandas.ewmvar, 1, 3, 1, span, 1
pandas.DataFrame.transpose, 1, 1, 1, , 
pandas.__version__.startswith, 1, 1, 1, , 
pandas.core.internals.construction.arrays_to_mgr, 1, 5, 1, dtype, 1
pandas.rolling_corr_pairwise, 1, 2, 1, , 
pandas.plotting.andrews_curves, 1, 2, 1, , 
pandas.plotting.lag_plot, 1, 2, 1, lag, 1
pandas.core.common.is_datetime_arraylike, 1, 1, 1, , 
pandas.tseries.resample._get_range_edges, 1, 3, 1, , 
pandas.np.unique, 1, 1, 1, , 
pandas.np.ceil, 1, 1, 1, , 
pandas.io.parsers.read_fwf, 1, 6, 1, na_values, 1
pandas.DataFrame.transform, 1, 4, 1, null, 1
pandas.core.groupby.DataFrameGroupBy.transform, 1, 4, 1, null, 1
pandas.Series.transform, 1, 4, 1, null, 1
pandas.io.common._NA_VALUES.difference, 1, 1, 1, , 
pandas.np.intersect1d, 1, 2, 1, , 
pandas.io.sql._parse_date_columns, 1, 2, 1, , 
pandas.to_csv, 1, 1, 1, , 
pandas.DatetimeIndex.__new__, 1, 3, 1, null, 1
pandas.Series.idxmax, 1, 1, 1, , 
pandas.Series.to_csv.assert_called, 1, 0, 1, , 
pandas.DataFrame.to_csv.assert_called, 1, 0, 1, , 
pandas.offsets.CDay, 1, 1, 1, calendar, 1
pandas.np.loadtxt, 1, 1, 1, , 
pandas.np.logspace, 1, 3, 1, num, 1
pandas.np.genfromtxt, 1, 4, 1, delimiter, 1
pandas.tseries.offsets.BusinessHour, 1, 2, 1, start, 1
pandas.core.common.get_distinct_objs, 1, 1, 1, , 
pandas.io.sql.pandasSQL_builder, 1, 1, 1, , 
pandas._libs.lib.left_join_1d, 1, 5, 1, , 
pandas._libs.lib.left_join_2d, 1, 5, 1, , 
pandas.core.frame.DataFrame, 1, 1, 1, index, 1
pandas.lib.skiplist.IndexableSkiplist.remove, 1, 1, 1, , 
pandas.lib.skiplist.IndexableSkiplist.insert, 1, 1, 1, , 
pandas.core.arrays.timedeltas.TimedeltaArrayMixin.__truediv__, 1, 2, 1, , 
