function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pyarrow.benchmark.benchmark_PandasObjectIsNull, 1, 1, 1, , 
pyarrow.flight.FlightCallOptions, 1, 1, 1, timeout, 1
pyarrow.flight.RecordBatchStream, 1, 1, 1, , 
pyarrow.flight.Result, 1, 1, 1, , 
pyarrow.lib.binary, 1, 0, 1, , 
pyarrow.lib.string, 1, 0, 1, , 
pyarrow.lib.FeatherWriter, 1, 0, 1, , 
pyarrow._orc.ORCReader, 1, 0, 1, , 
pyarrow.lib._ndarray_to_arrow_type, 1, 2, 1, , 
pyarrow.lib.table_to_blocks, 1, 4, 1, , 
pyarrow._parquet.ParquetWriter, 1, 7, 1, version, 1
pyarrow.lib.DictionaryArray.from_arrays, 1, 2, 1, , 
pyarrow.lib.Column.from_array, 1, 2, 1, , 
pyarrow.lib.concat_tables, 1, 1, 1, , 
pyarrow.pandas_compat.dataframe_to_serialized_dict, 1, 1, 1, , 
pyarrow.pandas_compat.serialized_dict_to_dataframe, 1, 1, 1, , 
pyarrow.Array, 1, 1, 1, , 
pyarrow.UnionArray.from_sparse, 1, 2, 1, , 
pyarrow.utf8, 1, 0, 1, , 
pyarrow.Tensor, 1, 0, 1, , 
pyarrow.cuda.Context, 1, 1, 1, , 
pyarrow.cuda.IpcMemHandle.from_buffer, 1, 1, 1, , 
pyarrow.gandiva.get_registered_function_signatures, 1, 0, 1, , 
pyarrow.tests.test_parquet._test_read_common_metadata_files, 1, 2, 1, , 
pyarrow.tests.test_parquet._test_write_to_dataset_with_partitions, 1, 2, 1, filesystem, 1
pyarrow.tests.test_parquet._test_write_to_dataset_no_partitions, 1, 2, 1, filesystem, 1
pyarrow.have_libhdfs, 1, 0, 1, , 
pyarrow.have_libhdfs3, 1, 0, 1, , 
pyarrow.Buffer, 1, 0, 1, , 
pyarrow.MessageReader.open_stream, 1, 1, 1, , 
pyarrow.get_record_batch_size, 1, 1, 1, , 
pyarrow.jvm.jvm_buffer, 1, 1, 1, , 
pyarrow.jvm.field, 1, 1, 1, , 
pyarrow.jvm.record_batch, 1, 1, 1, , 
pyarrow.logging_memory_pool, 1, 1, 1, , 
pyarrow.NAType, 1, 0, 1, , 
pyarrow.Schema, 1, 0, 1, , 
pyarrow.type_for_alias, 1, 1, 1, , 
pyarrow.Schema.from_pandas, 1, 1, 1, , 
pyarrow.SerializedPyObject.from_components, 1, 1, 1, , 
pyarrow.types.is_unicode, 1, 1, 1, , 
pyarrow.lib._is_primitive, 1, 1, 1, , 
pyarrow.open_file, 1, 1, 1, , 
pyarrow.csv.read_csv, 1, 2, 1, parse_options, 1
pyarrow.Table.to_pandas, 1, 1, 1, , 
pyarrow.pandas_compat.dataframe_to_arrays, 1, 3, 1, , 
pyarrow.types.is_date64, 1, 1, 1, , 
pyarrow.UnionArray.from_dense, 2, 3, 2, , 
pyarrow.parquet.ParquetManifest, 2, 2, 1, metadata_nthreads, 2
pyarrow.flight.Action, 2, 2, 2, , 
pyarrow.flight.FlightDescriptor.for_path, 2, 1, 2, , 
pyarrow.flight.FlightDescriptor.for_command, 2, 1, 2, , 
pyarrow.flight.FlightClient.connect, 2, 1, 1, null, 1
pyarrow.flight.FlightEndpoint, 2, 2, 2, , 
pyarrow.flight.FlightInfo, 2, 5, 2, , 
pyarrow.foreign_buffer, 2, 3, 2, , 
pyarrow.lib.string_to_tzinfo, 2, 1, 2, , 
pyarrow.lib.array, 2, 1, 2, , 
pyarrow.get_include, 2, 0, 2, , 
pyarrow.get_library_dirs, 2, 0, 2, , 
pyarrow.tests.test_parquet._test_dataframe, 2, 2, 2, seed, 2
pyarrow.compress, 2, 2, 1, codec, 2
pyarrow.CompressedOutputStream, 2, 2, 2, , 
pyarrow.RecordBatchFileReader, 2, 1, 2, , 
pyarrow.read_schema, 2, 1, 2, , 
pyarrow.jvm.schema, 2, 1, 2, , 
pyarrow.jvm.array, 2, 1, 2, , 
pyarrow.default_memory_pool, 2, 0, 2, , 
pyarrow.proxy_memory_pool, 2, 1, 2, , 
pyarrow.set_memory_pool, 2, 1, 2, , 
pyarrow.set_cpu_count, 2, 1, 2, , 
pyarrow.lib.is_named_tuple, 2, 1, 2, , 
pyarrow.read_serialized, 2, 1, 2, , 
pyarrow.read_tensor, 2, 1, 2, , 
pyarrow.types.is_unsigned_integer, 2, 1, 2, , 
pyarrow.types.is_union, 2, 1, 2, , 
pyarrow.types.is_fixed_size_binary, 2, 1, 2, , 
pyarrow.types.is_temporal, 2, 1, 2, , 
pyarrow.types.is_primitive, 2, 1, 2, , 
pyarrow.MemoryMappedFile.create, 2, 2, 2, , 
pyarrow.plasma.load_plasma_tensorflow_op, 2, 0, 2, , 
pyarrow.deserialize_components, 3, 1, 3, , 
pyarrow.lib.tzinfo_to_string, 3, 1, 3, , 
pyarrow.cpu_count, 3, 0, 3, , 
pyarrow.types.is_boolean, 3, 1, 3, , 
pyarrow.types.is_null, 3, 1, 3, , 
pyarrow.types.is_binary, 3, 1, 3, , 
pyarrow.types.is_decimal, 3, 1, 3, , 
pyarrow.read_record_batch, 3, 2, 3, , 
pyarrow.tests.util.get_modified_env_with_pythonpath, 3, 0, 3, , 
pyarrow.gandiva.make_projector, 3, 3, 3, , 
pyarrow.decompress, 3, 3, 1, codec, 3
pyarrow.read_message, 3, 1, 3, , 
pyarrow.parquet.PartitionSet, 3, 2, 3, , 
