function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pymc3.posteriorplot.plot_posterior, 1, 2, 1, varnames, 1
pymc3.gp.MarginalKron, 1, 1, 1, cov_funcs, 1
pymc3.gp.LatentKron, 1, 1, 1, cov_funcs, 1
pymc3.gp.mean.Linear, 1, 2, 1, coeffs, 1
pymc3.gp.cov.WhiteNoise, 1, 1, 1, , 
pymc3.gp.cov.Constant, 1, 1, 1, , 
pymc3.gp.cov.Periodic, 1, 3, 1, period, 1
pymc3.gp.util.kmeans_inducing_points, 1, 2, 1, , 
pymc3.gp.TP, 1, 2, 1, nu, 1
pymc3.math.stack, 1, 2, 1, axis, 1
pymc3.distributions.transforms.Ordered, 1, 0, 1, , 
pymc3.distributions.transforms.LogOdds, 1, 0, 1, , 
pymc3.distributions.transforms.Chain, 1, 1, 1, , 
pymc3.Logistic, 1, 4, 1, observed, 1
pymc3.distributions.dist_math.rho2sd, 1, 1, 1, , 
pymc3.model_to_graphviz, 1, 1, 1, , 
pymc3.hpd, 1, 1, 1, , 
pymc3.MeanField, 1, 1, 1, local_rv, 1
pymc3.KLqp, 1, 1, 1, , 
pymc3.math.dot, 1, 2, 1, , 
pymc3.densityplot, 1, 1, 1, , 
pymc3.sample_posterior_predictive_w, 1, 5, 1, weights, 1
pymc3.BinaryGibbsMetropolis, 1, 1, 1, , 
pymc3.SVGD, 1, 2, 1, jitter, 1
pymc3.GLM.from_formula, 1, 2, 1, , 
pymc3.Laplace, 1, 4, 1, mu, 1
pymc3.plots.autocorrplot, 1, 2, 1, trace, 1
pymc3.WishartBartlett, 1, 4, 1, testval, 1
pymc3.find_hessian, 1, 1, 1, , 
pymc3.stats.summary, 1, 2, 1, varnames, 1
pymc3.backends.SQLite, 1, 1, 1, , 
pymc3.math.logsumexp, 1, 2, 1, axis, 1
pymc3.backends.base.MultiTrace, 1, 1, 1, , 
pymc3.Cauchy, 1, 4, 1, shape, 1
pymc3.T.dist, 1, 3, 1, nu, 1
pymc3.glm.families.T, 1, 0, 1, , 
pymc3.constant, 1, 1, 1, , 
pymc3.ElemwiseCategoricalStep, 1, 2, 1, values, 1
pymc3.callbacks.CheckParametersConvergence, 1, 1, 1, null, 1
pymc3.Multinomial, 1, 4, 1, n, 1
pymc3.init_nuts, 1, 2, 1, n_nuts, 1
pymc3.approx_hessian, 1, 1, 1, , 
pymc3.LKJCorr, 1, 4, 1, testval, 1
pymc3.variational.svgd, 1, 2, 1, n, 1
pymc3.HalfFlat, 2, 3, 1, testval, 1
pymc3.StudentT.dist, 2, 3, 2, nu, 2
pymc3.glm.families.StudentT, 2, 0, 2, , 
pymc3.math.cartesian, 2, 2, 2, , 
pymc3.gp.Latent, 2, 1, 2, cov_func, 2
pymc3.HalfNormal.dist, 2, 1, 2, sigma, 2
pymc3.gp.cov.Exponential, 2, 2, 2, ls_inv, 1
pymc3.gp.cov.Linear, 2, 2, 2, , 
pymc3.gp.cov.Gibbs, 2, 3, 2, args, 2
pymc3.gp.MarginalSparse, 2, 2, 2, approx, 2
pymc3.MvGaussianRandomWalk, 2, 3, 2, chol, 2
pymc3.Gumbel, 2, 4, 2, observed, 2
pymc3.CategoricalGibbsMetropolis, 2, 1, 2, vars, 2
pymc3.Mixture, 2, 4, 2, observed, 2
pymc3.compareplot, 2, 1, 2, , 
pymc3.CompoundStep, 2, 1, 2, , 
pymc3.callbacks.Tracker, 2, 2, 2, mean, 1
pymc3.Weibull, 2, 4, 2, alpha, 2
pymc3.plots.plot_posterior, 2, 1, 2, trace, 2
pymc3.diagnostics.effective_n, 2, 1, 2, , 
pymc3.Exponential.dist, 2, 1, 2, , 
pymc3.plots.energyplot, 2, 1, 2, , 
pymc3.modelcontext, 2, 1, 2, , 
pymc3.gp.GP, 2, 4, 2, sigma, 2
pymc3.gp.sample_gp, 2, 5, 1, samples, 2
pymc3.dic, 2, 2, 2, , 
pymc3.compare_plot, 2, 1, 2, , 
pymc3.generator, 2, 1, 2, , 
pymc3.AR, 3, 4, 3, sigma, 3
pymc3.kdeplot, 3, 3, 2, color, 2
pymc3.HalfCauchy.dist, 3, 1, 3, beta, 3
pymc3.gp.util.plot_gp_dist, 3, 5, 3, palette, 3
pymc3.math.invlogit, 3, 1, 3, , 
pymc3.gp.cov.Polynomial, 3, 4, 3, c, 2
pymc3.gp.mean.Constant, 3, 1, 3, , 
pymc3.gp.cov.WarpedInput, 3, 4, 3, args, 3
pymc3.LKJCholeskyCov, 3, 4, 3, sd_dist, 3
pymc3.expand_packed_triangular, 3, 2, 3, , 
pymc3.Slice, 3, 0, 2, vars, 1
pymc3.bfmi, 3, 1, 3, , 
pymc3.Empirical, 3, 1, 2, model, 1
pymc3.ElemwiseCategorical, 3, 2, 2, vars, 3
pymc3.NFVI, 3, 2, 3, jitter, 3
pymc3.BinaryMetropolis, 3, 1, 2, tune_interval, 1
pymc3.switch, 3, 3, 3, , 
pymc3.plots.summary, 3, 1, 2, varnames, 1
pymc3.Normal.dist, 4, 2, 4, mu, 4
pymc3.gp.Marginal, 4, 1, 3, cov_func, 4
pymc3.gp.cov.RatQuad, 4, 3, 4, , 
pymc3.EllipticalSlice, 4, 2, 4, prior_cov, 4
pymc3.math.sin, 4, 1, 4, , 
pymc3.ADVI, 4, 0, 3, cost_part_grad_scale, 1
pymc3.set_data, 4, 1, 3, model, 1
pymc3.set_tt_rng, 4, 1, 4, , 
pymc3.NormalizingFlow, 4, 2, 3, model, 4
pymc3.sample_prior_predictive, 4, 0, 2, samples, 2
pymc3.stats.dic, 4, 2, 4, trace, 1
pymc3.stats.waic, 4, 2, 4, trace, 1
pymc3.GaussianRandomWalk, 5, 3, 5, shape, 5
pymc3.loo, 6, 2, 6, , 
pymc3.Gamma.dist, 6, 2, 6, alpha, 6
pymc3.gp.cov.Matern32, 6, 2, 6, , 
pymc3.Lognormal, 6, 3, 3, mu, 4
pymc3.math.sigmoid, 6, 1, 6, , 
pymc3.Data, 6, 2, 6, , 
pymc3.math.tanh, 6, 1, 6, , 
pymc3.compare, 6, 2, 3, ic, 3
pymc3.advi, 6, 1, 6, start, 4
pymc3.HamiltonianMC, 6, 1, 6, scaling, 5
pymc3.variational.advi_minibatch, 6, 7, 4, n, 6
pymc3.T, 6, 5, 4, lam, 6
pymc3.waic, 7, 2, 7, , 
pymc3.autocorrplot, 7, 2, 7, varnames, 4
pymc3.variational.sample_vp, 7, 2, 6, draws, 7
pymc3.pairplot, 8, 6, 6, sub_varnames, 8
pymc3.Minibatch, 8, 2, 8, batch_size, 3
pymc3.gp.cov.Cosine, 8, 2, 8, ls, 2
pymc3.gp.mean.Zero, 8, 0, 8, , 
pymc3.plots.traceplot, 8, 2, 8, trace, 2
pymc3.plot_posterior_predictive_glm, 9, 6, 6, samples, 8
pymc3.gelman_rubin, 9, 1, 5, varnames, 4
pymc3.math.sum, 9, 2, 9, axis, 9
pymc3.gp.cov.ScaledCov, 10, 4, 10, args, 3
pymc3.invlogit, 10, 1, 10, , 
pymc3.NormalMixture, 10, 5, 9, tau, 6
pymc3.Dirichlet, 10, 3, 8, shape, 8
pymc3.Categorical, 10, 3, 6, p, 8
pymc3.theanof.floatX, 10, 1, 10, , 
pymc3.glm.GLM.from_formula, 11, 3, 8, family, 8
pymc3.energyplot, 11, 1, 11, , 
pymc3.glm.glm, 11, 3, 7, family, 7
