function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pymc3.tt_rng, 1, 1, 1, , 
pymc3.theanof.ix_, 1, 1, 1, , 
pymc3.HalfCauchy.dist, 1, 1, 1, beta, 1
pymc3.plots.traceplot, 1, 1, 1, , 
pymc3.plots.forestplot, 1, 1, 1, , 
pymc3.diagnostics.effective_n, 1, 1, 1, , 
pymc3.ChiSquared, 1, 2, 1, , 
pymc3.MeanField, 1, 2, 1, start, 1
pymc3.set_tt_rng, 1, 1, 1, , 
pymc3.sampling.init_nuts, 1, 2, 1, null, 1
pymc3.model_to_graphviz, 1, 1, 1, , 
pymc3.gp.cov.Constant, 1, 1, 1, , 
pymc3.gp.cov.RatQuad, 1, 3, 1, ls, 1
pymc3.gp.cov.Exponential, 1, 2, 1, , 
pymc3.gp.cov.Matern32, 1, 2, 1, , 
pymc3.gp.cov.Cosine, 1, 2, 1, , 
pymc3.gp.cov.Linear, 1, 2, 1, , 
pymc3.gp.cov.Polynomial, 1, 4, 1, , 
pymc3.parallel_sampling.ProcessAdapter.recv_draw, 1, 1, 1, , 
pymc3.stats._psislw, 1, 2, 1, , 
pymc3.tests.backend_fixtures.remove_file_or_directory, 1, 1, 1, , 
pymc3.distributions.transforms.Chain, 1, 1, 1, , 
pymc3.util.get_transformed_name, 1, 2, 1, , 
pymc3.variational.callbacks.CheckParametersConvergence, 1, 3, 1, every, 1
pymc3.variational.flows.seems_like_flow_params, 1, 1, 1, , 
pymc3.variational.flows.seems_like_formula, 1, 1, 1, , 
pymc3.gp.util.kmeans_inducing_points, 1, 2, 1, X, 1
pymc3.MvNormal.dist, 1, 3, 1, chol, 1
pymc3.math.sigmoid, 1, 1, 1, , 
pymc3.glm.linear.GLM, 1, 3, 1, family, 1
pymc3.backends.hdf5.load, 1, 1, 1, , 
pymc3.step_methods.hmc.quadpotential.QuadPotentialFull, 1, 1, 1, , 
pymc3.backends.base.MultiTrace, 1, 1, 1, , 
pymc3.LKJCorr, 1, 3, 1, n, 1
pymc3.variational.sample_vp, 1, 5, 1, hide_transformed, 1
pymc3.step_methods.CompoundStep, 1, 1, 1, , 
pymc3.sampling.stop_tuning, 1, 1, 1, , 
pymc3._log.addHandler, 1, 1, 1, , 
pymc3._log.removeHandler, 1, 1, 1, , 
pymc3.get_data_file, 1, 2, 1, , 
pymc3.dic, 1, 1, 1, , 
pymc3.bpic, 1, 1, 1, , 
pymc3.stats._Summary, 1, 1, 1, , 
pymc3.NoDistribution, 1, 4, 1, testval, 1
pymc3.stats.df_summary, 1, 2, 1, include_transformed, 1
pymc3.distributions.dist_math.bound, 1, 3, 1, , 
pymc3.df_summary, 1, 2, 1, varnames, 1
pymc3.backends.Text, 1, 1, 1, , 
pymc3._log.setLevel, 1, 1, 1, , 
pymc3.autocorrplot, 1, 1, 1, null, 1
pymc3.plots.summary, 1, 1, 1, , 
pymc3.starting.optimize.basinhopping, 1, 2, 1, null, 1
pymc3.step_methods.HamiltonianMC, 1, 1, 1, vars, 1
pymc3.step_methods.Metropolis, 1, 1, 1, vars, 1
pymc3.distributions.distribution.generate_samples, 1, 5, 1, low, 1
pymc3.Beta.dist, 1, 2, 1, alpha, 1
pymc3.Bernoulli.dist, 1, 1, 1, p, 1
pymc3.glm.glm, 1, 3, 1, family, 1
pymc3.glm.plot_posterior_predictive, 1, 2, 1, samples, 1
pymc3.vartypes.isgenerator, 2, 1, 2, , 
pymc3.Model.get_context, 2, 0, 2, , 
pymc3._log.exception, 2, 2, 2, , 
pymc3.BinaryGibbsMetropolis, 2, 1, 2, , 
pymc3.KroneckerNormal, 2, 6, 2, mu, 2
pymc3.parallel_sampling.ParallelSampler, 2, 9, 2, , 
pymc3.Lognormal.dist, 2, 3, 2, mu, 2
pymc3.GLM.from_formula, 2, 2, 2, , 
pymc3.BinaryMetropolis, 2, 1, 2, , 
pymc3.gp.cov.Periodic, 2, 3, 2, , 
