function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
requests.packages.urllib3.util.retry.Retry, 1, 5, 1, status_forcelist, 1
requests.get.assert_called, 1, 0, 1, , 
requests.utils.parse_header_links, 1, 1, 1, , 
requests.packages.urllib3.response.HTTPResponse, 1, 7, 1, preload_content, 1
requests.exceptions.TooManyRedirects, 1, 0, 1, , 
requests.get.assert_has_calls, 1, 2, 1, any_order, 1
requests.packages.urllib3.add_stderr_logger, 1, 0, 1, , 
requests.cookies.merge_cookies, 1, 2, 1, , 
requests.pop, 1, 1, 1, , 
requests.packages.urllib3.util.ssl_.DEFAULT_CIPHERS.encode, 1, 1, 1, , 
requests.compat.getproxies, 1, 0, 1, , 
requests.__version__.split, 1, 1, 1, , 
requests.utils.unquote_unreserved, 1, 1, 1, , 
requests.Session.request, 1, 7, 1, null, 1
requests.Session.__del__, 1, 1, 1, , 
requests.cookies.MockRequest, 1, 1, 1, , 
requests.cookies.MockResponse, 1, 1, 1, , 
requests.auth.extract_cookies_to_jar, 1, 3, 1, , 
requests.exceptions.RetryError, 1, 2, 1, request, 1
requests.ReadTimeout, 1, 2, 1, request, 1
requests.PreparedRequest, 1, 0, 1, , 
requests.put.assert_not_called, 1, 0, 1, , 
requests.patch.assert_called_with, 1, 3, 1, json, 1
requests.patch.assert_not_called, 1, 0, 1, , 
requests.packages.urllib3.Retry, 1, 5, 1, read, 1
requests.models.Request, 1, 8, 1, url, 1
requests.utils.guess_json_utf, 1, 1, 1, , 
requests.HTTPError.__init__, 1, 3, 1, null, 1
requests.utils.get_encoding_from_headers, 1, 1, 1, , 
requests.compat.urlparse, 2, 1, 2, , 
requests.packages.urllib3.connectionpool.HTTPConnectionPool.__init__, 2, 3, 2, timeout, 2
requests.packages.urllib3.HTTPResponse, 2, 1, 2, null, 1
requests.packages.urllib3.exceptions.ClosedPoolError, 2, 2, 2, , 
requests.packages.urllib3.exceptions.EmptyPoolError, 2, 2, 2, , 
requests.utils.default_user_agent, 2, 0, 2, , 
requests.utils.requote_uri, 2, 1, 2, , 
requests.get.assert_called_once_with, 2, 2, 2, null, 2
requests.post.assert_called_once_with, 2, 2, 2, null, 2
requests.head.assert_called_once_with, 2, 2, 2, null, 2
requests.put.assert_called_once_with, 2, 2, 2, null, 2
requests.patch.assert_called_once_with, 2, 2, 2, null, 2
requests.delete.assert_called_once_with, 2, 2, 2, null, 2
requests.exceptions.ReadTimeout, 2, 1, 2, , 
requests.auth._basic_auth_str, 2, 2, 2, , 
requests.post.assert_not_called, 2, 0, 2, , 
requests.request.assert_called_once, 2, 0, 2, , 
requests.exceptions.InvalidURL, 3, 1, 3, , 
requests.utils.parse_dict_header, 3, 1, 3, , 
requests.compat.json.load, 3, 1, 3, , 
requests.compat.urljoin, 3, 2, 3, , 
requests.packages.urllib3.__version__.split, 3, 1, 3, , 
requests.packages.urllib3.contrib.pyopenssl.inject_into_urllib3, 3, 0, 3, , 
requests.utils.urlparse, 3, 1, 3, , 
requests.exceptions.ContentDecodingError, 3, 1, 2, , 
requests.__getattribute__, 3, 1, 3, , 
requests.compat.quote_plus, 3, 1, 3, , 
requests.exceptions.ConnectTimeout, 3, 1, 2, , 
requests.get.assert_not_called, 3, 0, 3, , 
requests.utils.default_headers, 4, 0, 4, , 
requests.Timeout, 4, 1, 2, , 
requests.utils.unquote, 4, 1, 4, , 
requests.put.assert_called_with, 4, 3, 4, null, 3
requests.delete.assert_called_with, 4, 2, 4, null, 3
requests.Session.__init__, 4, 1, 2, null, 2
requests.structures.CaseInsensitiveDict, 5, 1, 4, , 
requests.cookies.create_cookie, 5, 3, 2, domain, 3
requests.append, 5, 1, 5, , 
requests.compat.urlencode, 5, 1, 5, , 
requests.sessions.Session, 6, 0, 6, , 
requests.certs.where, 8, 0, 8, , 
requests.exceptions.Timeout, 8, 0, 6, , 
requests.models.Response, 8, 0, 8, , 
requests.utils.rewind_body, 10, 1, 10, , 
requests.post.assert_called_with, 10, 3, 9, null, 7
requests.utils.quote, 10, 1, 10, , 
requests.utils.dict_from_cookiejar, 12, 1, 12, , 
requests.utils.add_dict_to_cookiejar, 12, 2, 12, , 
requests.RequestException, 12, 1, 11, response, 2
requests.utils.cookiejar_from_dict, 14, 1, 13, , 
requests.auth.HTTPDigestAuth, 16, 2, 15, , 
requests.HTTPError, 16, 1, 14, response, 3
requests.get.assert_called_with, 20, 2, 16, null, 13
requests.compat.json.loads, 21, 1, 21, , 
requests.cookies.RequestsCookieJar, 27, 0, 27, , 
requests.exceptions.ConnectionError, 28, 0, 19, , 
requests.exceptions.HTTPError, 29, 1, 13, response, 9
requests.ConnectionError, 30, 0, 19, response, 2
requests.compat.json.dumps, 36, 2, 26, cls, 27
requests.auth.HTTPBasicAuth, 38, 2, 34, , 
requests.adapters.HTTPAdapter, 38, 1, 16, max_retries, 28
requests.patch, 51, 3, 27, headers, 40
requests.utils.get_netrc_auth, 62, 1, 61, raise_errors, 1
requests.options, 69, 1, 68, verify, 1
requests.packages.urllib3.disable_warnings, 132, 0, 99, , 
requests.head, 149, 1, 67, allow_redirects, 33
requests.Request, 226, 3, 81, data, 73
requests.session, 258, 0, 258, , 
requests.exceptions.RequestException, 300, 1, 298, , 
requests.request, 315, 6, 113, headers, 214
requests.Response, 401, 0, 401, , 
requests.delete, 581, 1, 315, headers, 213
requests.Session, 1224, 0, 1223, null, 1
requests.put, 1411, 2, 842, data, 1140
requests.post, 4205, 2, 1855, data, 3074
requests.get, 10057, 1, 4604, params, 1822
