function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
skimage.img_as_uint, 1, 1, 1, , 
skimage.img_as_int, 1, 1, 1, , 
skimage.io.use_plugin, 1, 1, 1, , 
skimage.util.shape.view_as_windows, 1, 3, 1, step, 1
skimage.util.view_as_windows, 1, 3, 1, , 
skimage.filters.rank.median, 1, 2, 1, , 
skimage.feature.match_template, 1, 2, 1, , 
skimage.morphology.binary_opening, 1, 2, 1, , 
skimage.segmentation.clear_border, 1, 2, 1, buffer_size, 1
skimage.restoration.denoise_tv_chambolle, 1, 2, 1, , 
skimage.filters.threshold_otsu, 1, 1, 1, , 
skimage.draw.line, 1, 4, 1, , 
skimage.filters.threshold_isodata, 1, 1, 1, , 
skimage.feature.canny, 1, 2, 1, sigma, 1
skimage.transform.SimilarityTransform, 2, 3, 1, translation, 1
skimage.transform.AffineTransform, 2, 1, 2, shear, 2
skimage.feature.corner_peaks, 2, 2, 2, min_distance, 2
skimage.morphology.disk, 2, 1, 2, , 
skimage.morphology.opening, 2, 2, 2, , 
skimage.morphology.closing, 3, 2, 3, , 
skimage.filters.threshold_adaptive, 3, 3, 3, offset, 3
skimage.transform.warp, 3, 2, 3, , 
skimage.exposure.adjust_gamma, 3, 2, 3, gamma, 3
skimage.morphology.remove_small_objects, 3, 2, 2, min_size, 2
skimage.feature.hog, 3, 2, 2, visualise, 2
skimage.data.astronaut, 4, 0, 4, , 
skimage.feature.peak_local_max, 4, 4, 2, threshold_rel, 2
skimage.morphology.skeletonize, 4, 1, 4, , 
skimage.morphology.binary_closing, 4, 2, 4, , 
skimage.util.img_as_float, 5, 1, 5, , 
skimage.morphology.square, 5, 1, 5, , 
skimage.external.tifffile.imread, 5, 1, 5, , 
skimage.color.rgb2gray, 8, 1, 8, , 
skimage.transform.rescale, 8, 2, 5, preserve_range, 2
skimage.measure.label, 8, 1, 5, return_num, 3
skimage.feature.blob_log, 9, 7, 6, max_sigma, 9
skimage.measure.regionprops, 9, 2, 9, intensity_image, 1
skimage.io.show, 10, 0, 10, , 
skimage.io.imshow, 15, 1, 15, , 
skimage.morphology.dilation, 18, 2, 12, selem, 11
skimage.io.imsave, 21, 2, 21, fname, 1
skimage.io.ImageCollection, 22, 1, 15, conserve_memory, 7
skimage.transform.resize, 37, 3, 32, preserve_range, 25
skimage.io.imread, 98, 1, 95, as_gray, 2
