function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
sklearn.preprocessing.Imputer, 1, 1, 1, strategy, 1
sklearn.model_selection.KFold, 1, 2, 1, shuffle, 1
sklearn.preprocessing.PolynomialFeatures, 1, 1, 1, , 
sklearn.dummy.DummyClassifier, 1, 1, 1, strategy, 1
sklearn.preprocessing.Normalizer, 1, 0, 1, , 
sklearn.metrics.pairwise.pairwise_distances, 1, 2, 1, n_jobs, 1
sklearn.linear_model.Ridge, 1, 1, 1, , 
sklearn.model_selection.RandomizedSearchCV, 1, 4, 1, n_iter, 1
sklearn.naive_bayes.BernoulliNB, 1, 0, 1, , 
sklearn.utils.resample, 1, 4, 1, n_samples, 1
sklearn.feature_selection.SelectFromModel, 1, 2, 1, threshold, 1
sklearn.datasets.samples_generator.make_moons, 1, 2, 1, n_samples, 1
sklearn.datasets.samples_generator.make_circles, 1, 2, 1, n_samples, 1
sklearn.cross_validation.StratifiedKFold, 1, 3, 1, random_state, 1
sklearn.metrics.classification_report, 1, 2, 1, , 
sklearn.decomposition.LatentDirichletAllocation, 1, 0, 1, , 
sklearn.naive_bayes.MultinomialNB, 1, 1, 1, alpha, 1
sklearn.gaussian_process.kernels.Matern, 1, 0, 1, , 
sklearn.cross_validation.LabelShuffleSplit, 1, 3, 1, n_iter, 1
sklearn.cross_validation.StratifiedShuffleSplit, 1, 3, 1, n_iter, 1
sklearn.cross_validation.split, 1, 2, 1, , 
sklearn.linear_model.LassoCV, 1, 5, 1, n_jobs, 1
sklearn.ensemble.GradientBoostingClassifier, 1, 1, 1, n_estimators, 1
sklearn.neighbors.DistanceMetric.get_metric, 1, 1, 1, , 
sklearn.metrics.pairwise.distance_metrics, 1, 0, 1, , 
sklearn.metrics.normalized_mutual_info_score, 1, 2, 1, , 
sklearn.metrics.adjusted_mutual_info_score, 1, 2, 1, , 
sklearn.metrics.mutual_info_score, 1, 2, 1, , 
sklearn.manifold.spectral_embedding, 1, 5, 1, n_components, 1
sklearn.cluster.k_means_.KMeans, 1, 1, 1, n_clusters, 1
sklearn.cluster.k_means_._mini_batch_step, 1, 11, 1, verbose, 1
sklearn.cluster.k_means_._labels_inertia, 1, 3, 1, , 
sklearn.preprocessing.maxabs_scale, 1, 1, 1, , 
sklearn.preprocessing.MinMaxScaler, 1, 0, 1, , 
sklearn.svm.OneClassSVM, 1, 0, 1, , 
sklearn.mixture.GaussianMixture, 1, 1, 1, n_components, 1
sklearn.datasets.load_diabetes, 1, 0, 1, , 
sklearn.feature_extraction.text.TfidfVectorizer, 2, 1, 2, lowercase, 2
sklearn.decomposition.TruncatedSVD, 2, 1, 2, n_components, 2
sklearn.metrics.hamming_loss, 2, 2, 2, , 
sklearn.manifold.MDS, 2, 2, 1, n_components, 2
sklearn.cluster.MeanShift, 2, 1, 1, bin_seeding, 1
sklearn.neighbors.KNeighborsClassifier, 2, 0, 2, , 
sklearn.model_selection.ShuffleSplit, 2, 2, 2, test_size, 2
sklearn.datasets.fetch_olivetti_faces, 2, 0, 2, , 
sklearn.datasets.samples_generator.make_blobs, 2, 4, 1, n_samples, 2
sklearn.datasets.samples_generator.make_swiss_roll, 2, 2, 2, , 
sklearn.pipeline.make_pipeline, 2, 2, 2, , 
sklearn.tree.DecisionTreeClassifier, 2, 2, 2, min_samples_leaf, 2
sklearn.feature_extraction.text.CountVectorizer, 2, 2, 1, binary, 1
sklearn.cross_validation.ShuffleSplit, 2, 2, 2, n_iter, 2
sklearn.metrics.pairwise.rbf_kernel, 2, 2, 2, gamma, 2
sklearn.metrics.average_precision_score, 2, 2, 2, , 
sklearn.preprocessing.OneHotEncoder, 3, 1, 3, categorical_features, 2
sklearn.cross_validation.cross_val_predict, 3, 4, 3, cv, 3
sklearn.gaussian_process.kernels.ConstantKernel, 3, 2, 3, , 
sklearn.model_selection.PredefinedSplit, 3, 1, 3, , 
sklearn.preprocessing.minmax_scale, 3, 1, 2, axis, 1
sklearn.utils.shuffle, 3, 1, 3, , 
sklearn.grid_search.GridSearchCV, 3, 2, 2, n_jobs, 1
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis, 3, 0, 3, , 
sklearn.pipeline.FeatureUnion, 3, 1, 3, , 
sklearn.preprocessing.scale, 3, 1, 2, axis, 1
sklearn.datasets.make_circles, 3, 4, 2, n_samples, 3
sklearn.preprocessing.normalize, 4, 1, 4, , 
sklearn.cluster.SpectralClustering, 4, 1, 3, n_clusters, 1
sklearn.cluster.AffinityPropagation, 4, 0, 3, damping, 1
sklearn.model_selection.GridSearchCV, 4, 3, 3, cv, 2
sklearn.datasets.fetch_20newsgroups, 4, 1, 2, subset, 3
sklearn.decomposition.FactorAnalysis, 4, 1, 4, n_components, 4
sklearn.decomposition.FastICA, 4, 1, 4, n_components, 4
sklearn.datasets.load_sample_image, 4, 1, 4, , 
sklearn.metrics.euclidean_distances, 4, 1, 2, , 
sklearn.neighbors.KNeighborsRegressor, 5, 1, 5, n_neighbors, 5
sklearn.datasets.load_breast_cancer, 5, 1, 5, return_X_y, 5
sklearn.cluster.AgglomerativeClustering, 5, 1, 3, n_clusters, 2
sklearn.mixture.GMM, 5, 1, 4, n_components, 5
sklearn.pipeline.Pipeline, 5, 1, 5, , 
sklearn.ensemble.RandomForestRegressor, 6, 1, 4, n_estimators, 5
sklearn.linear_model.SGDClassifier, 6, 5, 4, n_iter, 6
sklearn.datasets.make_regression, 6, 1, 2, n_features, 3
sklearn.metrics.roc_auc_score, 6, 2, 6, , 
sklearn.manifold.TSNE, 7, 2, 3, n_components, 6
sklearn.tree.export_graphviz, 7, 5, 4, out_file, 6
sklearn.metrics.f1_score, 8, 3, 6, average, 7
sklearn.datasets.make_classification, 8, 7, 4, n_features, 5
sklearn.cross_validation.cross_val_score, 8, 3, 4, cv, 4
sklearn.datasets.load_boston, 8, 0, 5, return_X_y, 3
sklearn.ensemble.GradientBoostingRegressor, 8, 3, 5, n_estimators, 6
sklearn.cluster.KMeans, 9, 1, 9, n_clusters, 2
sklearn.cluster.DBSCAN, 9, 1, 4, eps, 7
sklearn.metrics.auc, 9, 2, 9, , 
sklearn.metrics.accuracy_score, 10, 2, 10, , 
sklearn.svm.LinearSVC, 10, 2, 4, loss, 8
sklearn.metrics.roc_curve, 10, 3, 9, pos_label, 9
sklearn.preprocessing.LabelEncoder, 11, 0, 11, , 
sklearn.linear_model.LogisticRegressionCV, 11, 0, 9, penalty, 2
sklearn.tree.DecisionTreeRegressor, 11, 0, 9, random_state, 2
sklearn.cross_validation.KFold, 13, 2, 6, n_folds, 13
sklearn.discriminant_analysis.LinearDiscriminantAnalysis, 13, 1, 8, n_components, 8
sklearn.metrics.mean_squared_error, 13, 2, 13, , 
sklearn.datasets.make_moons, 14, 2, 13, noise, 14
sklearn.datasets.load_digits, 15, 1, 8, return_X_y, 8
sklearn.neighbors.KDTree, 15, 1, 11, leaf_size, 3
sklearn.preprocessing.StandardScaler, 15, 0, 15, , 
sklearn.ensemble.RandomForestClassifier, 18, 1, 8, n_estimators, 11
sklearn.metrics.confusion_matrix, 18, 2, 17, , 
sklearn.linear_model.LinearRegression, 20, 0, 19, n_jobs, 1
sklearn.datasets.load_iris, 23, 0, 16, return_X_y, 7
sklearn.datasets.make_blobs, 23, 3, 10, centers, 20
sklearn.svm.SVC, 25, 1, 12, kernel, 21
sklearn.cross_validation.train_test_split, 26, 3, 13, test_size, 18
sklearn.decomposition.PCA, 29, 1, 28, n_components, 28
sklearn.linear_model.LogisticRegression, 47, 2, 18, class_weight, 27
sklearn.model_selection.train_test_split, 50, 3, 29, test_size, 35
