function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
sklearn.neighbors.BallTree, 1, 3, 1, metric, 1
sklearn.ensemble._hist_gradient_boosting.binning._find_binning_thresholds, 1, 4, 1, , 
sklearn.utils.estimator_checks.check_estimator, 1, 1, 1, , 
sklearn.kernel_ridge.KernelRidge, 1, 4, 1, gamma, 1
sklearn.feature_extraction.image.grid_to_graph, 1, 3, 1, n_y, 1
sklearn.decomposition.__getattribute__, 1, 1, 1, , 
sklearn.model_selection.cross_val_predict, 1, 4, 1, cv, 1
sklearn.__version__.startswith, 1, 1, 1, , 
sklearn.model_selection._validation.check_cv, 1, 3, 1, classifier, 1
sklearn.preprocessing.Imputer.__init__, 1, 6, 1, , 
sklearn.random_projection.GaussianRandomProjection, 1, 0, 1, , 
sklearn.multiclass.OneVsOneClassifier, 1, 2, 1, null, 1
sklearn.multiclass.OutputCodeClassifier, 1, 2, 1, null, 1
sklearn.neural_network.BernoulliRBM, 1, 2, 1, null, 1
sklearn.datasets.fetch_rcv1, 1, 1, 1, null, 1
sklearn.grid_search.ParameterGrid, 1, 1, 1, , 
sklearn.metrics.label_ranking_average_precision_score, 1, 2, 1, , 
sklearn.linear_model.OrthogonalMatchingPursuit, 1, 3, 1, fit_intercept, 1
sklearn.metrics.cluster.silhouette_score, 1, 6, 1, metric, 1
sklearn.model_selection._split.__getattribute__, 1, 1, 1, , 
sklearn.metrics.__getattribute__, 1, 1, 1, , 
sklearn.gaussian_process.GaussianProcessClassifier, 1, 2, 1, kernel, 1
sklearn.ensemble._gradient_boosting.predict_stages, 1, 4, 1, , 
sklearn.ensemble._gradient_boosting.predict_stage, 1, 5, 1, , 
sklearn.utils.validation.check_consistent_length, 1, 2, 1, , 
sklearn.datasets.load_mlcomp, 1, 3, 1, mlcomp_root, 1
sklearn.feature_extraction.text.HashingVectorizer.transform, 1, 2, 1, , 
sklearn.metrics.scorer.check_scoring, 1, 3, 1, null, 1
sklearn.preprocessing.data.PolynomialFeatures.__doc__.split, 1, 1, 1, , 
sklearn.preprocessing.data.PolynomialFeatures, 1, 3, 1, include_bias, 1
sklearn.utils.validation._num_samples, 1, 1, 1, , 
sklearn.metrics.get_scorer, 1, 1, 1, , 
sklearn.GaussianMixtureModel.load, 1, 1, 1, , 
sklearn.metrics.check_scoring, 1, 2, 1, scoring, 1
sklearn.decomposition.SparsePCA, 1, 1, 1, n_components, 1
sklearn.preprocessing.Binarizer, 1, 0, 1, , 
sklearn.preprocessing.KernelCenterer, 1, 0, 1, , 
sklearn.preprocessing.MultiLabelBinarizer, 1, 0, 1, , 
sklearn.linear_model.ElasticNetCV, 1, 7, 1, selection, 1
sklearn.preprocessing.BatchRobustScaler, 1, 2, 1, columns, 1
sklearn.preprocessing.PandasAdaptor, 1, 1, 1, columns, 1
sklearn.preprocessing.SiteCorrelationSelector, 1, 0, 1, , 
sklearn.preprocessing.CustFsNoiseWinnow, 1, 0, 1, , 
sklearn.feature_selection.SelectFromModel, 1, 2, 1, threshold, 1
sklearn.cluster.k_means, 1, 3, 1, random_state, 1
sklearn.cluster.affinity_propagation, 1, 1, 1, , 
sklearn.cluster.mean_shift, 1, 1, 1, , 
sklearn.cluster.spectral_clustering, 1, 2, 1, random_state, 1
sklearn.datasets.make_checkerboard, 1, 5, 1, random_state, 1
sklearn.covariance.empirical_covariance, 1, 1, 1, , 
sklearn.covariance.oas, 1, 1, 1, , 
sklearn.cross_decomposition.CCA, 1, 1, 1, n_components, 1
sklearn.cross_decomposition.PLSRegression, 1, 1, 1, n_components, 1
sklearn.decomposition.sparse_encode, 1, 2, 1, , 
sklearn.ensemble.partial_dependence.partial_dependence, 1, 5, 1, grid_resolution, 1
sklearn.gaussian_process.regression_models.constant, 1, 1, 1, , 
sklearn.gaussian_process.regression_models.linear, 1, 1, 1, , 
sklearn.gaussian_process.regression_models.quadratic, 1, 1, 1, , 
sklearn.isotonic.isotonic_regression, 1, 1, 1, , 
sklearn.linear_model.lasso_stability_path, 1, 3, 1, random_state, 1
sklearn.linear_model.orthogonal_mp_gram, 1, 2, 1, , 
sklearn.linear_model.LassoLarsIC, 1, 1, 1, criterion, 1
sklearn.manifold.locally_linear_embedding, 1, 3, 1, , 
sklearn.metrics.hinge_loss, 1, 2, 1, , 
sklearn.model_selection.permutation_test_score, 1, 4, 1, y, 1
sklearn.neighbors.kneighbors_graph, 1, 2, 1, , 
sklearn.neighbors.radius_neighbors_graph, 1, 2, 1, , 
sklearn.datasets.samples_generator.make_moons, 1, 2, 1, n_samples, 1
sklearn.datasets.samples_generator.make_circles, 1, 2, 1, n_samples, 1
sklearn.mixture.gmm.GMM, 1, 3, 1, n_components, 1
sklearn.feature_extraction.image.extract_patches, 1, 3, 1, extraction_step, 1
sklearn.grid_search.IterGrid, 1, 1, 1, , 
sklearn.mixture.DPGMM, 1, 1, 1, null, 1
sklearn.preprocessing.PowerTransformer, 1, 2, 1, method, 1
sklearn.mixture.GaussianMixture.__init__, 1, 2, 1, null, 1
sklearn.utils.extmath.weighted_mode, 1, 2, 1, , 
sklearn.covariance.LedoitWolf, 1, 0, 1, , 
sklearn.utils.murmurhash3_32, 1, 2, 1, seed, 1
sklearn.cross_validation.split, 1, 2, 1, , 
sklearn.feature_extraction.DictVectorizer, 1, 0, 1, , 
sklearn.manifold._utils._binary_search_perplexity, 1, 4, 1, , 
