function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
scipy.stats.beta, 1, 2, 1, , 
scipy.sparse.save_npz, 1, 2, 1, , 
scipy.sparse.csc.csc_matrix, 1, 1, 1, , 
scipy.linalg.solve_triangular, 1, 2, 1, , 
scipy.linalg.pinvh, 1, 3, 1, return_rank, 1
scipy.linalg.cho_factor, 1, 2, 1, check_finite, 1
scipy.fftpack.rfft, 1, 1, 1, , 
scipy.fftpack.rfftfreq, 1, 2, 1, d, 1
scipy.signal.wiener, 1, 2, 1, , 
scipy.optimize.nnls, 1, 2, 1, , 
scipy.sparse.linalg.norm, 1, 1, 1, , 
scipy.sparse.csr_matrix.eliminate_zeros, 1, 1, 1, , 
scipy.randn, 1, 1, 1, , 
scipy.signal.convolve, 1, 3, 1, mode, 1
scipy.ndimage.convolve, 1, 2, 1, , 
scipy.ndimage.uniform_filter, 1, 2, 1, size, 1
scipy.special.gamma, 1, 1, 1, , 
scipy.interpolate.interp2d, 1, 3, 1, , 
scipy.optimize.basinhopping, 1, 2, 1, , 
scipy.optimize.differential_evolution, 1, 2, 1, , 
scipy.stats.bartlett, 1, 2, 1, , 
scipy.stats.levene, 1, 2, 1, , 
scipy.stats.fligner, 1, 2, 1, , 
scipy.ndimage.morphology.binary_dilation, 1, 2, 1, iterations, 1
scipy.misc.ascent, 1, 0, 1, , 
scipy.ndimage.maximum_filter, 1, 3, 1, , 
scipy.ndimage.minimum_filter, 1, 3, 1, , 
scipy.interpolate.Akima1DInterpolator, 1, 2, 1, , 
scipy.ndimage.gaussian_filter1d, 1, 2, 1, , 
scipy.signal.find_peaks, 1, 1, 1, , 
scipy.signal.peak_prominences, 1, 2, 1, , 
scipy.vectorize, 1, 1, 1, , 
scipy.misc.comb, 1, 2, 1, , 
scipy.signal.detrend, 1, 1, 1, , 
scipy.cluster.hierarchy.ward, 1, 1, 1, , 
scipy.stats.describe, 1, 1, 1, , 
scipy.io.arff.loadarff, 1, 1, 1, , 
scipy.linalg.helmert, 1, 2, 1, , 
scipy.integrate.odeint, 1, 3, 1, , 
scipy.linalg.lu_factor, 1, 1, 1, , 
scipy.linalg.lu_solve, 1, 2, 1, , 
scipy.stats.mstats.kurtosis, 1, 1, 1, , 
scipy.signal.welch, 1, 4, 1, fs, 1
scipy.special.j0, 1, 1, 1, , 
scipy.special.j1, 1, 1, 1, , 
scipy.stats.randint.rvs, 1, 2, 1, , 
scipy.stats.expon.rvs, 1, 2, 1, size, 1
scipy.sparse.dok_matrix, 1, 1, 1, , 
scipy.misc.derivative, 1, 2, 1, , 
scipy.optimize.newton, 1, 2, 1, , 
scipy.face, 1, 1, 1, gray, 1
scipy.stats.iqr, 1, 1, 1, , 
scipy.linalg.lu, 1, 1, 1, , 
scipy.sparse.linalg.cg, 1, 2, 1, , 
scipy.sparse.linalg.lgmres, 1, 2, 1, , 
scipy.interpolate.SmoothBivariateSpline, 1, 6, 1, s, 1
scipy.stats.poisson, 1, 1, 1, , 
scipy.interpolate.LinearNDInterpolator, 1, 2, 1, , 
scipy.asarray, 1, 2, 1, dtype, 1
scipy.prod, 1, 2, 1, axis, 1
scipy.stats.truncnorm.rvs, 1, 5, 1, loc, 1
scipy.stats.cauchy, 1, 1, 1, scale, 1
scipy.linalg.dft, 1, 1, 1, , 
scipy.sparse.linalg.spilu, 1, 1, 1, , 
scipy.zeros, 1, 1, 1, , 
scipy.ndimage.distance_transform_edt, 1, 1, 1, input, 1
scipy.absolute, 1, 1, 1, , 
scipy.amax, 1, 1, 1, , 
scipy.random.seed, 1, 1, 1, , 
scipy.random.randint, 1, 3, 1, low, 1
scipy.ndimage.distance_transform_bf, 1, 1, 1, input, 1
scipy.signal.resample, 1, 3, 1, axis, 1
scipy.stats.binom.sf, 1, 3, 1, , 
scipy.sparse.vstack, 1, 1, 1, , 
scipy.sparse.linalg.lsmr, 1, 4, 1, show, 1
scipy.signal.savgol_filter, 1, 3, 1, , 
scipy.stats.mstats.zscore, 1, 1, 1, , 
scipy.misc.lena, 1, 0, 1, , 
scipy.stats.uniform.stats, 1, 1, 1, moments, 1
scipy.stats.bernoulli.stats, 1, 2, 1, moments, 1
scipy.stats.geom.stats, 1, 2, 1, moments, 1
scipy.stats.geom.rvs, 1, 2, 1, size, 1
scipy.stats.poisson.stats, 1, 2, 1, moments, 1
scipy.stats.binom.stats, 1, 3, 1, moments, 1
scipy.stats.binom.rvs, 1, 3, 1, size, 1
scipy.stats.nbinom.stats, 1, 3, 1, moments, 1
scipy.stats.nbinom.rvs, 1, 3, 1, size, 1
scipy.stats.norm.stats, 1, 3, 1, moments, 1
scipy.stats.sem, 1, 1, 1, , 
scipy.ndimage.sum, 1, 3, 1, index, 1
scipy.nanmean, 1, 2, 1, axis, 1
scipy.stats.mstats.gmean, 1, 2, 1, axis, 1
scipy.stats.wilcoxon, 1, 2, 1, , 
scipy.integrate.fixed_quad, 1, 3, 1, , 
scipy.integrate.romberg, 1, 3, 1, , 
scipy.integrate.trapz, 1, 2, 1, , 
scipy.misc.factorial, 1, 1, 1, , 
scipy.signal.correlate, 1, 3, 1, mode, 1
scipy.stats.t.sf, 1, 2, 1, , 
scipy.spatial.distance.minkowski, 1, 3, 1, p, 1
scipy.stats.variation, 1, 1, 1, , 
scipy.ndimage.rotate, 1, 3, 1, reshape, 1
