function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
sympy.ratsimp, 1, 1, 1, , 
sympy.parsing.sympy_tokenize.generate_tokens, 1, 1, 1, , 
sympy.geometry.intersection, 1, 2, 1, , 
sympy.Segment, 1, 2, 1, , 
sympy.postorder_traversal, 1, 1, 1, , 
sympy.ones, 1, 1, 1, , 
sympy.GramSchmidt, 1, 1, 1, , 
sympy.horner, 1, 1, 1, , 
sympy.atanh, 1, 1, 1, , 
sympy.functions.elementary.piecewise.Piecewise, 1, 1, 1, , 
sympy.Identity, 1, 1, 1, , 
sympy.pretty_print, 1, 1, 1, , 
sympy.Array, 1, 1, 1, , 
sympy.special.polynomials.hermite, 1, 2, 1, , 
sympy.Curve, 1, 2, 1, , 
sympy.fourier_transform, 1, 3, 1, , 
sympy.inverse_fourier_transform, 1, 3, 1, , 
sympy.LaplaceTransform, 1, 3, 1, , 
sympy.physics.hep.gamma_matrices.GammaMatrix.simplify_gpgp, 1, 1, 1, , 
sympy.physics.hep.gamma_matrices.GammaMatrix.simplify_lines, 1, 1, 1, , 
sympy.cxxcode, 1, 3, 1, null, 1
sympy.rust_code, 1, 3, 1, null, 1
sympy.jscode, 1, 3, 1, null, 1
sympy.rcode, 1, 3, 1, null, 1
sympy.julia_code, 1, 3, 1, null, 1
sympy.mathematica_code, 1, 3, 1, null, 1
sympy.octave_code, 1, 3, 1, null, 1
sympy.Line3D, 1, 2, 1, , 
sympy.Plane, 1, 3, 1, , 
sympy.Triangle, 1, 3, 1, , 
sympy.Add._from_args, 1, 1, 1, , 
sympy.Mul._from_args, 1, 1, 1, , 
sympy.logic.boolalg.to_dnf, 1, 1, 1, , 
sympy.finite_diff_weights, 1, 3, 1, , 
sympy.Ne.__new__, 1, 3, 1, evaluate, 1
sympy.Pow.__new__, 1, 3, 1, evaluate, 1
sympy.Basic.__new__, 1, 1, 1, , 
sympy.IndexedBase.__new__, 1, 3, 1, , 
sympy.cache.clear_cache, 1, 0, 1, , 
sympy.Matrix.eye, 1, 1, 1, , 
sympy.div, 1, 2, 1, , 
sympy.deg, 1, 1, 1, , 
sympy.rad, 1, 1, 1, , 
sympy.Expr, 1, 1, 1, , 
sympy.Matrix.col_join, 1, 1, 1, , 
sympy.Matrix.zeros, 1, 2, 1, , 
sympy.__version__.split, 1, 1, 1, , 
sympy.EmptySet, 1, 0, 1, , 
sympy.Union, 1, 1, 1, , 
sympy.Intersection, 1, 1, 1, , 
sympy.pi.n, 1, 0, 1, , 
sympy.physics.mechanics.Lagrangian, 1, 2, 1, , 
sympy.physics.mechanics.LagrangesMethod, 1, 4, 1, frame, 1
sympy.hessian, 1, 2, 1, , 
sympy.sets.sets.Union, 1, 2, 1, null, 1
sympy.sets.sets.Intersection, 1, 2, 1, null, 1
sympy.sets.fancysets.Range.__new__, 1, 2, 1, , 
sympy.printing.pycode.PythonCodePrinter.__init__, 1, 2, 1, settings, 1
sympy.diffgeom.Manifold, 1, 2, 1, , 
sympy.Dummy.__new__, 1, 2, 1, , 
sympy.MutableSparseMatrix, 1, 3, 1, , 
sympy.Equivalent, 1, 2, 1, , 
sympy.refine, 1, 1, 1, , 
sympy.Q.positive, 1, 1, 1, , 
sympy.expand_power_base, 1, 2, 1, force, 1
sympy.powdenest, 1, 2, 1, force, 1
sympy.to_cnf, 1, 1, 1, , 
sympy.logic.inference.satisfiable, 1, 1, 1, , 
sympy.logic.boolalg.is_cnf, 1, 1, 1, , 
sympy.factor_terms, 1, 3, 1, clear, 1
sympy.linsolve, 1, 2, 1, , 
sympy.utilities.codegen.OutputArgument, 1, 4, 1, dimensions, 1
sympy.utilities.codegen.get_code_generator, 1, 2, 1, , 
sympy.utilities.codegen.Routine, 1, 5, 1, , 
sympy.gcd, 1, 2, 1, , 
sympy.printing.printer.Printer.__init__, 1, 2, 1, , 
sympy.printing.printer.Printer._print, 1, 2, 1, , 
sympy.printing.codeprinter.CodePrinter.__init__, 1, 2, 1, , 
sympy.utilities.lambdify.lambdify, 1, 2, 1, , 
sympy.utilities.postorder_traversal, 1, 1, 1, , 
sympy.linear_eq_to_matrix, 1, 2, 1, , 
sympy.pi.evalf, 1, 0, 1, , 
sympy.symbol.Symbol, 1, 1, 1, , 
sympy.physics.mechanics.mprint, 1, 1, 1, , 
sympy.numbers.Number, 1, 1, 1, , 
sympy.mpmath.legenp, 1, 3, 1, , 
sympy.mpmath.mpf, 1, 1, 1, , 
sympy.mpmath.beta, 1, 2, 1, , 
sympy.mpmath.binomial, 1, 2, 1, , 
sympy.mpmath.jacobi, 1, 4, 1, , 
sympy.abc._clash.copy, 1, 0, 1, , 
sympy.MutableMatrix, 1, 1, 1, , 
sympy.ImmutableDenseMatrix, 1, 1, 1, , 
sympy.physics.wigner.wigner_3j, 1, 6, 1, , 
sympy.gcd_terms, 2, 1, 2, , 
sympy.together, 2, 1, 2, , 
sympy.to_dnf, 2, 2, 2, simplify, 2
sympy.Or, 2, 1, 1, , 
sympy.ntheory.isprime, 2, 1, 2, , 
sympy.pretty, 2, 2, 1, use_unicode, 1
sympy.assoc_legendre, 2, 3, 2, , 
sympy.Symbol.__add__, 2, 2, 2, , 
sympy.Symbol.__mul__, 2, 2, 2, , 
sympy.symbol.Dummy.__new__, 2, 2, 2, , 
sympy.arg, 2, 1, 2, , 
sympy.det, 2, 1, 2, , 
sympy.physics.mechanics.dot, 2, 2, 2, , 
sympy.Line.is_parallel, 2, 2, 2, , 
sympy.Ei, 2, 1, 2, , 
sympy.printing.preview, 2, 5, 2, output, 2
sympy.functions.elementary.piecewise.ExprCondPair, 2, 2, 2, , 
sympy.stats.ChiSquared, 2, 2, 2, , 
sympy.stats.P, 2, 2, 2, , 
sympy.physics.secondquant.KroneckerDelta, 2, 2, 2, , 
sympy.stats.Poisson, 2, 2, 2, , 
sympy.cancel, 2, 1, 2, , 
sympy.series, 2, 2, 1, n, 1
sympy.line_integrate, 2, 3, 2, , 
sympy.fcode, 2, 4, 1, standard, 2
sympy.functions.elementary.exponential.log, 2, 2, 2, , 
sympy.Not, 2, 1, 2, , 
sympy.ceiling, 2, 1, 2, , 
sympy.Add.__new__, 2, 3, 2, null, 1
sympy.Mul.__new__, 2, 3, 2, null, 1
sympy.Indexed, 2, 2, 2, , 
sympy.lcm, 2, 2, 2, , 
sympy.roots, 2, 1, 2, , 
sympy.physics.mechanics.mechanics_printing, 2, 0, 2, , 
sympy.physics.quantum.TensorProduct, 2, 1, 2, , 
sympy.printing.ccode, 2, 1, 2, , 
sympy.Range, 2, 2, 2, , 
sympy.Q.is_true, 2, 1, 2, , 
sympy.core.Float, 2, 1, 2, , 
sympy.loggamma, 2, 1, 2, , 
sympy.solvers.solve, 2, 2, 1, , 
sympy.isprime, 2, 1, 2, , 
sympy.factorint, 2, 1, 2, , 
sympy.functions.sin, 2, 1, 2, , 
sympy.logic.boolalg.Or, 2, 1, 1, , 
sympy.logic.boolalg.Xor, 2, 1, 1, , 
sympy.logic.boolalg.Equivalent, 2, 2, 2, , 
sympy.StrictLessThan, 2, 2, 2, , 
sympy.StrictGreaterThan, 2, 2, 2, , 
sympy.GreaterThan, 2, 2, 2, , 
sympy.Limit, 2, 4, 2, , 
sympy.simplify_logic, 2, 1, 2, , 
sympy.Poly.from_list, 2, 2, 2, gens, 2
sympy.mpmath.gegenbauer, 2, 3, 2, , 
sympy.mpmath.struvel, 2, 2, 2, , 
sympy.MutableDenseMatrix, 2, 1, 2, , 
sympy.parsing.sympy_parser.parse_expr, 3, 1, 1, evaluate, 1
sympy.LessThan, 3, 2, 3, , 
sympy.mpmath.workdps, 3, 1, 3, , 
sympy.mpmath.exp, 3, 1, 3, , 
sympy.mpmath.erfc, 3, 1, 3, , 
sympy.numbered_symbols, 3, 1, 3, , 
sympy.primefactors, 3, 1, 3, , 
sympy.logcombine, 3, 2, 2, force, 1
sympy.Product, 3, 2, 3, , 
sympy.mpmath.quad, 3, 2, 1, , 
sympy.physics.hep.gamma_matrices.GammaMatrix.gamma_trace, 3, 1, 3, , 
sympy.erfc, 3, 1, 3, , 
