function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
tensorflow.VERSION.split, 1, 1, 1, , 
tensorflow.estimator.DNNRegressor, 1, 3, 1, feature_columns, 1
tensorflow.metrics.auc, 1, 3, 1, , 
tensorflow.linalg.cholesky, 1, 1, 1, , 
tensorflow.linalg.cholesky_solve, 1, 2, 1, , 
tensorflow.linalg.lstsq, 1, 3, 1, l2_regularizer, 1
tensorflow.data.Dataset.from_generator, 1, 2, 1, output_types, 1
tensorflow.contrib.tpu.RunConfig, 1, 2, 1, tpu_config, 1
tensorflow.contrib.tpu.TPUEstimator, 1, 4, 1, model_fn, 1
tensorflow.python.platform.tf_logging.log, 1, 2, 1, , 
tensorflow.contrib.training.create_train_op, 1, 2, 1, , 
tensorflow.contrib.slim.unit_norm, 1, 2, 1, dim, 1
tensorflow.train.FtrlOptimizer, 1, 2, 1, l1_regularization_strength, 1
tensorflow.saved_model.builder.SavedModelBuilder, 1, 1, 1, , 
tensorflow.real, 1, 1, 1, , 
tensorflow.train.summary_iterator, 1, 1, 1, , 
tensorflow.keras.models.Model, 1, 2, 1, , 
tensorflow.layers.max_pooling3d, 1, 4, 1, strides, 1
tensorflow.layers.conv3d_transpose, 1, 6, 1, strides, 1
tensorflow.train.Features, 1, 1, 1, feature, 1
tensorflow.data.TFRecordDataset, 1, 1, 1, filenames, 1
tensorflow.python.keras.preprocessing.image.array_to_img, 1, 1, 1, , 
tensorflow.distributions.Multinomial, 1, 2, 1, total_count, 1
tensorflow.contrib.distributions.InverseGamma, 1, 2, 1, , 
tensorflow.contrib.opt.ScipyOptimizerInterface, 1, 1, 1, , 
tensorflow.random_uniform_initializer, 1, 2, 1, , 
tensorflow.keras.backend.clear_session, 1, 0, 1, , 
tensorflow.broadcast_to, 1, 2, 1, , 
tensorflow.contrib.learn.TensorFlowLinearClassifier, 1, 1, 1, , 
tensorflow.python.client.graph_util.convert_variables_to_constants, 1, 2, 1, , 
tensorflow.contrib.slim.get_variables, 1, 1, 1, scope, 1
tensorflow.models.rnn.rnn.rnn, 1, 3, 1, initial_state, 1
tensorflow.sparse_to_dense, 1, 4, 1, , 
tensorflow.RunMetadata, 1, 0, 1, , 
tensorflow.contrib.distributions.Normal, 1, 2, 1, , 
