function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
dask.distributed.progress, 1, 2, 1, , 
dask.dot.dot_graph, 1, 1, 1, , 
dask.diagnostics.Profiler, 1, 0, 1, , 
dask.diagnostics.ResourceProfiler, 1, 1, 1, dt, 1
dask.diagnostics.CacheProfiler, 1, 0, 1, , 
dask.diagnostics.visualize, 1, 1, 1, , 
dask.distributed.wait, 1, 1, 1, , 
dask.dataframe.read_parquet, 1, 2, 1, categories, 1
dask.array.from_zarr, 1, 2, 1, component, 1
dask.array.ones, 1, 2, 1, chunks, 1
dask.dataframe.demo.make_timeseries, 1, 5, 1, dtypes, 1
dask.distributed.as_completed, 1, 1, 1, , 
dask.array.stack, 1, 1, 1, , 
dask.dataframe.multi.concat, 1, 2, 1, axis, 1
dask.persist, 2, 4, 1, , 
dask.array.concatenate, 2, 1, 2, , 
dask.array.min, 2, 2, 2, axis, 2
dask.array.max, 2, 2, 2, axis, 2
dask.bag.read_text, 2, 1, 2, , 
dask.dataframe.from_pandas, 3, 2, 3, chunksize, 3
dask.diagnostics.ProgressBar, 4, 0, 4, , 
dask.array.map_blocks, 4, 4, 3, chunks, 4
dask.compute, 4, 1, 3, scheduler, 1
dask.delayed, 5, 1, 5, , 
dask.distributed.Client, 9, 1, 5, address, 1
dask.array.from_array, 11, 2, 11, chunks, 11
dask.dataframe.read_csv, 17, 1, 11, storage_options, 3
