function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
dask.distributed.wait, 1, 1, 1, , 
dask.config.update_defaults, 1, 1, 1, , 
dask.distributed.get_client, 1, 1, 1, address, 1
dask.array.core.from_array, 1, 4, 1, name, 1
dask.array.core.insert_to_ooc, 1, 2, 1, , 
dask.core.get, 1, 2, 1, , 
dask.optimize.inline, 1, 2, 1, keys, 1
dask.order.order, 1, 1, 1, , 
dask.dataframe.demo.make_timeseries, 1, 6, 1, freq, 1
dask.persist, 1, 1, 1, , 
dask.sharedict.merge, 1, 3, 1, , 
dask.array.where, 1, 1, 1, , 
dask.array.bincount, 1, 2, 1, minlength, 1
dask.array.hstack, 1, 1, 1, , 
dask.array.random.random_state_data, 1, 2, 1, random_state, 1
dask.array.mean, 1, 1, 1, , 
dask.array.absolute, 1, 1, 1, , 
dask.array.sign, 1, 1, 1, , 
dask.array.log1p, 1, 1, 1, , 
dask.array.tanh, 1, 1, 1, , 
dask.array.argmax, 1, 2, 1, axis, 1
dask.array.clip, 1, 3, 1, , 
dask.dataframe.get_dummies, 1, 2, 1, drop_first, 1
dask.array.core.transpose, 1, 2, 1, , 
dask.array.core.tensordot, 1, 3, 1, , 
dask.scatter, 1, 2, 1, null, 1
dask.multiprocessing.get, 1, 3, 1, num_workers, 1
dask.visualize, 1, 4, 1, null, 1
dask.utils.tmpdir, 1, 0, 1, , 
dask.config.update, 1, 3, 1, priority, 1
dask.dataframe.DataFrame, 1, 4, 1, , 
dask.array.Array.__getitem__, 1, 2, 1, , 
dask.array.Array.__str__, 1, 1, 1, , 
dask.array.hypot, 1, 2, 1, , 
dask.array.mod, 1, 2, 1, , 
dask.array.linalg.norm, 1, 2, 1, axis, 1
dask.array.set_options, 1, 1, 1, get, 1
dask.dataframe.core.meta_nonempty, 1, 1, 1, , 
dask.dataframe.core.meta_nonempty.register, 1, 1, 1, , 
dask.dataframe.methods.concat_dispatch.register, 1, 1, 1, , 
dask.optimization.fuse, 1, 4, 1, dependencies, 1
dask.dataframe.utils.raise_on_meta_error, 1, 1, 1, , 
dask.dataframe.io.csv.make_reader, 1, 3, 1, , 
dask.bytes.s3.DaskS3FileSystem, 1, 1, 1, anon, 1
dask.datasets.timeseries, 1, 5, 1, freq, 1
dask.utils.funcname, 1, 1, 1, , 
dask.array.apply_infer_dtype, 1, 4, 1, , 
dask.array.core.blockdims_from_blockshape, 1, 2, 1, , 
dask.highlevelgraph.HighLevelGraph.from_collections, 1, 3, 1, , 
dask.array.rechunk.intersect_chunks, 1, 2, 1, , 
dask.array.blockwise, 1, 10, 1, index2, 1
dask.array.slicing.normalize_slice, 1, 2, 1, , 
dask.array.take, 1, 3, 1, axis, 1
dask.bytes.core.infer_options, 1, 1, 1, , 
dask.bytes.core.update_storage_options, 1, 2, 1, , 
dask.bytes.core.get_fs, 1, 2, 1, , 
dask.array.sel, 1, 1, 1, color, 1
dask.core.subs, 1, 3, 1, , 
dask.core.isdag, 1, 2, 1, , 
dask.dataframe.DataFrame.__init__, 1, 5, 1, , 
dask.diagnostics.progress.ProgressBar, 1, 0, 1, , 
dask.bytes.core.open_files, 1, 1, 1, , 
dask.delayed.to_task_dasks, 1, 2, 1, null, 1
dask.delayed.funcname, 1, 1, 1, , 
dask.delayed.unzip, 1, 2, 1, , 
dask.distributed.LocalCluster.__init__, 1, 5, 1, null, 1
dask.bytes.utils.infer_storage_options, 1, 1, 1, , 
dask.serialize, 1, 0, 1, , 
dask.dot.dot_graph, 1, 2, 1, rankdir, 1
dask.bytes.core.get_fs_token_paths, 1, 3, 1, mode, 1
dask.bag.core.from_delayed, 1, 1, 1, , 
