function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
ipywidgets.Box, 1, 0, 1, , 
ipywidgets.HTML, 1, 1, 1, value, 1
ipywidgets.widgets.HTML, 1, 0, 1, , 
ipywidgets.widgets.FloatSlider, 1, 7, 1, style, 1
ipywidgets.widgets.Output, 1, 0, 1, , 
ipywidgets.widgets.VBox, 1, 1, 1, , 
ipywidgets.widgets.interactive_output, 1, 2, 1, , 
ipywidgets.Audio.from_file, 1, 1, 1, , 
ipywidgets.Image, 1, 0, 1, , 
ipywidgets.Output, 1, 0, 1, , 
ipywidgets.ToggleButtons, 1, 1, 1, options, 1
ipywidgets.Video.from_file, 1, 1, 1, , 
ipywidgets.ToggleButton, 1, 1, 1, description, 1
ipywidgets.dlink, 1, 2, 1, , 
ipywidgets.widgets.IntSlider, 1, 5, 1, max, 1
ipywidgets.Controller, 2, 0, 1, index, 1
ipywidgets.Text, 2, 2, 2, disabled, 2
ipywidgets.FloatText, 2, 0, 2, , 
ipywidgets.jsdlink, 2, 2, 2, , 
ipywidgets.ColorPicker, 2, 0, 2, , 
ipywidgets.Checkbox, 2, 2, 2, value, 2
ipywidgets.Dropdown, 2, 3, 2, options, 2
ipywidgets.Button, 3, 1, 3, description, 3
ipywidgets.HBox, 3, 1, 3, , 
ipywidgets.IntText, 4, 2, 4, description, 4
ipywidgets.interactive_output, 4, 2, 4, , 
ipywidgets.link, 4, 2, 4, , 
ipywidgets.interact_manual, 5, 2, 5, i, 3
ipywidgets.widgets.Dropdown, 5, 3, 5, title, 5
ipywidgets.widgets.Button, 5, 1, 4, description, 5
ipywidgets.SelectionSlider, 5, 3, 2, options, 5
ipywidgets.Label, 10, 1, 10, value, 10
ipywidgets.jslink, 12, 2, 12, , 
ipywidgets.VBox, 12, 1, 12, children, 1
ipywidgets.interactive, 13, 3, 8, b, 6
ipywidgets.FloatSlider, 20, 3, 7, max, 17
ipywidgets.IntSlider, 40, 1, 17, description, 23
ipywidgets.interact, 202, 2, 78, x, 61
