function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
ipywidgets.interact.widget, 1, 1, 1, , 
ipywidgets.interact_manual.widget, 1, 1, 1, , 
ipywidgets.interact.options, 1, 1, 1, bad, 1
ipywidgets.widgets.Widget.get_manager_state, 1, 1, 1, drop_defaults, 1
ipywidgets.NumberFormat, 1, 1, 1, , 
ipywidgets.Color, 1, 1, 1, , 
ipywidgets.widgets.widget._remove_buffers, 1, 1, 1, , 
ipywidgets.widgets.widget._put_buffers, 1, 3, 1, , 
ipywidgets.Widget.widgets.items, 1, 0, 1, , 
ipywidgets.Widget.get_manager_state, 1, 1, 1, drop_defaults, 1
ipywidgets.Accordion, 1, 1, 1, children, 1
ipywidgets.FloatRangeSlider, 1, 9, 1, value, 1
ipywidgets.Video.from_file, 1, 3, 1, autoplay, 1
ipywidgets.Video.from_url, 1, 3, 1, autoplay, 1
ipywidgets.Audio.from_file, 1, 3, 1, autoplay, 1
ipywidgets.Audio.from_url, 1, 3, 1, autoplay, 1
ipywidgets.Play, 1, 3, 1, max, 1
ipywidgets.widgets.CallbackDispatcher, 1, 1, 1, accepted_nargs, 1
ipywidgets.widgets.BoundedIntText, 1, 3, 1, max, 1
ipywidgets.widgets.jslink, 1, 2, 1, , 
ipywidgets.widgets.Layout, 1, 4, 1, flex_flow, 1
ipywidgets.widgets.Box, 1, 2, 1, layout, 1
ipywidgets.widgets.Text, 1, 1, 1, , 
ipywidgets.fixed, 2, 1, 2, , 
ipywidgets.RadioButtons, 2, 3, 2, options, 2
ipywidgets.Video, 2, 4, 1, controls, 2
ipywidgets.Audio, 2, 4, 1, controls, 2
ipywidgets.SelectionRangeSlider, 2, 5, 1, options, 2
ipywidgets.widgets.IntText, 2, 0, 2, , 
ipywidgets.widgets.IntSlider, 3, 0, 1, value, 2
ipywidgets.widgets.Accordion, 3, 2, 3, selected_index, 3
ipywidgets.GridBox, 3, 2, 3, layout, 3
ipywidgets.IntRangeSlider, 3, 6, 1, value, 3
ipywidgets.Image, 3, 2, 1, format, 2
ipywidgets.BoundedFloatText, 3, 4, 2, value, 3
ipywidgets.ColorPicker, 3, 2, 2, value, 2
ipywidgets.interactive_output, 3, 2, 3, , 
ipywidgets.widgets.Output, 4, 0, 4, , 
ipywidgets.BoundedIntText, 4, 5, 3, value, 4
ipywidgets.widgets.DOMWidget.__init__, 4, 2, 4, None, 4
ipywidgets.widgets.interactive_output, 4, 2, 4, , 
ipywidgets.IntProgress, 5, 3, 3, value, 5
ipywidgets.widgets.Dropdown, 5, 2, 5, options, 5
ipywidgets.widgets.BoundedFloatText, 5, 2, 5, description, 5
ipywidgets.SelectionSlider, 5, 3, 2, options, 5
ipywidgets.Tab, 6, 1, 5, layout, 2
ipywidgets.widgets.Tab, 6, 1, 5, children, 5
ipywidgets.DatePicker, 6, 2, 3, description, 5
ipywidgets.FloatProgress, 6, 1, 5, description, 5
ipywidgets.register, 7, 1, 7, , 
ipywidgets.widgets.HTML, 8, 1, 6, , 
ipywidgets.Textarea, 8, 0, 3, description, 3
ipywidgets.widgets.RadioButtons, 9, 4, 9, description, 9
ipywidgets.ToggleButtons, 11, 2, 4, options, 10
ipywidgets.IntText, 12, 2, 4, value, 11
ipywidgets.Select, 12, 4, 5, description, 9
ipywidgets.widgets.HBox, 12, 1, 11, , 
ipywidgets.widgets.Checkbox, 12, 2, 6, description, 12
ipywidgets.ToggleButton, 13, 2, 9, description, 13
ipywidgets.SelectMultiple, 14, 2, 6, options, 13
ipywidgets.widgets.Button, 16, 1, 16, description, 16
ipywidgets.FloatText, 16, 2, 10, value, 15
ipywidgets.Checkbox, 19, 2, 6, description, 17
ipywidgets.Box, 21, 2, 16, padding, 15
ipywidgets.IntSlider, 26, 6, 9, min, 26
ipywidgets.Output, 27, 1, 15, layout, 14
ipywidgets.interact_manual, 27, 3, 5, x, 11
ipywidgets.Layout, 29, 1, 12, width, 20
ipywidgets.widgets.VBox, 29, 2, 14, layout, 12
ipywidgets.widgets.FloatText, 29, 2, 29, description, 29
ipywidgets.Dropdown, 32, 2, 15, options, 30
ipywidgets.jslink, 35, 2, 35, , 
ipywidgets.Label, 37, 1, 18, value, 24
ipywidgets.interactive, 42, 2, 23, lis, 7
ipywidgets.HBox, 58, 1, 41, layout, 14
ipywidgets.FloatSlider, 60, 4, 29, max, 56
ipywidgets.VBox, 68, 1, 47, layout, 16
ipywidgets.interact, 74, 2, 20, t, 9
ipywidgets.Text, 76, 2, 31, description, 46
ipywidgets.HTML, 80, 1, 39, value, 33
ipywidgets.widgets.FloatSlider, 87, 4, 49, max, 87
ipywidgets.Button, 134, 2, 65, description, 114
