function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
matplotlib.cm.jet, 1, 1, 1, , 
matplotlib.pyplot.semilogy, 1, 7, 1, markersize, 1
matplotlib.colorbar.ColorbarBase, 1, 4, 1, orientation, 1
matplotlib.__version__.split, 1, 1, 1, , 
matplotlib.pyplot.Normalize, 1, 2, 1, vmin, 1
matplotlib.pyplot.cm.ScalarMappable, 1, 2, 1, cmap, 1
matplotlib.ticker.LinearLocator, 1, 1, 1, numticks, 1
matplotlib.matplotlib.lines.Line2D, 1, 4, 1, linestyle, 1
matplotlib.pylab.figure, 1, 0, 1, , 
matplotlib.pylab.show, 1, 0, 1, , 
matplotlib.matplotlib.cm.get_cmap, 1, 1, 1, , 
matplotlib.pylab.ion, 1, 0, 1, , 
matplotlib.pylab.get_current_fig_manager, 1, 0, 1, , 
matplotlib.backends.backend_qt4agg.FigureCanvasQTAgg, 1, 1, 1, , 
matplotlib.backends.backend_qt4agg.NavigationToolbar2QT, 1, 2, 1, , 
matplotlib.collections.BrokenBarHCollection, 1, 4, 1, facecolors, 1
matplotlib.colors.LinearSegmentedColormap.from_list, 1, 2, 1, , 
matplotlib.pyplot.Rectangle, 1, 6, 1, linewidth, 1
matplotlib.axes.Axes.scatter.__doc__.replace, 1, 2, 1, , 
matplotlib.axes.Axes.hist.__doc__.replace, 1, 2, 1, , 
matplotlib.colors.cnames.update, 1, 1, 1, , 
matplotlib.colors.rgb_to_hsv, 1, 1, 1, , 
matplotlib.colors.hsv_to_rgb, 1, 1, 1, , 
matplotlib.docstring.interpd.update, 1, 2, 1, scale, 1
matplotlib._pylab_helpers.Gcf.set_active, 1, 1, 1, , 
matplotlib.projections.get_projection_class, 1, 1, 1, , 
matplotlib.artist.setp, 1, 2, 1, visible, 1
matplotlib.rc_params, 1, 0, 1, , 
matplotlib.figure.SubplotParams, 1, 4, 1, bottom, 1
matplotlib.colors.is_color_like, 1, 1, 1, , 
matplotlib.colors.to_hex, 1, 1, 1, , 
matplotlib.mlab.cohere, 1, 6, 1, Fs, 1
matplotlib.pyplot.tick_params, 1, 9, 1, bottom, 1
matplotlib.is_interactive, 1, 0, 1, , 
matplotlib._pylab_helpers.Gcf.get_all_fig_managers, 1, 0, 1, , 
matplotlib.backend_bases.TimerBase, 1, 2, 1, None, 1
matplotlib.backends.backend_pdf.FigureCanvasPdf.__init__, 1, 2, 1, , 
matplotlib.backends.backend_pdf.FigureCanvasPdf.print_pdf, 1, 3, 1, None, 1
matplotlib.backends.backend_agg.FigureCanvasAgg.__init__, 1, 2, 1, , 
matplotlib.backends.backend_agg.FigureCanvasAgg.print_png, 1, 3, 1, None, 1
matplotlib.backend_bases.FigureManagerBase.__init__, 1, 3, 1, , 
matplotlib.dates.AutoDateLocator, 1, 0, 1, , 
matplotlib.dates.DayLocator, 1, 0, 1, , 
matplotlib.transforms.blended_transform_factory, 1, 2, 1, , 
matplotlib.pyplot.errorbar, 1, 8, 1, ecolor, 1
matplotlib.pyplot.draw_all, 1, 0, 1, , 
matplotlib.colors.to_rgba_array, 1, 1, 1, , 
matplotlib.mlab.griddata, 1, 6, 1, interp, 1
matplotlib.pyplot.rcParams.update, 1, 1, 1, , 
matplotlib.patches.Polygon, 1, 2, 1, visible, 1
matplotlib.nxutils.points_inside_poly, 1, 2, 1, , 
matplotlib.tri.Triangulation, 1, 3, 1, , 
matplotlib.font_manager._rebuild, 1, 0, 1, , 
matplotlib.pyplot.get_current_fig_manager, 1, 0, 1, , 
matplotlib.pyplot.ginput, 1, 2, 1, timeout, 1
