function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
numpy.geomspace, 1, 3, 1, , 
numpy.unravel_index, 1, 2, 1, , 
numpy.random.standard_t, 1, 2, 1, size, 1
numpy.linalg.cholesky, 1, 1, 1, , 
numpy.linalg.solve, 1, 2, 1, , 
numpy.power, 1, 2, 1, , 
numpy.linalg.inv, 1, 1, 1, , 
numpy.linalg.det, 1, 1, 1, , 
numpy.bmat, 1, 1, 1, , 
numpy.greater_equal.outer, 1, 2, 1, , 
numpy.deg2rad, 1, 1, 1, , 
numpy.divide, 1, 2, 1, , 
numpy.logical_and, 1, 2, 1, , 
numpy.ma.masked_where, 1, 2, 1, , 
numpy.clip, 1, 3, 1, , 
numpy.random.beta, 1, 3, 1, , 
numpy.random.RandomState, 1, 1, 1, , 
numpy.logical_or, 1, 2, 1, , 
numpy.linalg.eigh, 1, 1, 1, , 
numpy.polyfit, 1, 3, 1, , 
numpy.minimum, 1, 2, 1, , 
numpy.save, 1, 2, 1, , 
numpy.tile, 1, 2, 1, , 
numpy.int16, 1, 1, 1, , 
numpy.expand_dims, 1, 2, 1, axis, 1
numpy.random.random_sample, 1, 1, 1, , 
numpy.diag_indices, 1, 1, 1, , 
numpy.isfinite, 1, 1, 1, , 
numpy.fft.rfftfreq, 1, 2, 1, , 
numpy.average, 1, 3, 1, axis, 1
numpy.asanyarray, 1, 1, 1, , 
numpy.column_stack, 1, 1, 1, , 
numpy.greater_equal, 1, 2, 1, , 
numpy.setdiff1d, 1, 2, 1, , 
numpy.fft.irfft, 1, 1, 1, , 
numpy.ceil, 1, 1, 1, , 
numpy.unique, 1, 1, 1, , 
numpy.fft.fft, 1, 1, 1, , 
numpy.fft.fftfreq, 1, 2, 1, , 
numpy.arctan, 1, 1, 1, , 
numpy.histogram, 1, 2, 1, , 
numpy.full, 1, 3, 1, dtype, 1
numpy.matmul, 2, 2, 2, , 
numpy.set_printoptions, 2, 1, 2, precision, 2
numpy.random.binomial, 2, 2, 2, , 
numpy.kron, 2, 2, 2, , 
numpy.random.exponential, 2, 2, 2, , 
numpy.var, 2, 1, 2, , 
numpy.conj, 2, 1, 2, , 
numpy.random.triangular, 2, 4, 2, , 
numpy, 2, 0, 1, , 
numpy.hstack, 3, 1, 3, , 
numpy.where, 3, 1, 3, , 
numpy.genfromtxt, 3, 1, 1, delimiter, 2
numpy.rad2deg, 3, 1, 3, , 
numpy.tanh, 3, 1, 3, , 
numpy.argmax, 3, 1, 2, axis, 1
numpy.prod, 3, 1, 3, , 
numpy.count_nonzero, 3, 1, 3, , 
numpy.polyval, 3, 2, 3, , 
numpy.transpose, 3, 2, 2, , 
numpy.random.shuffle, 3, 1, 2, , 
numpy.fft.fft2, 3, 1, 3, , 
numpy.fft.fftshift, 3, 1, 3, , 
numpy.eye, 4, 1, 4, , 
numpy.empty_like, 4, 1, 4, , 
numpy.degrees, 4, 1, 4, , 
numpy.convolve, 4, 3, 4, mode, 4
numpy.logspace, 4, 3, 3, base, 1
numpy.floor, 4, 1, 4, , 
numpy.isclose, 4, 2, 3, rtol, 1
numpy.std, 5, 1, 5, , 
numpy.random.poisson, 5, 1, 4, , 
numpy.load, 5, 1, 5, , 
numpy.radians, 5, 1, 5, , 
numpy.random.random, 5, 1, 5, , 
numpy.cumsum, 6, 1, 4, axis, 2
numpy.diag, 6, 1, 6, , 
numpy.diff, 6, 1, 6, , 
numpy.min, 6, 1, 6, , 
numpy.triu, 6, 2, 5, , 
numpy.linalg.norm, 6, 1, 4, axis, 2
numpy.repeat, 7, 3, 4, axis, 4
numpy.meshgrid, 7, 2, 7, , 
numpy.sort, 7, 1, 6, , 
numpy.round, 7, 2, 7, , 
numpy.allclose, 7, 2, 5, atol, 1
numpy.diag_indices_from, 7, 1, 7, , 
numpy.tril, 8, 2, 8, , 
numpy.random.permutation, 8, 1, 4, , 
numpy.percentile, 9, 3, 6, axis, 6
numpy.mean, 9, 1, 5, axis, 4
numpy.random.uniform, 9, 3, 8, size, 2
numpy.append, 10, 2, 10, , 
numpy.max, 10, 1, 9, axis, 1
numpy.tan, 10, 1, 10, , 
numpy.random.multivariate_normal, 11, 2, 7, mean, 2
numpy.vstack, 11, 1, 9, , 
numpy.abs, 12, 1, 10, , 
numpy.float32, 14, 1, 12, , 
numpy.random.randint, 15, 3, 7, size, 6
numpy.all, 15, 1, 15, , 
numpy.zeros_like, 15, 1, 8, dtype, 7
numpy.real, 16, 1, 8, , 
numpy.asarray, 17, 1, 15, dtype, 2
numpy.ones, 17, 1, 16, , 
numpy.log, 18, 1, 16, , 
numpy.random.choice, 19, 3, 11, size, 12
numpy.cos, 22, 1, 22, , 
numpy.empty, 22, 1, 17, dtype, 5
numpy.dot, 23, 2, 23, , 
numpy.sqrt, 29, 1, 26, , 
numpy.sin, 34, 1, 34, , 
numpy.random.rand, 34, 1, 22, , 
numpy.random.randn, 36, 1, 22, , 
numpy.sum, 38, 1, 21, axis, 17
numpy.concatenate, 49, 2, 21, axis, 18
numpy.exp, 63, 1, 54, , 
numpy.random.seed, 65, 1, 63, seed, 1
numpy.random.normal, 65, 3, 45, size, 31
numpy.arange, 72, 1, 35, dtype, 9
numpy.zeros, 79, 1, 61, dtype, 11
numpy.linspace, 160, 3, 149, endpoint, 5
numpy.array, 197, 1, 185, dtype, 5
