function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
numpy.polynomial.chebyshev.Chebyshev, 1, 1, 1, , 
numpy.trapz.__doc__.replace, 1, 2, 1, , 
numpy.ma.column_stack, 1, 1, 1, , 
numpy.ma.row_stack, 1, 1, 1, , 
numpy.ma.mask_rowcols, 1, 2, 1, axis, 1
numpy.distutils.command.build_ext.build_ext.build_extension, 1, 2, 1, , 
numpy.datetime_data, 1, 1, 1, , 
numpy.bitwise_xor.reduce, 1, 1, 1, , 
numpy.cumproduct, 1, 1, 1, , 
numpy.typeDict.get, 1, 2, 1, , 
numpy.minimum.accumulate, 1, 1, 1, , 
numpy.maximum.accumulate, 1, 1, 1, , 
numpy.is_busday, 1, 2, 1, busdaycal, 1
numpy.ma.dot, 1, 2, 1, , 
numpy.ma.MaskError, 1, 1, 1, , 
numpy.ma.core._check_fill_value, 1, 2, 1, , 
numpy.ma.core._DomainedBinaryOperation, 1, 4, 1, , 
numpy.ma.maximum_fill_value, 1, 1, 1, , 
numpy.bitwise_and.outer, 1, 2, 1, , 
numpy.sctypes.items, 1, 0, 1, , 
numpy.distutils.ccompiler.get_default_compiler, 1, 0, 1, , 
numpy.MachAr, 1, 0, 1, , 
numpy.ma.squeeze, 1, 1, 1, , 
numpy.ma.transpose, 1, 2, 1, , 
numpy.core.defchararray.lstrip, 1, 2, 1, , 
numpy.nanprod, 1, 2, 1, axis, 1
numpy.fmax.accumulate, 1, 2, 1, axis, 1
numpy.linalg.norm.cdf, 1, 3, 1, scale, 1
numpy.linalg.norm.rvs, 1, 3, 1, size, 1
numpy.ma.exp, 1, 1, 1, , 
numpy.expm, 1, 1, 1, , 
numpy.ma.any, 1, 1, 1, , 
numpy.ndarray.__getslice__, 1, 3, 1, , 
numpy.short, 1, 1, 1, , 
numpy.ma.clip, 1, 3, 1, , 
numpy.ma.empty_like, 1, 1, 1, , 
numpy.sctype2char, 1, 1, 1, , 
numpy.ma.masked_outside, 1, 3, 1, , 
numpy.random.mtrand._rand.seed, 1, 1, 1, , 
numpy.ctypeslib.as_ctypes, 1, 1, 1, , 
numpy.ndarray.__array_wrap__, 1, 3, 1, , 
numpy.getbuffer, 1, 1, 1, , 
