function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pandas.get_dummies, 1, 3, 1, drop_first, 1
pandas.Timedelta, 1, 1, 1, days, 1
pandas.DataFrame.from_dict, 1, 1, 1, , 
pandas.set_option, 1, 2, 1, , 
pandas.read_pickle, 1, 1, 1, , 
pandas.Timestamp, 2, 2, 1, tz, 1
pandas.melt, 2, 2, 2, var_name, 2
pandas.cut, 5, 2, 4, include_lowest, 1
pandas.DatetimeIndex, 6, 3, 5, end, 6
pandas.read_table, 6, 2, 6, sep, 6
pandas.read_csv, 9, 1, 9, , 
pandas.concat, 10, 1, 6, axis, 4
pandas.HDFStore, 11, 1, 10, fletcher32, 1
pandas.date_range, 16, 3, 14, freq, 16
pandas.Series, 48, 1, 35, index, 15
pandas.DataFrame, 58, 1, 30, index, 23
