function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pandas.core.index.CategoricalIndex, 1, 1, 1, , 
pandas.core.index.Index, 1, 1, 1, , 
pandas.core.index.MultiIndex, 1, 2, 1, , 
pandas.api.types.is_categorical_dtype, 1, 1, 1, , 
pandas.api.types.infer_dtype, 1, 2, 1, skipna, 1
pandas.lib.infer_dtype, 1, 1, 1, , 
pandas.unique, 1, 1, 1, , 
pandas.util.testing.makeTimeDataFrame, 1, 1, 1, , 
pandas.io.common._stringify_path, 1, 1, 1, , 
pandas.io.common._get_handle, 1, 3, 1, encoding, 1
pandas.compat.iteritems, 1, 1, 1, , 
pandas.core.common.is_integer_dtype, 1, 1, 1, , 
pandas.core.common.is_bool_dtype, 1, 1, 1, , 
pandas.core.common.is_numeric_dtype, 1, 1, 1, , 
pandas.core.common.is_datetime64_dtype, 1, 1, 1, , 
pandas.core.common.is_timedelta64_dtype, 1, 1, 1, , 
pandas.core.common.is_string_dtype, 1, 1, 1, , 
pandas.compat.lmap, 1, 2, 1, , 
pandas.compat.range, 1, 1, 1, , 
pandas.compat.BytesIO, 1, 0, 1, , 
pandas.util.testing.assert_numpy_array_equal, 1, 2, 1, , 
pandas.compat.reduce, 1, 2, 1, , 
pandas.io.common.urlopen, 1, 1, 1, , 
pandas.io.json.read_json, 1, 1, 1, , 
pandas.tseries.offsets.MonthEnd, 1, 1, 1, , 
pandas.tseries.offsets.BDay, 1, 0, 1, , 
pandas.util.testing.rands, 1, 1, 1, , 
pandas.api.types.is_string_dtype, 1, 1, 1, , 
pandas.api.types.is_integer_dtype, 1, 1, 1, , 
pandas.api.types.is_float_dtype, 1, 1, 1, , 
pandas.read_html, 1, 1, 1, , 
pandas.show_versions, 1, 0, 1, , 
pandas.MultiIndex, 1, 2, 1, levels, 1
pandas.infer_freq, 1, 1, 1, , 
pandas.Int64Index, 1, 1, 1, , 
pandas.melt, 1, 4, 1, value_name, 1
pandas.pandas.Series, 1, 2, 1, index, 1
pandas.pandas.read_csv, 1, 4, 1, dtype, 1
pandas.read_msgpack, 1, 1, 1, , 
pandas.Panel.from_dict, 1, 1, 1, , 
pandas.datetime.now, 1, 0, 1, , 
pandas.Timestamp.fromtimestamp, 1, 1, 1, , 
pandas.read_hdf, 1, 2, 1, , 
pandas.SparseSeries, 1, 1, 1, , 
pandas.api.types.CategoricalDtype, 1, 2, 1, categories, 1
pandas.util.testing.makeMixedDataFrame, 2, 0, 2, , 
pandas.api.types.is_numeric_dtype, 2, 1, 2, , 
pandas.get_option, 2, 1, 2, , 
pandas.io.json.to_json, 2, 5, 2, double_precision, 2
pandas.io.common.get_filepath_or_buffer, 2, 2, 1, encoding, 2
pandas.core.common.is_datetime64tz_dtype, 2, 1, 2, , 
pandas.cut, 2, 2, 1, labels, 1
pandas.compat.StringIO, 2, 0, 1, , 
pandas.io.common.urlencode, 2, 1, 2, , 
pandas.util.testing.assert_produces_warning, 2, 0, 2, , 
pandas.qcut, 2, 3, 2, x, 2
pandas.read_fwf, 2, 4, 1, header, 2
pandas.DateOffset, 2, 1, 2, , 
pandas.io.parsers.read_table, 2, 3, 2, index_col, 2
pandas.to_msgpack, 2, 2, 1, append, 1
pandas.pivot_table, 2, 4, 2, values, 2
pandas.read_excel, 2, 1, 1, , 
pandas.get_dummies, 2, 2, 2, prefix, 2
pandas.DataFrame.from_items, 2, 1, 2, , 
pandas.Series.to_frame, 2, 1, 2, , 
pandas.SparseDataFrame, 2, 3, 2, index, 2
pandas.core.index.RangeIndex, 3, 2, 2, , 
pandas.core.common.AbstractMethodError, 3, 1, 3, , 
pandas.period_range, 3, 4, 2, freq, 3
pandas.core.frame.DataFrame, 3, 1, 3, , 
pandas.io.json.json_normalize, 3, 1, 3, , 
