function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
pymc3.gp.mean.Constant, 1, 1, 1, , 
pymc3.gp.mean.Zero, 1, 0, 1, , 
pymc3.Categorical, 1, 4, 1, observed, 1
pymc3.backends.base.MultiTrace, 1, 1, 1, , 
pymc3.diagnostics.effective_n, 1, 1, 1, , 
pymc3.plots.traceplot, 1, 1, 1, , 
pymc3.plots.autocorrplot, 1, 1, 1, , 
pymc3.plots.forestplot, 1, 1, 1, , 
pymc3.plots.plot_posterior, 1, 1, 1, , 
pymc3.waic, 1, 3, 1, progressbar, 1
pymc3.HalfFlat, 1, 1, 1, , 
pymc3.advi, 1, 1, 1, n, 1
pymc3.math.logsumexp, 1, 2, 1, axis, 1
pymc3.GLM.from_formula, 1, 2, 1, , 
pymc3.Cauchy, 1, 4, 1, shape, 1
pymc3.Normal.dist, 1, 2, 1, mu, 1
pymc3.T.dist, 1, 3, 1, lam, 1
pymc3.glm.families.T, 1, 0, 1, , 
pymc3.MvNormal, 2, 4, 2, shape, 2
pymc3.sample_prior_predictive, 2, 1, 2, samples, 2
pymc3.gp.cov.ExpQuad, 2, 2, 2, , 
pymc3.Minibatch, 2, 2, 2, batch_size, 2
pymc3.DiscreteUniform.dist, 2, 2, 2, upper, 2
pymc3.geweke, 2, 2, 1, intervals, 2
pymc3.effective_n, 2, 1, 1, , 
pymc3.Exponential.dist, 2, 1, 2, , 
pymc3.backends.sqlite.load, 2, 1, 2, , 
pymc3.plots.energyplot, 2, 1, 2, , 
pymc3.modelcontext, 2, 1, 2, , 
pymc3.Bernoulli, 2, 3, 2, observed, 2
pymc3.glm.plot_posterior_predictive, 2, 3, 1, label, 2
pymc3.math.cartesian, 3, 2, 3, , 
pymc3.compare, 3, 1, 1, ic, 2
pymc3.DensityDist, 3, 3, 3, dtype, 2
pymc3.switch, 3, 3, 3, , 
pymc3.invlogit, 3, 1, 2, , 
pymc3.backends.SQLite, 3, 1, 3, , 
pymc3.glm.GLM.from_formula, 3, 3, 2, family, 2
pymc3.plots.summary, 3, 1, 2, varnames, 1
pymc3.autocorrplot, 4, 2, 2, vars, 2
pymc3.distributions.timeseries.GaussianRandomWalk, 4, 3, 4, shape, 4
pymc3.Flat, 5, 2, 3, shape, 3
pymc3.math.sum, 5, 2, 5, axis, 5
pymc3.LogitNormal, 5, 4, 5, mu, 5
pymc3.theanof.floatX, 5, 1, 5, , 
pymc3.exp, 5, 1, 3, , 
pymc3.glm.glm, 5, 3, 3, family, 3
pymc3.Dirichlet, 6, 2, 5, a, 5
pymc3.StudentT, 6, 5, 6, nu, 6
pymc3.Gamma, 6, 4, 4, shape, 4
pymc3.T, 6, 5, 4, observed, 6
pymc3.energyplot, 7, 1, 7, , 
pymc3.HalfNormal, 7, 2, 4, sd, 4
pymc3.gelman_rubin, 9, 1, 5, varnames, 3
pymc3.Bound, 10, 3, 5, lower, 10
pymc3.HalfCauchy, 10, 2, 10, beta, 8
pymc3.Metropolis, 10, 0, 8, scaling, 2
pymc3.SkewNormal, 12, 4, 12, mu, 12
pymc3.NUTS, 13, 1, 5, scaling, 9
pymc3.math.switch, 13, 3, 13, , 
pymc3.DiscreteUniform, 14, 3, 12, upper, 14
pymc3.trace_to_dataframe, 16, 2, 11, varnames, 7
pymc3.plot_posterior, 18, 3, 10, figsize, 13
pymc3.find_MAP, 21, 0, 11, vars, 5
pymc3.Binomial, 22, 4, 11, p, 21
pymc3.Beta, 23, 4, 12, beta, 23
pymc3.Potential, 24, 2, 24, , 
pymc3.Laplace, 26, 4, 26, b, 26
pymc3.Poisson, 26, 3, 26, observed, 26
pymc3.forestplot, 27, 2, 15, varnames, 21
pymc3.summary, 34, 1, 17, varnames, 17
pymc3.Uniform, 40, 3, 22, upper, 34
pymc3.sample_ppc, 40, 2, 35, model, 39
pymc3.Exponential, 42, 2, 27, lam, 23
pymc3.InverseGamma, 57, 3, 47, shape, 4
pymc3.Deterministic, 102, 2, 101, , 
pymc3.Model, 136, 0, 134, , 
pymc3.sample, 156, 3, 43, njobs, 45
pymc3.traceplot, 216, 1, 130, varnames, 72
pymc3.Normal, 293, 3, 171, sd, 212
