function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
skimage.feature.hog, 1, 2, 1, visualise, 1
skimage.data.astronaut, 1, 0, 1, , 
skimage.transform.rescale, 1, 2, 1, , 
skimage.filters.threshold_otsu, 1, 1, 1, , 
skimage.morphology.closing, 1, 2, 1, , 
skimage.morphology.binary_dilation, 1, 1, 1, , 
skimage.morphology.watershed, 1, 3, 1, mask, 1
skimage.feature.blob_doh, 1, 2, 1, min_sigma, 1
skimage.color.label2rgb, 2, 2, 2, bg_label, 2
skimage.filters.sobel, 2, 1, 2, , 
skimage.color.gray2rgb, 2, 1, 2, , 
skimage.color.rgb2gray, 3, 1, 3, , 
skimage.transform.resize, 5, 3, 2, mode, 3
skimage.io.imsave, 6, 2, 6, , 
skimage.io.imread, 8, 1, 8, , 
skimage.color.rgb2lab, 11, 1, 11, , 
