function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
scipy.stats.gamma.rvs, 1, 3, 1, scale, 1
scipy.stats.poisson.rvs, 1, 1, 1, , 
scipy.stats.linregress, 1, 2, 1, , 
scipy.linalg.eigvalsh, 1, 1, 1, , 
scipy.stats.poisson.pmf, 1, 2, 1, , 
scipy.spatial.ConvexHull, 1, 1, 1, , 
scipy.stats.gaussian_kde, 1, 1, 1, , 
scipy.optimize.fsolve, 1, 2, 1, func, 1
scipy.stats.binom.logpmf, 1, 3, 1, , 
scipy.optimize.curve_fit, 1, 4, 1, p0, 1
scipy.interpolate.interp1d, 1, 2, 1, , 
scipy.stats.chi2.ppf, 1, 2, 1, , 
scipy.io.wavfile.write, 1, 3, 1, , 
scipy.interpolate.InterpolatedUnivariateSpline, 1, 3, 1, k, 1
scipy.signal.sawtooth, 1, 2, 1, , 
scipy.signal.medfilt, 1, 2, 1, kernel_size, 1
scipy.io.wavfile.setnchannels, 1, 1, 1, , 
scipy.io.wavfile.setsampwidth, 1, 1, 1, , 
scipy.io.wavfile.setframerate, 1, 1, 1, , 
scipy.io.wavfile.writeframes, 1, 1, 1, , 
scipy.io.wavfile.close, 1, 0, 1, , 
scipy.io.wavfile.read, 1, 1, 1, , 
scipy.stats.beta, 2, 2, 2, , 
scipy.linalg.cholesky, 2, 2, 2, lower, 2
scipy.sparse.csr_matrix, 2, 1, 2, , 
scipy.linalg.expm, 2, 1, 2, , 
scipy.optimize.bisect, 2, 3, 2, , 
scipy.optimize.brentq, 2, 2, 2, , 
scipy.stats.distributions.truncnorm, 2, 4, 2, , 
scipy.stats.normaltest, 2, 2, 2, nan_policy, 2
scipy.stats.chi2.pdf, 3, 2, 3, , 
scipy.integrate.solve_ivp, 3, 6, 2, rtol, 3
scipy.integrate.odeint, 4, 6, 3, rtol, 3
scipy.stats.beta.rvs, 4, 3, 4, size, 4
scipy.stats.distributions.norm, 4, 2, 4, , 
scipy.io.loadmat, 4, 1, 2, , 
scipy.special.gammaln, 6, 1, 6, , 
scipy.stats.norm.pdf, 6, 3, 6, , 
scipy.optimize.minimize, 6, 3, 2, method, 4
