function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
scipy.linalg.blas.find_best_blas_type, 1, 1, 1, , 
scipy.fftpack.shift, 1, 2, 1, , 
scipy.integrate.tests.test_quadpack.get_clib_test_routine, 1, 4, 1, , 
scipy.LowLevelCallable, 1, 1, 1, , 
scipy.interpolate.SmoothBivariateSpline, 1, 3, 1, , 
scipy.interpolate.LSQBivariateSpline, 1, 5, 1, , 
scipy.linalg.tri, 1, 1, 1, , 
scipy.optimize.tests.test_linprog.lpgen_2d, 1, 2, 1, , 
scipy.optimize._tstutils.fstrings.index, 1, 1, 1, , 
scipy.optimize._tstutils.mstrings.index, 1, 1, 1, , 
scipy.signal.peak_widths, 1, 4, 1, , 
scipy.signal.correlate2d, 1, 4, 1, mode, 1
scipy.signal.impulse, 1, 2, 1, T, 1
scipy.sparse.linalg.expm_multiply, 1, 2, 1, , 
scipy.sort, 1, 1, 1, , 
scipy.sparse.linalg.matfuncs._onenorm, 1, 1, 1, , 
scipy.sparse.linalg.matfuncs._onenormest_matrix_power, 1, 2, 1, , 
scipy.sparse.kronsum, 1, 2, 1, , 
scipy.sparse.linalg.minres, 1, 2, 1, , 
scipy.sparse.linalg.gcrotmk, 1, 2, 1, , 
scipy.stats.gamma.cdf, 1, 4, 1, a, 1
scipy.stats.cauchy.cdf, 1, 3, 1, loc, 1
scipy.stats.beta.pdf, 1, 5, 1, b, 1
scipy.interpolate.barycentric_interpolate, 1, 3, 1, , 
scipy.ndimage.filters.rank_filter, 1, 4, 1, footprint, 1
scipy.optimize._shgo_lib.sobol_seq.Sobol, 1, 0, 1, , 
scipy.optimize._shgo_lib.triangulation.Complex, 1, 7, 1, , 
scipy.optimize._dual_annealing.ObjectiveFunWrapper, 1, 1, 1, , 
scipy.optimize._dual_annealing.EnergyState, 1, 2, 1, , 
scipy.optimize.cython_optimize._zeros.full_output_example, 1, 6, 1, , 
scipy.optimize._tstutils.get_tests, 1, 2, 1, smoothness, 1
scipy.optimize.zeros.brentq, 1, 9, 1, disp, 1
scipy.signal.bsplines.cspline1d, 1, 1, 1, , 
scipy.signal.bsplines.qspline1d, 1, 1, 1, , 
scipy.signal.impulse2, 1, 3, 1, None, 1
scipy.signal.check_COLA, 1, 3, 1, , 
scipy._lib._numpy_compat.get_randint, 1, 1, 1, , 
scipy.sparse.linalg.eigs.sort, 1, 0, 1, , 
scipy.spatial.transform._rotation_spline._angular_rate_to_rotvec_dot_matrix, 1, 1, 1, , 
scipy.spatial.transform._rotation_spline._rotvec_dot_to_angular_rate_matrix, 1, 1, 1, , 
scipy.spatial.transform._rotation_spline._create_block_3_diagonal_matrix, 1, 3, 1, , 
scipy.spatial.transform.Rotation.random, 1, 1, 1, , 
scipy.special._ufuncs._smirnovp, 1, 2, 1, , 
scipy.special._ufuncs._smirnovci, 1, 2, 1, , 
scipy.special._ufuncs._kolmogp, 1, 1, 1, , 
scipy.special._ufuncs._kolmogc, 1, 1, 1, , 
scipy.stats.truncnorm.logpdf, 1, 5, 1, b, 1
scipy.stats.boltzmann.cdf, 1, 3, 1, , 
