function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
statsmodels.api.tools.tools.rank, 1, 1, 1, , 
statsmodels.datasets.macrodata.load, 1, 0, 1, , 
statsmodels.tsa.ar_model.AR, 1, 1, 1, , 
statsmodels.api.GLS, 1, 3, 1, None, 1
statsmodels.formula.api.quantreg, 1, 2, 1, , 
statsmodels.nonparametric.api.KDEUnivariate, 1, 1, 1, , 
statsmodels.nonparametric.api.KDEMultivariate, 1, 3, 1, , 
statsmodels.compat.cStringIO.StringIO, 1, 0, 1, , 
statsmodels.compat.iteritems, 1, 1, 1, , 
statsmodels.tsa.stattools._autolag, 1, 7, 1, regresults, 1
statsmodels.tools.numdiff.approx_hess, 1, 3, 1, kwargs, 1
statsmodels.tools.numdiff.approx_fprime, 1, 3, 1, kwargs, 1
statsmodels.tools.decorators.resettable_cache, 1, 0, 1, , 
statsmodels.tools.numdiff.approx_hess1, 1, 6, 1, centered, 1
statsmodels.api.datasets.fair.load_pandas, 1, 0, 1, , 
statsmodels.tsa.base.tsa_model.TimeSeriesModelResults.load, 1, 1, 1, , 
statsmodels.graphics.utils.create_mpl_fig, 1, 2, 1, , 
statsmodels.graphics.gofplots.qqplot, 1, 3, 1, line, 1
statsmodels.stats.libqsturng.qsturng, 1, 3, 1, p, 1
statsmodels.nonparametric.kernel_regression.KernelReg, 1, 4, 1, bw, 1
statsmodels.iolib.summary.summary_return, 1, 2, 1, return_fmt, 1
statsmodels.api.stats.reindex, 1, 1, 1, columns, 1
statsmodels.api.stats.dropna, 1, 3, 1, how, 1
statsmodels.nonparametric.kernels.gaussian, 1, 3, 1, , 
statsmodels.datasets.get_rdataset, 1, 2, 1, dataname, 1
statsmodels.tsa.arima_model.ARIMAResults, 1, 3, 1, , 
statsmodels.tsa.arima_model.ARIMAResultsWrapper, 1, 1, 1, , 
statsmodels.api.tsa.ARIMA, 1, 2, 1, , 
statsmodels.api.stats.diagnostic.breaks_cusumolsresid, 1, 2, 1, , 
statsmodels.regression.linear_model.yule_walker, 1, 2, 1, , 
statsmodels.formula.api.gls, 1, 2, 1, , 
statsmodels.api.tsa.detrend, 1, 2, 1, , 
statsmodels.tsa.stattools.grangercausalitytests, 1, 3, 1, verbose, 1
statsmodels.tools.numdiff.approx_hess_cs, 1, 3, 1, args, 1
statsmodels.api.Logit.from_formula, 1, 2, 1, formula, 1
statsmodels.stats.multitest.fdrcorrection, 1, 1, 1, , 
statsmodels.api.datasets.cpunish.load, 1, 0, 1, , 
statsmodels.api.datasets.scotland.load, 1, 0, 1, , 
statsmodels.api.datasets.star98.load, 1, 0, 1, , 
statsmodels.genmod.tests.results.results_glm.InvGauss, 1, 0, 1, , 
statsmodels.api.datasets.committee.load, 1, 0, 1, , 
statsmodels.stats.inter_rater.cohens_kappa, 1, 2, 1, return_results, 1
statsmodels.stats.inter_rater.fleiss_kappa, 1, 1, 1, , 
statsmodels.nonparametric._kernel_base.gpke, 1, 5, 1, tosum, 1
statsmodels.formula.api.mixedlm, 1, 4, 1, None, 1
statsmodels.stats.multicomp.MultiComparison, 1, 2, 1, , 
statsmodels.regression.linear_model.WLS, 1, 3, 1, weights, 1
statsmodels.regression.linear_model.OLS, 1, 2, 1, , 
statsmodels.api.robust.mad, 1, 1, 1, , 
statsmodels.graphics.regressionplots.abline_plot, 1, 4, 1, ax, 1
statsmodels.api.graphics.plot_partregress, 1, 6, 1, ax, 1
statsmodels.api.nonparametric.KDEMultivariateConditional, 1, 5, 1, bw, 1
statsmodels.api.datasets.co2.load_pandas, 1, 0, 1, , 
statsmodels.api.datasets.engel.load_pandas, 1, 0, 1, , 
statsmodels.tsa.filters.filtertools.convolution_filter, 1, 3, 1, , 
statsmodels.api.families.Gaussian, 1, 0, 1, , 
statsmodels.api.families.InverseGaussian, 1, 0, 1, , 
statsmodels.api.families.Binomial, 1, 0, 1, , 
statsmodels.api.families.Poisson, 1, 0, 1, , 
statsmodels.api.families.NegativeBinomial, 1, 0, 1, , 
statsmodels.api.families.Gamma, 1, 0, 1, , 
statsmodels.api.families.Tweedie, 1, 0, 1, , 
