function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
sympy.physics.mechanics.init_vprinting, 1, 0, 1, , 
sympy.stats.Normal, 1, 3, 1, , 
sympy.ln, 1, 1, 1, , 
sympy.physics.mechanics.mechanics_printing, 1, 0, 1, , 
sympy.physics.mechanics.RigidBody, 1, 5, 1, , 
sympy.stats.Poisson, 1, 2, 1, , 
sympy.factor, 1, 1, 1, , 
sympy.expand, 1, 1, 1, , 
sympy.integrate, 1, 2, 1, , 
sympy.IndexedBase, 1, 1, 1, , 
sympy.log, 1, 1, 1, , 
sympy.ccode, 1, 1, 1, , 
sympy.cosh, 1, 1, 1, , 
sympy.physics.vector.init_vprinting, 2, 0, 1, use_latex, 1
sympy.physics.mechanics.dot, 2, 2, 2, , 
sympy.trigsimp, 2, 1, 2, , 
sympy.physics.mechanics.find_dynamicsymbols, 2, 1, 2, , 
sympy.Ei, 2, 1, 2, , 
sympy.solveset, 2, 3, 1, domain, 1
sympy.re, 2, 1, 2, , 
sympy.im, 2, 1, 2, , 
sympy.latex, 2, 1, 2, , 
sympy.limit, 2, 3, 2, , 
sympy.physics.mechanics.KanesMethod, 3, 4, 3, q_ind, 3
sympy.S, 3, 1, 3, , 
sympy.matrix2numpy, 3, 2, 3, dtype, 3
sympy.interactive.printing.init_printing, 3, 1, 3, use_latex, 1
sympy.physics.mechanics.ReferenceFrame, 4, 1, 4, , 
sympy.physics.mechanics.Particle, 4, 3, 4, , 
sympy.cse, 5, 2, 3, optimizations, 1
sympy.pretty_print, 5, 1, 5, , 
sympy.physics.mechanics.Point, 7, 1, 7, , 
sympy.simplify, 7, 1, 7, , 
sympy.exp, 7, 1, 7, , 
sympy.physics.mechanics.dynamicsymbols, 8, 1, 8, , 
sympy.Float, 9, 1, 9, , 
sympy.Rational, 11, 2, 11, , 
sympy.solve, 13, 2, 10, , 
sympy.Matrix, 19, 1, 19, , 
sympy.cos, 27, 1, 27, , 
sympy.diff, 28, 2, 27, , 
sympy.sympify, 28, 1, 28, , 
sympy.Function, 29, 1, 29, , 
sympy.sqrt, 30, 1, 30, , 
sympy.Symbol, 31, 1, 30, positive, 1
sympy.init_printing, 35, 0, 32, use_latex, 3
sympy.lambdify, 37, 3, 27, modules, 3
sympy.Eq, 39, 2, 38, evaluate, 1
sympy.sin, 74, 1, 74, , 
sympy.symbols, 84, 1, 74, real, 7
