function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
sympy.floor, 1, 1, 1, , 
sympy.core.facts.FactKB, 1, 1, 1, , 
sympy.LessThan, 1, 2, 1, , 
sympy.core.relational.Eq, 1, 2, 1, , 
sympy.physics.units.Quantity, 1, 1, 1, , 
sympy.physics.units.Dimension, 1, 1, 1, , 
sympy.solvers.linsolve, 1, 2, 1, , 
sympy.N, 1, 1, 1, , 
sympy.physics.mechanics.partial_velocity, 1, 3, 1, , 
sympy.radsimp, 1, 1, 1, , 
sympy.utilities.iterables.iterable, 1, 1, 1, , 
sympy.primefactors, 1, 1, 1, , 
sympy.MutableDenseMatrix, 1, 1, 1, , 
sympy.linsolve, 1, 2, 1, , 
sympy.Tuple, 1, 1, 1, , 
sympy.printing.mathml.mathml, 1, 1, 1, , 
sympy.matrices.zeros, 1, 1, 1, , 
sympy.core.compatibility.is_sequence, 1, 1, 1, , 
sympy.utilities.codegen.CodeGenError, 1, 1, 1, , 
sympy.matrices.MatrixSymbol, 1, 2, 1, , 
sympy.utilities.codegen.CodeGenArgumentListError, 1, 2, 1, , 
sympy.utilities.codegen.Routine, 1, 5, 1, , 
sympy.core.compatibility.iterable, 1, 2, 1, exclude, 1
sympy.Idx, 1, 2, 1, , 
sympy.core.relational.Relational, 1, 3, 1, , 
sympy.Union, 1, 1, 1, , 
sympy.Complement, 1, 1, 1, , 
sympy.EmptySet, 1, 0, 1, , 
sympy.core.mul._keep_coeff, 1, 2, 1, , 
sympy.Mul.make_args, 1, 1, 1, , 
sympy.logic.boolalg.is_dnf, 1, 1, 1, , 
sympy.to_dnf, 1, 1, 1, , 
sympy.logic.inference.satisfiable, 1, 1, 1, , 
sympy.logic.boolalg.is_cnf, 1, 1, 1, , 
sympy.functions.elementary.exponential.log, 1, 2, 1, , 
sympy.solve_linear_system, 1, 2, 1, , 
sympy.ImmutableMatrix, 1, 1, 1, , 
sympy.Symbol.__add__, 1, 2, 1, , 
sympy.Symbol.__mul__, 1, 2, 1, , 
sympy.symbol.Dummy.__new__, 1, 2, 1, , 
sympy.mod_inverse, 1, 2, 1, , 
sympy.core.numbers.Float, 1, 1, 1, , 
sympy.postorder_traversal, 1, 1, 1, , 
sympy.printing.ccode.C99CodePrinter.__init__, 1, 2, 1, , 
sympy.core.basic._aresame, 1, 2, 1, , 
sympy.Ne.__new__, 1, 3, 1, evaluate, 1
sympy.Add.__new__, 1, 3, 1, evaluate, 1
sympy.Pow.__new__, 1, 3, 1, evaluate, 1
sympy.LM, 1, 1, 1, , 
sympy.Basic.__new__, 1, 1, 1, , 
sympy.cache.clear_cache, 1, 0, 1, , 
sympy.solvers.solve_linear, 1, 2, 1, , 
sympy.Mul.fromiter, 1, 1, 1, , 
sympy.GramSchmidt, 1, 1, 1, , 
sympy.horner, 1, 1, 1, , 
sympy.fourier_transform, 1, 3, 1, , 
sympy.integrals.transforms.inverse_laplace_transform, 1, 3, 1, , 
sympy.core.mul._unevaluated_Mul, 1, 2, 1, , 
sympy.physics.mechanics.find_dynamicsymbols, 1, 1, 1, , 
sympy.stats.Poisson, 1, 2, 1, , 
sympy.solveset, 1, 3, 1, domain, 1
sympy.Le, 1, 2, 1, , 
sympy.reduce_inequalities, 1, 1, 1, , 
sympy.isprime, 1, 1, 1, , 
sympy.pprint, 1, 2, 1, None, 1
sympy.printing.ccode.CCodePrinter.__init__, 1, 2, 1, , 
sympy.asinh, 1, 1, 1, , 
sympy.solvers.solvers.nsolve, 1, 4, 1, tol, 1
sympy.Matrix.col_join, 1, 1, 1, , 
sympy.deg, 1, 1, 1, , 
sympy.rad, 1, 1, 1, , 
sympy.mpmath.workdps, 1, 1, 1, , 
sympy.mpmath.eig, 1, 3, 1, right, 1
sympy.StrictGreaterThan, 1, 1, 1, , 
sympy.StrictLessThan, 1, 1, 1, , 
sympy.Or, 1, 2, 1, , 
