function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
tensorflow.train.Server.create_local_server, 1, 0, 1, , 
tensorflow.train.ClusterSpec, 1, 1, 1, , 
tensorflow.add, 1, 3, 1, name, 1
tensorflow.div, 1, 3, 1, name, 1
tensorflow.python.framework.ops.get_collection, 1, 1, 1, , 
tensorflow.global_variables_initializer, 1, 0, 1, , 
tensorflow.tanh, 1, 1, 1, , 
tensorflow.sigmoid, 1, 1, 1, , 
tensorflow.trainable_variables, 1, 0, 1, , 
tensorflow.identity, 1, 2, 1, name, 1
tensorflow.equal, 1, 2, 1, , 
tensorflow.train.import_meta_graph, 1, 1, 1, , 
tensorflow.reduce_sum, 1, 2, 1, axis, 1
tensorflow.python.platform.tf_logging.set_verbosity, 1, 1, 1, , 
tensorflow.python.platform.tf_logging.log, 1, 2, 1, , 
tensorflow.random_uniform, 1, 3, 1, , 
tensorflow.nn.rnn_cell.MultiRNNCell, 1, 2, 1, state_is_tuple, 1
tensorflow.nn.dynamic_rnn, 1, 3, 1, dtype, 1
tensorflow.losses.mean_squared_error, 1, 2, 1, , 
tensorflow.contrib.training.create_train_op, 1, 2, 1, , 
tensorflow.estimator.EstimatorSpec, 1, 5, 1, loss, 1
tensorflow.estimator.TrainSpec, 1, 2, 1, input_fn, 1
tensorflow.estimator.EvalSpec, 1, 4, 1, input_fn, 1
tensorflow.estimator.RunConfig, 1, 1, 1, model_dir, 1
tensorflow.estimator.Estimator, 1, 2, 1, config, 1
tensorflow.estimator.train_and_evaluate, 1, 3, 1, , 
tensorflow.train.write_graph, 1, 3, 1, , 
tensorflow.contrib.slim.arg_scope, 1, 3, 1, weights_initializer, 1
tensorflow.contrib.slim.fully_connected, 1, 3, 1, scope, 1
tensorflow.contrib.slim.unit_norm, 1, 2, 1, dim, 1
tensorflow.nn.softmax, 1, 2, 1, axis, 1
tensorflow.nn.top_k, 1, 4, 1, name, 1
tensorflow.nn.conv2d, 1, 4, 1, strides, 1
tensorflow.slice, 1, 4, 1, begin, 1
tensorflow.set_random_seed, 1, 1, 1, , 
tensorflow.InteractiveSession, 1, 0, 1, , 
tensorflow.nn.relu, 1, 1, 1, , 
tensorflow.matmul, 1, 2, 1, , 
tensorflow.python.keras.utils.to_categorical, 2, 2, 2, , 
tensorflow.ConfigProto, 2, 0, 2, , 
tensorflow.train.QueueRunner, 2, 2, 2, , 
tensorflow.train.Coordinator, 2, 0, 2, , 
tensorflow.maximum, 2, 2, 2, , 
tensorflow.one_hot, 2, 2, 2, , 
tensorflow.enable_eager_execution, 2, 0, 2, , 
tensorflow.keras.Sequential, 2, 1, 2, , 
tensorflow.sqrt, 2, 1, 2, , 
tensorflow.keras.callbacks.LearningRateScheduler, 2, 2, 2, verbose, 2
tensorflow.expand_dims, 2, 2, 2, axis, 2
tensorflow.layers.max_pooling1d, 2, 3, 2, pool_size, 2
tensorflow.squeeze, 2, 2, 2, axis, 2
tensorflow.nn.rnn_cell.GRUCell, 2, 1, 2, , 
tensorflow.shape, 2, 1, 2, , 
tensorflow.reshape, 2, 2, 2, , 
tensorflow.train.AdamOptimizer, 2, 1, 2, learning_rate, 2
tensorflow.data.Dataset.from_tensor_slices, 2, 1, 2, , 
tensorflow.python.tools.freeze_graph.freeze_graph, 2, 10, 2, clear_devices, 2
tensorflow.keras.layers.Input, 2, 2, 2, batch_shape, 2
tensorflow.keras.Model, 2, 2, 2, outputs, 2
tensorflow.TextLineReader, 3, 1, 3, skip_header_lines, 3
tensorflow.decode_csv, 3, 2, 3, record_defaults, 3
tensorflow.stack, 3, 1, 3, , 
tensorflow.RandomShuffleQueue, 3, 6, 3, capacity, 3
tensorflow.variables_initializer, 3, 1, 3, var_list, 3
tensorflow.nn.sigmoid, 3, 2, 3, name, 3
tensorflow.nn.sigmoid_cross_entropy_with_logits, 3, 2, 3, logits, 3
tensorflow.variable_scope, 3, 2, 2, reuse, 2
tensorflow.contrib.layers.fully_connected, 3, 2, 2, activation_fn, 1
tensorflow.get_variable, 3, 2, 3, shape, 3
tensorflow.constant, 4, 1, 2, name, 2
tensorflow.FIFOQueue, 4, 3, 4, capacity, 4
tensorflow.examples.tutorials.mnist.input_data.read_data_sets, 4, 2, 3, validation_size, 2
tensorflow.Graph, 4, 0, 4, , 
tensorflow.metrics.root_mean_squared_error, 4, 2, 4, , 
tensorflow.train.Server, 5, 3, 5, job_name, 5
tensorflow.train.Saver, 5, 0, 3, var_list, 2
tensorflow.layers.conv1d, 5, 5, 5, padding, 5
tensorflow.layers.max_pooling2d, 6, 4, 6, padding, 6
tensorflow.image.resize_nearest_neighbor, 6, 2, 6, , 
tensorflow.device, 9, 1, 9, , 
tensorflow.reduce_mean, 10, 1, 9, name, 1
tensorflow.layers.dense, 11, 3, 9, activation, 9
tensorflow.reset_default_graph, 14, 0, 14, , 
tensorflow.layers.conv2d, 14, 5, 14, activation, 14
tensorflow.placeholder, 20, 3, 14, name, 14
tensorflow.Session, 21, 0, 15, config, 2
tensorflow.Variable, 40, 1, 31, name, 9
