function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
tensorflow.sparse_concat, 1, 2, 1, , 
tensorflow.nn.elu, 1, 1, 1, , 
tensorflow.nn.softsign, 1, 1, 1, , 
tensorflow.nn.separable_conv2d, 1, 6, 1, strides, 1
tensorflow.nn.max_pool3d, 1, 4, 1, padding, 1
tensorflow.nn.avg_pool3d, 1, 4, 1, padding, 1
tensorflow.python.ops.functional_ops.scan, 1, 4, 1, parallel_iterations, 1
tensorflow.python.ops.ctc_ops.ctc_greedy_decoder, 1, 2, 1, sequence_length, 1
tensorflow.python.ops.ctc_ops.ctc_beam_search_decoder, 1, 4, 1, sequence_length, 1
tensorflow.foldl, 1, 4, 1, name, 1
tensorflow.foldr, 1, 4, 1, name, 1
tensorflow.assert_variables_initialized, 1, 0, 1, , 
tensorflow.register_tensor_conversion_function, 1, 3, 1, , 
tensorflow.float64.is_compatible_with, 1, 1, 1, , 
tensorflow.int32.is_compatible_with, 1, 1, 1, , 
tensorflow.int64.is_compatible_with, 1, 1, 1, , 
tensorflow.python.ops.variable_scope._VariableScope, 1, 3, 1, name, 1
tensorflow.contrib.distributions.Beta, 1, 2, 1, , 
tensorflow.image.decode_bmp, 1, 2, 1, name, 1
tensorflow.FixedLenSequenceFeature, 1, 2, 1, , 
tensorflow.balanced_batch_generator, 1, 7, 1, sampler, 1
tensorflow.contrib.warpctc.warp_ctc_loss, 1, 3, 1, sequence_length, 1
tensorflow.QueueBase.from_list, 1, 2, 1, , 
tensorflow.keras.losses.categorical_crossentropy, 1, 2, 1, y_true, 1
tensorflow.keras.losses.mean_squared_error, 1, 2, 1, y_true, 1
tensorflow.keras.losses.binary_crossentropy, 1, 2, 1, y_true, 1
tensorflow.keras.layers.Conv1D, 1, 5, 1, strides, 1
tensorflow.keras.layers.Conv3D, 1, 5, 1, strides, 1
tensorflow.keras.layers.AveragePooling1D, 1, 2, 1, strides, 1
tensorflow.keras.layers.AveragePooling2D, 1, 2, 1, strides, 1
tensorflow.keras.layers.AveragePooling3D, 1, 2, 1, strides, 1
tensorflow.keras.layers.GlobalAveragePooling1D, 1, 0, 1, , 
tensorflow.keras.layers.GlobalAveragePooling2D, 1, 0, 1, , 
tensorflow.keras.layers.GlobalAveragePooling3D, 1, 0, 1, , 
tensorflow.keras.layers.MaxPooling1D, 1, 2, 1, strides, 1
tensorflow.keras.layers.MaxPooling2D, 1, 2, 1, strides, 1
tensorflow.keras.layers.MaxPooling3D, 1, 2, 1, strides, 1
tensorflow.keras.layers.Flatten, 1, 0, 1, , 
tensorflow.keras.layers.Add, 1, 0, 1, , 
tensorflow.keras.layers.Concatenate, 1, 0, 1, , 
tensorflow.keras.callbacks.LearningRateScheduler, 1, 1, 1, , 
tensorflow.keras.callbacks.ReduceLROnPlateau, 1, 4, 1, cooldown, 1
tensorflow.contrib.slim.nets.resnet_v1.resnet_v1_50, 1, 2, 1, , 
tensorflow.profiler.profile, 1, 3, 1, options, 1
tensorflow.scatter_sub, 1, 3, 1, , 
tensorflow.contrib.slim.layers.dropout, 1, 2, 1, is_training, 1
tensorflow.Summary.FromString, 1, 1, 1, , 
tensorflow.model_variables, 1, 0, 1, , 
tensorflow.contrib.nccl.all_sum, 1, 1, 1, , 
tensorflow.python.ops.data_flow_ops.StagingArea, 1, 2, 1, shapes, 1
tensorflow.__version__.split, 1, 1, 1, , 
tensorflow.layers.BatchNormalization, 1, 9, 1, axis, 1
tensorflow.layers.Conv2DTranspose, 1, 10, 1, kernel_initializer, 1
tensorflow.train.ChiefSessionCreator, 1, 1, 1, config, 1
tensorflow.report_uninitialized_variables, 1, 0, 1, , 
tensorflow.train.SessionManager, 1, 3, 1, ready_op, 1
tensorflow.Summary.Image, 1, 0, 1, , 
tensorflow.sysconfig.get_include, 1, 0, 1, , 
tensorflow.core.framework.tensor_pb2.TensorProto, 1, 0, 1, , 
tensorflow.keras.experimental.load_from_saved_model, 1, 1, 1, , 
tensorflow.compat.v1.reset_default_graph, 1, 0, 1, , 
tensorflow.compat.v1.gfile.Open, 1, 2, 1, , 
tensorflow.compat.v1.GraphDef, 1, 0, 1, , 
tensorflow.core.protobuf.device_properties_pb2.NamedDevice, 1, 0, 1, , 
tensorflow.python.grappler.cluster.Cluster, 1, 1, 1, devices, 1
tensorflow.core.protobuf.config_pb2.ConfigProto, 1, 0, 1, , 
tensorflow.python.training.saver.export_meta_graph, 1, 2, 1, graph_def, 1
tensorflow.core.protobuf.meta_graph_pb2.CollectionDef, 1, 0, 1, , 
tensorflow.python.grappler.tf_optimizer.OptimizeGraph, 1, 3, 1, cluster, 1
tensorflow.python.saved_model.load.load, 1, 2, 1, , 
tensorflow.python.framework.convert_to_constants.convert_variables_to_constants_v2, 1, 1, 1, , 
tensorflow.compat.v1.logging.info, 1, 2, 1, , 
tensorflow.compat.v1.gfile.GFile, 1, 2, 1, , 
tensorflow.linalg.diag, 1, 1, 1, , 
tensorflow.compat.v1.Print, 1, 2, 1, , 
tensorflow.compat.v1.Assert, 1, 2, 1, , 
tensorflow.compat.v1.check_numerics, 1, 2, 1, , 
tensorflow.keras.datasets.boston_housing.load_data, 1, 0, 1, , 
tensorflow.log_saved_model, 1, 3, 1, signature_def_key, 1
tensorflow.feature_column.categorical_column_with_vocabulary_list, 1, 2, 1, vocabulary_list, 1
tensorflow.contrib.cudnn_rnn.CudnnCompatibleGRUCell, 1, 1, 1, , 
tensorflow.contrib.cudnn_rnn.CudnnLSTM, 1, 2, 1, num_layers, 1
tensorflow.contrib.cudnn_rnn.CudnnCompatibleLSTMCell, 1, 1, 1, , 
tensorflow.python.ops.variables._all_saveable_objects, 1, 0, 1, , 
tensorflow.unsorted_segment_sum, 1, 3, 1, , 
tensorflow.python.ops.init_ops.zeros_initializer, 1, 0, 1, , 
tensorflow.add_to_collections, 1, 2, 1, , 
tensorflow.summary.FileWriterCache.get, 1, 1, 1, , 
tensorflow.summary.Summary, 1, 0, 1, , 
tensorflow.summary.Summary.FromString, 1, 1, 1, , 
tensorflow.train.warm_start, 1, 2, 1, vars_to_warm_start, 1
tensorflow.python.util.deprecation.deprecated_args, 1, 3, 1, , 
tensorflow.contrib.tpu.python.tpu.tpu_function.tpu_shard_context, 1, 1, 1, , 
tensorflow.contrib.estimator.clip_gradients_by_norm, 1, 2, 1, , 
tensorflow.gfile.Rename, 1, 3, 1, overwrite, 1
tensorflow.python.keras.callbacks.EarlyStopping, 1, 5, 1, min_delta, 1
tensorflow.keras.backend.eval, 1, 1, 1, , 
tensorflow.keras.backend.flatten, 1, 1, 1, , 
tensorflow.keras.metrics.categorical_accuracy, 1, 2, 1, , 
tensorflow.keras.optimizers.Adam, 1, 2, 1, clipnorm, 1
tensorflow.contrib.model_pruning.python.layers.core_layers.MaskedFullyConnected, 1, 3, 1, name, 1
tensorflow.contrib.model_pruning.python.pruning.Pruning, 1, 2, 1, global_step, 1
tensorflow.contrib.model_pruning.get_masks, 1, 0, 1, , 
tensorflow.contrib.model_pruning.get_thresholds, 1, 0, 1, , 
tensorflow.contrib.seq2seq.SampleEmbeddingHelper, 1, 5, 1, softmax_temperature, 1
tensorflow.contrib.seq2seq.GreedyEmbeddingHelper, 1, 3, 1, , 
tensorflow.keras.initializers.glorot_normal, 1, 1, 1, seed, 1
tensorflow.keras.initializers.glorot_uniform, 1, 1, 1, seed, 1
tensorflow.contrib.model_pruning.apply_mask, 1, 2, 1, , 
tensorflow.contrib.rnn.LayerNormBasicLSTMCell, 1, 3, 1, forget_bias, 1
tensorflow.contrib.rnn.NASCell, 1, 1, 1, , 
tensorflow.contrib.model_pruning.MaskedBasicLSTMCell, 1, 2, 1, forget_bias, 1
tensorflow.quantize, 1, 5, 1, mode, 1
tensorflow.contrib.framework.load_checkpoint, 1, 1, 1, , 
tensorflow.contrib.framework.nest.is_sequence, 1, 1, 1, , 
tensorflow.contrib.framework.nest.assert_same_structure, 1, 2, 1, , 
tensorflow.keras.layers.Bidirectional, 1, 1, 1, , 
tensorflow.python.ops.nn_impl.l2_normalize, 1, 2, 1, axis, 1
tensorflow.python.ops.nn.moments, 1, 2, 1, , 
tensorflow.python.ops.math_ops.sqrt, 1, 1, 1, , 
tensorflow.python.keras.engine.base_layer.InputSpec, 1, 1, 1, shape, 1
tensorflow.initializers.random_normal, 1, 2, 1, , 
tensorflow.contrib.slim.assign_from_checkpoint_fn, 1, 2, 1, , 
tensorflow.bitwise.bitwise_or, 1, 2, 1, , 
tensorflow.math.equal, 1, 2, 1, , 
tensorflow.bitwise.bitwise_xor, 1, 2, 1, , 
tensorflow.to_complex64, 1, 1, 1, , 
tensorflow.train.QueueRunner, 1, 2, 1, , 
tensorflow.contrib.slim.nets.vgg.vgg_arg_scope, 1, 1, 1, None, 1
tensorflow.contrib.slim.nets.resnet_v2.resnet_utils.resnet_arg_scope, 1, 1, 1, None, 1
tensorflow.contrib.slim.nets.resnet_utils.resnet_arg_scope, 1, 3, 1, batch_norm_scale, 1
tensorflow.contrib.slim.nets.resnet_utils.Block, 1, 3, 1, , 
tensorflow.contrib.slim.nets.resnet_utils.stack_blocks_dense, 1, 2, 1, , 
tensorflow.assert_non_negative, 1, 2, 1, message, 1
tensorflow.python.debug.LocalCLIDebugHook, 1, 0, 1, , 
tensorflow.train.limit_epochs, 1, 2, 1, num_epochs, 1
tensorflow.image.crop_to_bounding_box, 1, 5, 1, offset_width, 1
tensorflow.image.flip_up_down, 1, 1, 1, , 
tensorflow.contrib.legacy_seq2seq.embedding_rnn_seq2seq, 1, 8, 1, feed_previous, 1
tensorflow.contrib.legacy_seq2seq.sequence_loss, 1, 5, 1, softmax_loss_function, 1
tensorflow.linalg.set_diag, 1, 2, 1, , 
tensorflow.python.estimator.model_fn.EstimatorSpec, 1, 2, 1, mode, 1
tensorflow.python.estimator.estimator.Estimator, 1, 1, 1, , 
tensorflow.contrib.layers.embed_sequence, 1, 3, 1, vocab_size, 1
tensorflow.contrib.cudnn_rnn.python.ops.cudnn_rnn_ops.CudnnGRU, 1, 4, 1, input_mode, 1
tensorflow.core.framework.node_def_pb2.NodeDef, 1, 0, 1, , 
tensorflow.core.protobuf.meta_graph_pb2.MetaGraphDef, 1, 0, 1, , 
tensorflow.python.framework.graph_util.extract_sub_graph, 1, 2, 1, , 
tensorflow.image.roi_pooling, 1, 5, 1, pooled_height, 1
tensorflow.contrib.rnn.CoupledInputForgetGateLSTMCell, 1, 4, 1, forget_bias, 1
tensorflow.all_variables, 1, 0, 1, , 
tensorflow.python.ops.rnn_cell._linear, 1, 5, 1, bias_start, 1
tensorflow.python.ops.rnn.bidirectional_dynamic_rnn, 1, 11, 1, sequence_length, 1
tensorflow.python.ops.rnn.bidirectional_rnn, 1, 8, 1, sequence_length, 1
tensorflow.python.ops.array_ops.rank, 1, 1, 1, , 
tensorflow.python.ops.array_ops.transpose, 1, 2, 1, , 
tensorflow.python.framework.ops.colocate_with, 1, 1, 1, , 
tensorflow.python.framework.tensor_shape.unknown_shape, 1, 1, 1, ndims, 1
tensorflow.python.ops.array_ops.reverse_sequence, 1, 4, 1, , 
tensorflow.python.ops.array_ops.unstack, 1, 1, 1, , 
tensorflow.python.ops.math_ops.to_int32, 1, 1, 1, , 
tensorflow.python.ops.control_flow_ops.Assert, 1, 2, 1, , 
tensorflow.python.ops.math_ops.reduce_min, 1, 1, 1, , 
tensorflow.python.ops.math_ops.reduce_max, 1, 1, 1, , 
tensorflow.python.ops.array_ops.constant, 1, 3, 1, name, 1
tensorflow.python.ops.variable_scope.get_variable_scope, 1, 0, 1, , 
tensorflow.python.keras.backend.repeat_elements, 1, 3, 1, , 
tensorflow.python.keras.backend.mean, 1, 3, 1, keepdims, 1
tensorflow.python.keras.backend.std, 1, 3, 1, keepdims, 1
tensorflow.python.keras.backend.pow, 1, 2, 1, , 
tensorflow.python.keras.backend.dot, 1, 2, 1, , 
tensorflow.python.keras.backend.variable, 1, 2, 1, dtype, 1
tensorflow.python.keras.layers.Dense, 1, 5, 1, kernel_initializer, 1
tensorflow.python.keras.backend.floatx, 1, 0, 1, , 
tensorflow.python.keras.backend.dtype, 1, 1, 1, , 
tensorflow.train.load_checkpoint, 1, 1, 1, , 
tensorflow.compat.as_str_any, 1, 1, 1, , 
tensorflow.broadcast_to, 1, 2, 1, , 
tensorflow.contrib.seq2seq.SampleEmbeddingHelper.__init__, 1, 4, 1, , 
tensorflow.contrib.seq2seq.SampleEmbeddingHelper.sample, 1, 5, 1, , 
tensorflow.contrib.seq2seq.SampleEmbeddingHelper.next_inputs, 1, 6, 1, , 
tensorflow.contrib.rnn.HighwayWrapper, 1, 1, 1, , 
tensorflow.layers.Conv1D, 1, 2, 1, kernel_size, 1
tensorflow.train.natural_exp_decay, 1, 4, 1, , 
tensorflow.dtypes.as_string, 1, 1, 1, , 
tensorflow.python.ops.math_ops.logical_not, 1, 1, 1, , 
tensorflow.python.ops.math_ops.argmax, 1, 3, 1, output_type, 1
tensorflow.layers.Dropout, 1, 2, 1, rate, 1
tensorflow.keras.regularizers.L1L2, 1, 2, 1, , 
tensorflow.contrib.losses.softmax_cross_entropy, 1, 2, 1, , 
tensorflow.nn.rnn, 1, 3, 1, initial_state, 1
tensorflow.models.rnn.ptb.reader.ptb_raw_data, 1, 1, 1, , 
tensorflow.contrib.distributions.kl_divergence, 1, 2, 1, , 
tensorflow.contrib.distributions.Normal, 1, 2, 1, scale, 1
tensorflow.Graph.finalize, 1, 1, 1, , 
tensorflow.uniform_unit_scaling_initializer, 1, 2, 1, seed, 1
tensorflow.core.framework.summary_pb2.Summary.Image, 1, 4, 1, width, 1
tensorflow.core.framework.summary_pb2.Summary.Value, 1, 2, 1, tag, 1
tensorflow.contrib.framework.local_variable, 1, 3, 1, name, 1
tensorflow.scatter_nd_add, 1, 3, 1, , 
tensorflow.nn.pool, 1, 7, 1, strides, 1
tensorflow.contrib.resampler.resampler, 1, 2, 1, , 
tensorflow.matrix_solve_ls, 1, 2, 1, , 
tensorflow.Variable.SaveSliceInfo, 1, 4, 1, full_name, 1
tensorflow.python.ops.io_ops.restore_v2, 1, 4, 1, , 
tensorflow.contrib.lookup.MutableHashTable, 1, 4, 1, value_dtype, 1
tensorflow.image.pad_to_bounding_box, 1, 5, 1, , 
tensorflow.contrib.rnn.static_bidirectional_rnn, 1, 8, 1, sequence_length, 1
tensorflow.profiler.Profiler, 1, 1, 1, , 
tensorflow.profiler.ProfileOptionBuilder.time_and_memory, 1, 0, 1, , 
tensorflow.contrib.layers.instance_norm, 1, 5, 1, trainable, 1
tensorflow.imag, 1, 1, 1, , 
tensorflow.matrix_diag_part, 1, 1, 1, , 
tensorflow.self_adjoint_eig, 1, 1, 1, , 
tensorflow.sparse_add, 1, 2, 1, , 
tensorflow.executing_eagerly, 1, 0, 1, , 
tensorflow.arccosh, 1, 1, 1, , 
tensorflow.tan, 1, 1, 1, , 
tensorflow.asin, 1, 1, 1, , 
tensorflow.acos, 1, 1, 1, , 
tensorflow.eye, 1, 2, 1, num_rows, 1
tensorflow.linalg.norm, 1, 2, 1, axis, 1
tensorflow.linalg.inv, 1, 1, 1, , 
tensorflow.linalg.eigvalsh, 1, 1, 1, , 
tensorflow.enable_eager_execution, 1, 0, 1, , 
tensorflow.nn.local_response_normalization, 1, 5, 1, bias, 1
tensorflow.arg_max, 1, 2, 1, , 
tensorflow.nn.rnn_cell.BasicRNNCell, 1, 1, 1, num_units, 1
tensorflow.FixedLengthRecordReader, 1, 1, 1, record_bytes, 1
tensorflow.contrib.framework.get_or_create_global_step, 1, 0, 1, , 
tensorflow.train.queue_runner.add_queue_runner, 1, 1, 1, , 
tensorflow.train.batch_join, 1, 3, 1, capacity, 1
tensorflow.unpack, 1, 1, 1, , 
tensorflow.contrib.nn.deprecated_flipped_softmax_cross_entropy_with_logits, 1, 3, 1, name, 1
tensorflow.NodeDef, 1, 2, 1, name, 1
tensorflow.app.flags.DEFINE_bool, 1, 3, 1, , 
tensorflow.nn.batch_norm_with_global_normalization, 1, 7, 1, scale_after_normalization, 1
tensorflow.nn.deconv2d, 1, 4, 1, strides, 1
tensorflow.data.FixedLengthRecordDataset, 1, 2, 1, , 
tensorflow.initialize_variables, 1, 1, 1, , 
tensorflow.python.framework.ops.get_stats_for_node_def, 1, 3, 1, , 
tensorflow.contrib.quantize.experimental_create_training_graph, 1, 5, 1, freeze_bn_delay, 1
tensorflow.contrib.quantize.experimental_create_eval_graph, 1, 3, 1, activation_bits, 1
tensorflow.contrib.quantize.python.input_to_ops.InputToOps, 1, 1, 1, , 
tensorflow.contrib.quantize.python.quant_ops.MovingAvgQuantize, 1, 3, 1, num_bits, 1
tensorflow.contrib.quantize.python.common.RerouteTensor, 1, 3, 1, , 
tensorflow.contrib.slim.get_model_variables, 1, 0, 1, , 
tensorflow.contrib.lite.TocoConverter.from_frozen_graph, 1, 3, 1, , 
tensorflow.contrib.slim.nets.resnet_utils.conv2d_same, 1, 5, 1, stride, 1
tensorflow.contrib.estimator.TowerOptimizer, 1, 1, 1, , 
tensorflow.contrib.estimator.replicate_model_fn, 1, 2, 1, loss_reduction, 1
tensorflow.nn.embedding_lookup_sparse, 1, 4, 1, combiner, 1
tensorflow.contrib.data.Dataset.from_tensor_slices, 1, 1, 1, , 
tensorflow.contrib.learn.utils.saved_model_export_utils.make_export_strategy, 1, 2, 1, exports_to_keep, 1
tensorflow.contrib.learn.learn_runner.run, 1, 2, 1, , 
tensorflow.contrib.distribute.MirroredStrategy, 1, 0, 1, , 
tensorflow.train.cosine_decay_restarts, 1, 5, 1, , 
tensorflow.python.ops.array_ops.expand_dims, 1, 2, 1, , 
tensorflow.python.ops.array_ops.squeeze, 1, 2, 1, , 
tensorflow.python.pywrap_tensorflow.EventsWriter, 1, 1, 1, , 
tensorflow.core.util.event_pb2.Event, 1, 2, 1, wall_time, 1
tensorflow.contrib.predictor.from_saved_model, 1, 1, 1, , 
tensorflow.contrib.learn.io.read_batch_features, 1, 5, 1, num_epochs, 1
tensorflow.feature_column.weighted_categorical_column, 1, 2, 1, , 
tensorflow.estimator.DNNClassifier, 1, 5, 1, hidden_units, 1
tensorflow.estimator.FinalExporter, 1, 2, 1, , 
tensorflow.contrib.util.make_ndarray, 1, 1, 1, , 
tensorflow.saved_model.signature_def_utils.predict_signature_def, 1, 2, 1, , 
tensorflow.python.tools.saved_model_cli._show_all, 1, 1, 1, , 
tensorflow.contrib.tensorrt.create_inference_graph, 1, 7, 1, max_workspace_size_bytes, 1
tensorflow.contrib.tpu.python.tpu.bfloat16.bfloat16_scope, 1, 0, 1, , 
tensorflow.contrib.tpu.python.tpu.tpu_optimizer.CrossShardOptimizer, 1, 1, 1, , 
tensorflow.contrib.summary.always_record_summaries, 1, 0, 1, , 
tensorflow.contrib.summary.all_summary_ops, 1, 0, 1, , 
tensorflow.contrib.tpu.python.tpu.tpu_estimator.TPUEstimatorSpec, 1, 5, 1, host_call, 1
tensorflow.contrib.tpu.python.tpu.tpu_config.RunConfig, 1, 4, 1, save_checkpoints_steps, 1
tensorflow.contrib.tpu.python.tpu.tpu_estimator.TPUEstimator, 1, 6, 1, use_tpu, 1
tensorflow.contrib.training.python.training.evaluation.checkpoints_iterator, 1, 2, 1, timeout, 1
tensorflow.python.estimator.estimator._load_global_step_from_checkpoint_dir, 1, 1, 1, , 
tensorflow.ones_initializer, 1, 0, 1, , 
tensorflow.as_string, 1, 1, 1, , 
tensorflow.contrib.slim.losses.cosine_distance, 1, 4, 1, scope, 1
tensorflow.contrib.slim.losses.add_loss, 1, 1, 1, , 
tensorflow.contrib.slim.utils.last_dimension, 1, 2, 1, min_rank, 1
tensorflow.contrib.slim.utils.collect_named_outputs, 1, 3, 1, , 
tensorflow.python.layers.base.InputSpec, 1, 1, 1, ndim, 1
tensorflow.python.ops.init_ops.random_normal_initializer, 1, 2, 1, mean, 1
tensorflow.python.ops.math_ops.abs, 1, 1, 1, , 
