function, function_count, top_num_args, top_num_args_count, top_keyword, top_keyword_count
scipy.linalg.solve_toeplitz, 1, 2, 1, , 
scipy.linalg.sqrtm, 1, 3, 1, blocksize, 1
scipy.sparse.linalg.matfuncs._onenorm, 1, 1, 1, , 
scipy.sparse.linalg.matfuncs._onenormest_matrix_power, 1, 2, 1, , 
numpy.ma.column_stack, 1, 1, 1, , 
numpy.ma.row_stack, 1, 1, 1, , 
numpy.ma.mask_rowcols, 1, 2, 1, axis, 1
numpy.datetime_data, 1, 1, 1, , 
numpy.bitwise_xor.reduce, 1, 1, 1, , 
numpy.lib.arraysetops.in1d, 1, 2, 1, , 
numpy.cumproduct, 1, 1, 1, , 
numpy.typeDict.get, 1, 2, 1, , 
numpy.ma.mrecords.fromarrays, 1, 2, 1, names, 1
numpy.minimum.accumulate, 1, 1, 1, , 
numpy.maximum.accumulate, 1, 1, 1, , 
numpy.is_busday, 1, 2, 1, busdaycal, 1
scipy.special.gammainc, 1, 2, 1, , 
scipy.sparse.hstack, 1, 1, 1, , 
numpy.ma.dot, 1, 2, 1, , 
numpy.ma.MaskError, 1, 1, 1, , 
numpy.ma.core._check_fill_value, 1, 2, 1, , 
numpy.ma.core._DomainedBinaryOperation, 1, 4, 1, , 
numpy.ma.maximum_fill_value, 1, 1, 1, , 
scipy.sparse.linalg.interface.MatrixLinearOperator, 1, 1, 1, , 
scipy.stats.moment, 1, 2, 1, , 
numpy.bitwise_and.outer, 1, 2, 1, , 
numpy.sctypes.items, 1, 0, 1, , 
scipy.signal.convolve, 1, 3, 1, , 
scipy.special.i1e, 1, 1, 1, , 
scipy.special.i0e, 1, 1, 1, , 
numpy.MachAr, 1, 0, 1, , 
scipy.stats.matrix_normal.logpdf, 1, 4, 1, , 
numpy.ma.squeeze, 1, 1, 1, , 
numpy.ma.transpose, 1, 2, 1, , 
numpy.core.defchararray.lstrip, 1, 2, 1, , 
scipy.sparse.bsr_matrix, 1, 1, 1, , 
numpy.nanprod, 1, 2, 1, axis, 1
numpy.fmax.accumulate, 1, 2, 1, axis, 1
scipy.fftpack.fft, 1, 2, 1, , 
scipy.ndimage.center_of_mass, 1, 1, 1, , 
scipy.sparse.linalg.LinearOperator, 1, 4, 1, matvec, 1
scipy.sparse.linalg.lsmr, 1, 5, 1, btol, 1
scipy.stats.t.cdf, 1, 2, 1, df, 1
scipy.stats.chisquare, 1, 4, 1, f_obs, 1
numpy.ma.any, 1, 1, 1, , 
numpy.ndarray.__getslice__, 1, 3, 1, , 
scipy.special.polygamma, 1, 2, 1, , 
scipy.optimize.fmin_bfgs, 1, 5, 1, maxiter, 1
scipy.ndimage.imread, 1, 1, 1, , 
scipy.optimize.fmin, 1, 7, 1, ftol, 1
scipy.optimize.fminbound, 1, 5, 1, disp, 1
scipy.interpolate.sproot, 1, 1, 1, , 
scipy.linalg.svdvals, 1, 1, 1, , 
scipy.linspace, 1, 3, 1, , 
scipy.optimize.brentq, 1, 3, 1, , 
scipy.signal.gaussian, 1, 2, 1, , 
scipy.ndimage.interpolation.shift, 1, 4, 1, mode, 1
scipy.polyfit, 1, 4, 1, deg, 1
scipy.fftpack.next_fast_len, 1, 1, 1, , 
scipy.signal.csd, 1, 6, 1, None, 1
scipy.percentile, 1, 3, 1, axis, 1
scipy.ndimage.spline_filter, 1, 2, 1, order, 1
numpy.short, 1, 1, 1, , 
numpy.ma.clip, 1, 3, 1, , 
numpy.ma.empty_like, 1, 1, 1, , 
scipy.interpolate.interp2d, 1, 4, 1, kind, 1
scipy.stats.gamma.sf, 1, 3, 1, scale, 1
scipy.stats.gamma.pdf, 1, 3, 1, scale, 1
scipy.stats.norm.fit, 1, 1, 1, , 
numpy.sctype2char, 1, 1, 1, , 
numpy.ma.masked_outside, 1, 3, 1, , 
scipy.stats.rv_histogram, 1, 1, 1, , 
numpy.ctypeslib.as_ctypes, 1, 1, 1, , 
numpy.ndarray.__array_wrap__, 1, 3, 1, , 
scipy.sparse.linalg.gmres, 1, 3, 1, tol, 1
scipy.optimize.root, 1, 2, 1, , 
numpy.getbuffer, 1, 1, 1, , 
scipy.misc.derivative, 1, 3, 1, dx, 1
scipy.interpolate.InterpolatedUnivariateSpline, 1, 3, 1, None, 1
scipy.interpolate.BarycentricInterpolator, 1, 3, 1, None, 1
scipy.interpolate.griddata, 1, 4, 1, method, 1
scipy.sparse.find, 1, 1, 1, , 
